bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ju_f-liu:2011,ju_f,author,0,,
ju_f-liu:2011,liu_f,author,1,,
juarezpaz:1959,juarezpaz,author,0,,
juarrero:1981,juarrero,author,0,,
juarrero:1999,juarrero,author,0,,
juarrero:2010,juarrero,author,0,,
jubien:1972,jubien,author,0,,
jubien:1974,jubien,author,0,,
jubien:1975,jubien,author,0,,
jubien:1977,jubien,author,0,,
jubien:1981,jubien,author,0,,
jubien:1981a,jubien,author,0,,
jubien:1985,jubien,author,0,,
jubien:1988,jubien,author,0,,
jubien:1988a,jubien,author,0,,
jubien:1989,jubien,author,0,,
jubien:1993,jubien,author,0,,
jubien:1993a,jubien,author,0,,
jubien:1996,jubien,author,0,,
jubien:1996a,jubien,author,0,,
jubien:1997,jubien,author,0,,
jubien:2001,jubien,author,0,,
jubien:2001a,jubien,author,0,,
jubien:2002,jubien,author,0,,
jubien:2004,jubien,author,0,,
jubien:2007,jubien,author,0,,
jubien:2009,jubien,author,0,,
jubien:2010,jubien,author,0,,
jucker:1992,jucker,author,0,,
jucker:2017,jucker,author,0,,
judaken-bernasconi:2012,judaken,editor,0,,
judaken-bernasconi:2012,bernasconi_r,editor,1,,
judaken:2017,judaken,author,0,,
judaken:2018,judaken,author,0,,
judd_db-etal:1964,judd_db,author,0,,
judd_db-etal:1964,macadam_dl,author,1,,
judd_db-etal:1964,wyszecki,author,2,,
judd_db-etal:1964,budde_hw,author,3,,
judd_db-etal:1964,condit_hr,author,4,,
judd_db-etal:1964,henderson_st,author,5,,
judd_db-etal:1964,simonds_jl,author,6,,
judd_sc:2016,judd_sc,author,0,,
judge_b:1983,judge_b,author,0,,
judge_j:2018,judge_j,author,0,,
judisch:2005,judisch,author,0,,
judisch:2008,judisch,author,0,,
judisch:2010,judisch,author,0,,
judisch:2010a,judisch,author,0,,
judisch:2016,judisch,author,0,,
judkins:2011,judkins,author,0,,
judkins:2011a,judkins,author,0,,
judovitz:1987,judovitz,author,0,,
judovitz:1996,judovitz,author,0,,
judson-karasmanis:2006,judson,editor,0,,
judson-karasmanis:2006,karasmanis_v,editor,1,,
judson:1987,judson,author,0,,
judson:1991,judson,editor,0,,
judson:1991a,judson,author,0,,
judson:1991b,judson,author,0,,
judson:1994,judson,author,0,,
judson:1997,judson,author,0,,
judson:2000,judson,author,0,,
judson:2005,judson,author,0,,
judson:2010,judson,author,0,,
judson:2015,judson,author,0,,
judson:2018,judson,author,0,,
judson:2018a,judson,author,0,,
judson:2019,judson,author,0,,
judy:2003,judy,author,0,,
judycki:2012,judycki,author,0,,
judycki:2018,judycki,author,0,,
jue_jk:2006,jue_jk,author,0,,
jue_jk:2008,jue_jk,author,0,,
juengel:2005,juengel,author,0,,
juengel:2011,juengel,author,0,,
juenger_fg:2010,juenger_fg,author,0,,
juenger_fg:2015,juenger_fg,author,0,,
juengling_t:1997,juengling_t,author,0,,
juengst:2007,juengst,author,0,,
juergasch:2021,juergasch,author,0,,
juergensmeyer-etal:2013,juergensmeyer,editor,0,,
juergensmeyer-etal:2013,kitts_m,editor,1,,
juergensmeyer-etal:2013,jerryson,editor,2,,
juessen_g:1987,juessen_g,author,0,,
juessen_g:1990,juessen_g,author,0,,
juessen_g:1990a,juessen_g,author,0,,
juetten:2010,juetten,author,0,,
juetten:2012,juetten,author,0,,
juetten:2017,juetten,author,0,,
juetten:2018,juetten,author,0,,
juettner-rentschler:2001,juettner,author,0,,
juettner-rentschler:2001,rentschler_i,author,1,,
juffras_a:1989,juffras_a,author,0,,
juffras_a:1991,juffras_a,author,0,,
juffs:1996,juffs,author,0,,
jug_sg:2018,jug_sg,author,0,,
jugov_t:2019,jugov_t,author,0,,
jugrin:2018,jugrin,author,0,,
juhasz:1972,juhasz,author,0,,
juhasz:1977,juhasz,author,0,,
juhl_c-kelly:1994,juhl_c,author,0,,
juhl_c-kelly:1994,kelly_kt,author,1,,
juhl_c-loomis:2010,juhl_c,author,0,,
juhl_c-loomis:2010,loomis_ej,author,1,,
juhl_c-loomis:2012,juhl_c,author,0,,
juhl_c-loomis:2012,loomis_ej,author,1,,
juhl_c:1995,juhl_c,author,0,,
juhl_c:2000,juhl_c,author,0,,
juhl_c:2005,juhl_c,author,0,,
juhl_c:2009,juhl_c,author,0,,
juhl_c:2010,juhl_c,author,0,,
juhl_c:2012,juhl_c,author,0,,
juhl_c:2015,juhl_c,author,0,,
juhl_cf:1998,juhl_cf,author,0,,
juhos-katzenberger:1970,juhos,author,0,,
juhos-katzenberger:1970,katzenberger,author,1,,
juhos-schleichert:1963,juhos,author,0,,
juhos-schleichert:1963,schleichert_h,author,1,,
juhos:1934,juhos,author,0,,
juhos:1935,juhos,author,0,,
juhos:1936,juhos,author,0,,
juhos:1936a,juhos,author,0,,
juhos:1936b,juhos,author,0,,
juhos:1937,juhos,author,0,,
juhos:1940,juhos,author,0,,
juhos:1950,juhos,author,0,,
juhos:1965,juhos,author,0,,
juhos:1966,juhos,author,0,,
juhos:1966a,juhos,author,0,,
juhos:1967,juhos,author,0,,
juhos:1967a,juhos,author,0,,
juhos:1968,juhos,author,0,,
juhos:1968a,juhos,author,0,,
juhos:1969,juhos,author,0,,
juhos:1970,juhos,author,0,,
juhos:1971,juhos,author,0,,
juhos:1974,juhos,author,0,,
juhos:1976,juhos,author,0,,
julius_aj:2014,julius_aj,author,0,,
juliusburger_k:1948,juliusburger_k,author,0,,
jullien_f:2004,jullien_f,author,0,,
jullien_f:2005,jullien_f,author,0,,
jullien_f:2005a,jullien_f,author,0,,
jullien_f:2011,jullien_f,author,0,,
jullien_f:2012,jullien_f,author,0,,
jullien_f:2016,jullien_f,author,0,,
jullien_f:2021,jullien_f,author,0,,
jullien_f:2021a,jullien_f,author,0,,
jullien_v-charrak:2001,jullien_v,author,0,,
jullien_v-charrak:2001,charrak,author,1,,
jullien_v:1996,jullien_v,author,0,,
jullien_v:2000,jullien_v,author,0,,
jullien_v:2001,jullien_v,author,0,,
jullier:2005,jullier,author,0,,
julmi_c:2017,julmi_c,author,0,,
jumonville:2012,jumonville,author,0,,
jun_nj:2010,jun_nj,author,0,,
jun_nj:2017,jun_nj,editor,0,,
jung_c-seekings:1997,jung_c,author,0,,
jung_c-seekings:1997,seekings,author,1,,
jung_c:2006,jung_c,author,0,,
jung_cg:1951,jung_cg,author,0,,
jung_em-etal:2013,jung_em,author,0,,
jung_em-etal:2013,kaiser_mi,author,1,,
jung_em-etal:2013,seide,author,2,,
jung_em:2011,jung_em,author,0,,
jung_em:2012,jung_em,author,0,,
jung_em:2014,jung_em,editor,0,,
jung_em:2014a,jung_em,author,0,,
jung_hy:1986,jung_hy,author,0,,
jung_hy:1995,jung_hy,author,0,,
jung_ja:2016,jung_ja,author,0,,
jung_ja:2017,jung_ja,author,0,,
jung_k:2014,jung_k,author,0,,
jung_k:2018,jung_k,editor,0,,
jungck:1983,jungck,author,0,,
jungeilges:2007,jungeilges,author,0,,
junger_j:1987,junger_j,author,0,,
junger_t:2020,junger_t,author,0,,
junger_t:2021,junger_t,author,0,,
junger_t:2021a,junger_t,author,0,,
jungert:2013,jungert,author,0,,
junghanns-schaeffer:2001,junghanns,author,0,,
junghanns-schaeffer:2001,schaeffer_j,author,1,,
junghans:2003,junghans,author,0,,
jungmann:1905,jungmann,author,0,,
jungo_c:1999,jungo_c,author,0,,
jungo_m:2007,jungo_m,author,0,,
jungpalczewska:1990,jungpalczewska,author,0,,
jungpalczewska:1996,jungpalczewska,author,0,,
jungpalczewska:1997,jungpalczewska,author,0,,
junker_u-brewka:1991,junker_u,author,0,,
junker_u-brewka:1991,brewka,author,1,,
junker_u-konolige:1990,junker_u,author,0,,
junker_u-konolige:1990,konolige,author,1,,
junker_u:2002,junker_u,editor,0,,
junker_u:2002a,junker_u,author,0,,
junod_hp:1968,junod_hp,author,0,,
junod_hp:2004,junod_hp,author,0,,
junod_r:1958,junod_r,author,0,,
junqua-vannoord:2001,junqua,editor,0,,
junqua-vannoord:2001,vannoord,editor,1,,
juola:1998,juola,author,0,,
juola:2004,juola,author,0,,
juozelis:2012,juozelis,author,0,,
jurafsky-etal:1998,jurafsky,author,0,,
jurafsky-etal:1998,shriberg_e,author,1,,
jurafsky-etal:1998,fox_ba,author,2,,
jurafsky-etal:1998,curl_t,author,3,,
jurafsky-martin:2000,jurafsky,author,0,,
jurafsky-martin:2000,martin_jh,author,1,,
juranville:2005,juranville,author,0,,
juric_t:2007,juric_t,author,0,,
juritsch_m:1960,juritsch_m,author,0,,
jurius-swart:2001,jurius,author,0,,
jurius-swart:2001,deswart_ha,author,1,,
jurjako_m:2022,jurjako_m,author,0,,
jurkowitz_e:2008,jurkowitz_e,author,0,,
juschka:2016,juschka,author,0,,
jusseau_l:2025,jusseau_l,author,0,,
jussien-lhomme:2002,jussien,author,0,,
jussien-lhomme:2002,lhomme_o,author,1,,
just_ma-etal:1996,just_ma,author,0,,
just_ma-etal:1996,carpenter_pa,author,1,,
just_ma-etal:1996,hemphill,author,2,,
just_w-weese:1996,just_w,author,0,,
just_w-weese:1996,weese_m,author,1,,
just_w-weese:1997,just_w,author,0,,
just_w-weese:1997,weese_m,author,1,,
justice:2001,justice,author,0,,
justice:2003,justice,author,0,,
justice:2007,justice,author,0,,
justin:2005,justin,author,0,,
justus:2008,justus,author,0,,
justus:2009,justus,author,0,,
justus:2014,justus,author,0,,
justus:2021,justus,author,0,,
juszezak:2005,juszezak,author,0,,
jutel:2016,jutel,author,0,,
jutronictihomirovic:1991,brandl,guesteditor,0,,
jutronictihomirovic:1991,jutronictihomirovic,author,0,,
jutronictihomirovic:1991,gombocz,guesteditor,1,,
jutronictihomirovic:1991,piller,guesteditor,2,,
jutronictihomirovic:2001,jutronictihomirovic,author,0,,
jutronictihomirovic:2004,jutronictihomirovic,author,0,,
jutronictihomirovic:2006,jutronictihomirovic,author,0,,
jutronictihomirovic:2007,jutronictihomirovic,author,0,,
jutronictihomirovic:2008,jutronictihomirovic,author,0,,
jutronictihomirovic:2014,jutronictihomirovic,author,0,,
juuljensen:1983,juuljensen,author,0,,
juvenel_d:1983,juvenel_d,author,0,,
juvet:1936,juvet,author,0,,
juvshik:2021,juvshik,author,0,,
juvshik:2021a,juvshik,author,0,,
juvshik:2021b,juvshik,author,0,,
