bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
kaag:2009,kaag,author,0,,
kaag:2011,kaag,author,0,,
kaag:2013,kaag,author,0,,
kaag:2014,kaag,author,0,,
kaag:2015,kaag,author,0,,
kaag:2015a,kaag,author,0,,
kabakciev:2000,kabakciev,author,0,,
kabanza-etal:1997,kabanza,author,0,,
kabanza-etal:1997,barbeau_m,author,1,,
kabanza-etal:1997,stdenis,author,2,,
kabasenche-etal:2012,kabasenche,editor,0,,
kabasenche-etal:2012,orourke_m,editor,1,,
kabasenche-etal:2012,slater_mh,editor,2,,
kabasenche-etal:2013,kabasenche,editor,0,,
kabasenche-etal:2013,orourke_m,editor,1,,
kabasenche-etal:2013,slater_mh,editor,2,,
kabay:2005,kabay,author,0,,
kabay:2010,kabay,author,0,,
kabeshkin:2017,kabeshkin,author,0,,
kabir_h:1952,kabir_h,author,0,,
kabir_r:2025,kabir_r,author,0,,
kablitz_a:2008,kablitz_a,author,0,,
kablitz_a:2009,kablitz_a,author,0,,
kablitz_a:2016,kablitz_a,author,0,,
kabore:2001,kabore,author,0,,
kabuto:1998,kabuto,author,0,,
kac_m-etal:2008,kac_m,author,0,,
kac_m-etal:2008,rota_gc,author,1,,
kac_m-etal:2008,schwartz_jt,author,2,,
kac_m:1973,kac_m,author,0,,
kac_mb:1976,kac_mb,author,0,,
kac_mb:1979,kac_mb,author,0,,
kac_mb:1992,kac_mb,author,0,,
kac_mb:1997,kac_mb,author,0,,
kac_mb:2011,kac_mb,author,0,,
kacanski-etal:2023,kacanski,editor,0,,
kacanski-etal:2023,kabderiandreyer,editor,1,,
kacanski-etal:2023,sund_k,editor,2,,
kachi:2009,kachi,author,0,,
kachru:2023,kachru,author,0,,
kaczmarek_j:2012,kaczmarek_j,author,0,,
kaczmarek_l:1983,kaczmarek_l,author,0,,
kaczmarek_l:1988,kaczmarek_l,author,0,,
kaczmarek_l:1994,kaczmarek_l,editor,0,,
kaczor-george:2018,kaczor,author,0,,
kaczor-george:2018,george_rp,author,1,,
kaczor:2012,kaczor,author,0,,
kadane-bellone:2009,kadane,author,0,,
kadane-bellone:2009,bellone_g,author,1,,
kadane-etal:1992,kadane,author,0,,
kadane-etal:1992,levi_i,author,1,,
kadane-etal:1992,seidenfeld,author,2,,
kadane-etal:1999,kadane,author,0,,
kadane-etal:1999,schervish_mj,author,1,,
kadane-etal:1999,seidenfeld,author,2,,
kadane-seidenfeld:1992,kadane,author,0,,
kadane-seidenfeld:1992,seidenfeld,author,1,,
kadelbach_s-etal:2017,kadelbach_s,editor,0,,
kadelbach_s-etal:2017,kleinlein,editor,1,,
kadelbach_s-etal:2017,rothisigkeit,editor,2,,
kadelbach_s-etal:2017a,kadelbach_s,author,0,,
kadelbach_s-etal:2017a,kleinlein,author,1,,
kadelbach_s-etal:2017a,rothisigkeit,author,2,,
