bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
kiala_n:1983,kiala_n,author,0,,
kibble-power:1999,kibble,author,0,,
kibble-power:1999,power_r,author,1,,
kibble:1998,kibble,author,0,,
kibble:1999,kibble,author,0,,
kibble:2001,kibble,author,0,,
kibble:2003,kibble,author,0,,
kibedvarga:1989,kibedvarga,author,0,,
kibler:1999,kibler,author,0,,
kickasola:2011,kickasola,author,0,,
kicklighter:2018,kicklighter,author,0,,
kiczuk:2014,kiczuk,author,0,,
kiczuk:2014a,kiczuk,author,0,,
kidd_c:2011,kidd_c,author,0,,
kidd_c:2014,kidd_c,author,0,,
kidd_c:2015,kidd_c,author,0,,
kidd_ig:1978,kidd_ig,author,0,,
kidd_ig:1989,kidd_ig,author,0,,
kidd_ig:2012,kidd_ig,author,0,,
kidd_ij-carel:2018,kidd_ij,author,0,,
kidd_ij-carel:2018,carel_h,author,1,,
kidd_ij-mckinnell:2015,kidd_ij,editor,0,,
kidd_ij-mckinnell:2015,mckinnell,editor,1,,
kidd_ij:2011,kidd_ij,author,0,,
kidd_ij:2011a,kidd_ij,author,0,,
kidd_ij:2012,kidd_ij,author,0,,
kidd_ij:2012a,kidd_ij,author,0,,
kidd_ij:2013,kidd_ij,author,0,,
kidd_ij:2016,kidd_ij,author,0,,
kidd_ij:2016a,kidd_ij,author,0,,
kidd_ij:2016b,kidd_ij,author,0,,
kidd_ij:2016c,kidd_ij,author,0,,
kidd_ij:2017,kidd_ij,author,0,,
kidd_ij:2019,kidd_ij,author,0,,
kidd_ij:2019a,kidd_ij,author,0,,
kidd_ij:2021,kidd_ij,author,0,,
kidd_ij:2021a,kidd_ij,author,0,,
kidd_ij:2021b,kidd_ij,author,0,,
kidd_r:1988,kidd_r,author,0,,
kidd_se:2019,kidd_se,author,0,,
kidd_se:2019a,kidd_se,author,0,,
kidder_p:1995,kidder_p,author,0,,
kido:2018,kido,author,0,,
kieckhefer:2014,kieckhefer,author,0,,
kiefer_c:1990,kiefer_c,author,0,,
kiefer_c:1994,kiefer_c,author,0,,
kiefer_c:2004,kiefer_c,author,0,,
kiefer_c:2007,kiefer_c,author,0,,
kiefer_c:2010,kiefer_c,author,0,,
kiefer_c:2011,kiefer_c,author,0,,
kiefer_c:2012,kiefer_c,author,0,,
kiefer_c:2012a,kiefer_c,author,0,,
kiefer_c:2017,kiefer_c,author,0,,
kiefer_fe-ruwet:1973,kiefer_fe,editor,0,,
kiefer_fe-ruwet:1973,ruwet,editor,1,,
kiefer_fe:1969,kiefer_fe,editor,0,,
kiefer_fe:1973,kiefer_fe,author,0,,
kiefer_fe:1980,kiefer_fe,author,0,,
kiefer_fe:1981,kiefer_fe,author,0,,
kiefer_fr:1978,kiefer_fr,author,0,,
kiefer_he-munitz:1968,kiefer_he,editor,0,,
kiefer_he-munitz:1968,munitz,editor,1,,
kiefer_he-munitz:1970,kiefer_he,editor,0,,
kiefer_he-munitz:1970,munitz,editor,1,,
kiefer_he:1980,kiefer_he,author,0,,
kiefer_j-ellison:1974,kiefer_j,author,0,,
kiefer_j-ellison:1974,ellison_j,author,1,,
kiefer_m-barsalou:2013,kiefer_m,author,0,,
kiefer_m-barsalou:2013,barsalou,author,1,,
kieffer_f:2014,kieffer_f,author,0,,
kieffer_r:1991,kieffer_r,author,0,,
kieffer_r:1993,kieffer_r,author,0,,
kieffer_r:1993a,kieffer_r,author,0,,
kieffer_r:1996,kieffer_r,author,0,,
kiehl_k:2008,kiehl_k,author,0,,
kiehl_k:2008a,kiehl_k,author,0,,
kielkopf:1971,kielkopf,author,0,,
kielkopf:1972,kielkopf,author,0,,
kielkopf:1974,kielkopf,author,0,,
kielkopf:1977,kielkopf,author,0,,
kielkopf:1977,surma,guesteditor,0,,
kielkopf:1978a,kielkopf,author,0,,
kielkopf:1982,kielkopf,author,0,,
kielkopf:1989,kielkopf,author,0,,
kielkopf:1995,kielkopf,author,0,,
kielkopf:1995a,kielkopf,author,0,,
kielkopf:2007,kielkopf,author,0,,
kiener_m:2023,kiener_m,editor,0,,
kienle-etal:1997,kienle,author,0,,
kienle-etal:1997,freyberger,author,1,,
kienle-etal:1997,schleich_wp,author,2,,
kienle-etal:1997,raymer_mg,author,3,,
kienner_h:1997,kienner_h,author,0,,
kienpointner_m:1987,kienpointner,author,0,,
kienpointner_m:1987a,kienpointner,author,0,,
kienpointner_m:1992,kienpointner,author,0,,
kienpointner_m:2011,kienpointner,author,0,,
kienzle_b:1985a,kienzle_b,author,0,,
kienzle_b:1989,kienzle_b,author,0,,
kienzle_b:1990,kienzle_b,author,0,,
kienzle_b:1994,kienzle_b,author,0,,
kienzle_b:1997,kienzle_b,author,0,,
kienzle_b:1997a,kienzle_b,author,0,,
kienzle_b:1997b,kienzle_b,author,0,,
kienzle_b:2004,kienzle_b,author,0,,
kienzle_bm-etal:2014,kienzle_bm,editor,0,,
kienzle_bm-etal:2014,stoudt,editor,1,,
kienzle_bm-etal:2014,ferzoco,editor,2,,
kienzle_bm-stevens:2014,kienzle_bm,author,0,,
kienzle_bm-stevens:2014,stevens_ta,author,1,,
kienzle_bm-stoudt:2014,kienzle_bm,author,0,,
kienzle_bm-stoudt:2014,stoudt,author,1,,
kienzler:1991,kienzler,author,0,,
kienzler:2013,kienzler,author,0,,
kienzler:2013b,kienzler,author,0,,
kiepe_n:2023,kiepe_n,author,0,,
kiepe_n:2023a,kiepe_n,author,0,,
kiepe_n:2023b,kiepe_n,author,0,,
kiepe_n:2023c,kiepe_n,author,0,,
kiepe_n:2023d,kiepe_n,author,0,,
kiepe_n:2023e,kiepe_n,author,0,,
kiepe_n:2023f,kiepe_n,author,0,,
kiepe_n:2023g,kiepe_n,author,0,,
kiepe_n:2023h,kiepe_n,author,0,,
kiepe_n:2023i,kiepe_n,author,0,,
kieran-lopes:2003,kieran,editor,0,,
kieran-lopes:2003,lopes_d,editor,1,,
kieran-lopes:2006,kieran,editor,0,,
kieran-lopes:2006,lopes_d,editor,1,,
kieran-lopes:2006a,kieran,author,0,,
kieran-lopes:2006a,lopes_d,author,1,,
kieran:2001,kieran,author,0,,
kieran:2001a,kieran,author,0,,
kieran:2002,kieran,author,0,,
kieran:2003,kieran,author,0,,
kieran:2003a,kieran,author,0,,
kieran:2005,kieran,author,0,,
kieran:2006,kieran,editor,0,,
kieran:2006a,kieran,author,0,,
kieran:2006b,kieran,author,0,,
kieran:2009,kieran,author,0,,
kieran:2009a,kieran,author,0,,
kieran:2010,kieran,author,0,,
kieran:2010a,kieran,author,0,,
kieran:2010b,kieran,author,0,,
kieran:2011,kieran,author,0,,
kieran:2011a,kieran,author,0,,
kieran:2012,kieran,author,0,,
kieran:2014,kieran,author,0,,
kieran:2014a,kieran,author,0,,
kieran:2016,kieran,author,0,,
kieran:2016a,kieran,author,0,,
kieran:2019,kieran,author,0,,
kierland-etal:2008,kierland,author,0,,
kierland-etal:2008,monton,author,1,,
kierland-etal:2008,ruhmkorff,author,2,,
kierland-monton:2005,kierland,author,0,,
kierland-monton:2005,monton,author,1,,
kierland-monton:2007,kierland,author,0,,
kierland-monton:2007,monton,author,1,,
kierland-swenson:2013,kierland,author,0,,
kierland-swenson:2013,swenson_p,author,1,,
kierland:2006,kierland,author,0,,
kierland:2011,kierland,author,0,,
kierland:2013,kierland,author,0,,
kiernanlewis:1982,kiernanlewis,author,0,,
kiernanlewis:1984,kiernanlewis,author,0,,
kiernanlewis:1987,kiernanlewis,author,0,,
kiernanlewis:1991,kiernanlewis,author,0,,
kiernanlewis:2004,kiernanlewis,author,0,,
kiersey:2016,kiersey,author,0,,
kierstead_dp:1980,kierstead_dp,author,0,,
kierstead_j:2021,kierstead_j,author,0,,
kiesel_d-ferrari:2018,kiesel_d,editor,0,,
kiesel_d-ferrari:2018,ferrari_c,editor,1,,
kiesel_d:2008,kiesel_d,author,0,,
kiesel_d:2017,kiesel_d,author,0,,
kieseppae:1996,kieseppae,author,0,,
kieseppae:1996a,kieseppae,author,0,,
kieseppae:2003,kieseppae,author,0,,
kiesewetter_b:2012,kiesewetter_b,author,0,,
kiesewetter_b:2016,kiesewetter_b,author,0,,
kiesewetter_b:2016a,kiesewetter_b,author,0,,
kiesewetter_b:2017,kiesewetter_b,author,0,,
kiesewetter_b:2018,kiesewetter_b,author,0,,
kiesewetter_b:2019,kiesewetter_b,author,0,,
kiesewetter_h:2017,kiesewetter_h,author,0,,
kiesling:2015,kiesling,author,0,,
kiesow:1990,kiesow,author,0,,
kiesselbach_m:2012,kiesselbach_m,author,0,,
kiesselbach_m:2012a,kiesselbach_m,author,0,,
kiesselbach_m:2014,kiesselbach_m,author,0,,
kiessling_mkh:2012,kiessling_mkh,author,0,,
kietz-etal:2000,kietz,author,0,,
kietz-etal:2000,volz_r,author,1,,
kietz-etal:2000,maedche_a,author,2,,
kietzmann_tc:2011,kietzmann_tc,author,0,,
kietzmann_tc:2018,kietzmann_tc,author,0,,
kievit:1998,kievit,author,0,,
kifer-etal:1991,kifer,author,0,,
kifer-etal:1991,lausen_g,author,1,,
kifer-etal:1991,wu_ja,author,2,,
kifer-lozinski:1992,kifer,author,0,,
kifer-lozinski:1992,lozinskii,author,1,,
kihlstrom-cork:2007,kihlstrom,author,0,,
kihlstrom-cork:2007,cork_rc,author,1,,
kihlstrom-etal:1992,kihlstrom,author,0,,
kihlstrom-etal:1992,barnhardt_tm,author,1,,
kihlstrom-etal:1992,tataryn,author,2,,
kihlstrom-etal:1992a,kihlstrom,author,0,,
kihlstrom-etal:1992a,barnhardt_tm,author,1,,
kihlstrom-etal:1992a,tatryn,author,2,,
kihlstrom-etal:2007,kihlstrom,author,0,,
kihlstrom-etal:2007,dorfman_j,author,1,,
kihlstrom-etal:2007,park_l,author,2,,
kihlstrom-klein:1997,kihlstrom,author,0,,
kihlstrom-klein:1997,klein_sb,author,1,,
kihlstrom:1987,kihlstrom,author,0,,
kihlstrom:1993,kihlstrom,author,0,,
kihlstrom:1993a,kihlstrom,author,0,,
kihlstrom:1995,kihlstrom,author,0,,
kihlstrom:1996,kihlstrom,author,0,,
kihlstrom:1997,kihlstrom,author,0,,
kihlstrom:2004,kihlstrom,author,0,,
kiikeri-kokkonen:2007,kiikeri,author,0,,
kiikeri-kokkonen:2007,kokkonen_t,author,1,,
kiikeri:1997,kiikeri,author,0,,
kijaniaplacek-wolenski:1998,kijaniaplacek,editor,0,,
kijaniaplacek-wolenski:1998,wolenski,editor,1,,
kijaniaplacek:1998,kijaniaplacek,author,0,,
kijaniaplacek:2003,kijaniaplacek,author,0,,
kijaniaplacek:2005,kijaniaplacek,author,0,,
kijaniaplacek:2007,kijaniaplacek,author,0,,
kijaniaplacek:2009,kijaniaplacek,author,0,,
kijaniaplacek:2010,kijaniaplacek,author,0,,
kijaniaplacek:2014,kijaniaplacek,author,0,,
kikot-etal:2014,kikot,author,0,,
kikot-etal:2014,shapirovsky,author,1,,
