bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
klabunde-jansche:1998,klabunde,author,0,,
klabunde-jansche:1998,jansche_m,author,1,,
klaerner:2003,klaerner,author,0,,
klaes:2006,klaes,author,0,,
klagge-nordmann:2023,klagge,editor,0,,
klagge-nordmann:2023,nordmann_a,editor,1,,
klagge-smith:1992,klagge,editor,0,,
klagge-smith:1992,smith_nid,editor,1,,
klagge:1977,klagge,author,0,,
klagge:1988,klagge,author,0,,
klagge:1992,klagge,author,0,,
klagge:1995,klagge,author,0,,
klahr:1996,klahr,author,0,,
klaiber_s:2014,klaiber_s,author,0,,
klampfer:2004,klampfer,author,0,,
klampfer:2005,klampfer,author,0,,
klancer:2012,klancer,author,0,,
klaniczay_g:2014,klaniczay_g,author,0,,
klappholz:1991,klappholz,author,0,,
klass_d:2018,klass_d,author,0,,
klass_gm:2003,klass_gm,author,0,,
klass_gm:2016,klass_gm,author,0,,
klassen:2016,klassen,author,0,,
klattenhoff:2016,klattenhoff,author,0,,
klaua:1994,klaua,author,0,,
klauk_t-koeppe:2014,klauk_t,editor,0,,
klauk_t-koeppe:2014,koeppe_t,editor,1,,
klauk_t-koeppe:2014a,klauk_t,author,0,,
klauk_t-koeppe:2014a,koeppe_t,author,1,,
klauk_t:2014,klauk_t,author,0,,
klauk_t:2014a,klauk_t,author,0,,
klaus_cf:2007,klaus_cf,author,0,,
klaus_g:1961,klaus_g,author,0,,
klaus_g:1962,klaus_g,author,0,,
klaus_m:2023,klaus_m,author,0,,
klaus_m:2024,klaus_m,author,0,,
klausen_jc:2014,klausen_jc,author,0,,
klausner:1945,klausner,author,0,,
klausnitzer_w-koziel:2012,klausnitzer_w,author,0,,
klausnitzer_w-koziel:2012,koziel_be,author,1,,
klavans-resnik:1996,klavans,editor,0,,
klavans-resnik:1996,resnik_p,editor,1,,
klavans:1994,klavans,author,0,,
klavans:1995,klavans,editor,0,,
klaver-frith:2020,klaver,author,0,,
klaver-frith:2020,frith_ja,author,1,,
klaver:2014,klaver,author,0,,
klawiter:2004,klawiter,author,0,,
klebetrevino:1999,klebetrevino,author,0,,
klebetrevino:2018,klebetrevino,author,0,,
klecha:2011,klecha,author,0,,
klee_j:1984,klee_j,author,0,,
klee_r:1992,klee_r,author,0,,
kleeberg:2010,kleeberg,author,0,,
kleene-vesley:1965,kleene,author,0,,
kleene-vesley:1965,vesley,author,1,,
kleene-vesley:1987,kleene,author,0,,
kleene-vesley:1987,vesley,author,1,,
kleene:1936,kleene,author,0,,
kleene:1938,kleene,author,0,,
kleene:1939,kleene,author,0,,
kleene:1943,kleene,author,0,,
kleene:1952,kleene,author,0,,
kleene:1952a,kleene,editor,0,,
kleene:1952b,kleene,author,0,,
kleene:1960,kleene,author,0,,
kleene:1962,kleene,author,0,,
kleene:1965,kleene,author,0,,
kleene:1965a,kleene,author,0,,
kleene:1967,kleene,author,0,,
kleene:1968,kleene,author,0,,
kleene:1971,kleene,author,0,,
kleene:1980,kleene,author,0,,
kleene:1987,kleene,author,0,,
kleene:1988,kleene,author,0,,
kleger:1985,kleger,author,0,,
kleiber_g:1983,kleiber_g,author,0,,
kleiman_mar-teles:2006,kleiman_mar,author,0,,
kleiman_mar-teles:2006,teles_s,author,1,,
kleiman_rj:1986,kleiman_rj,author,0,,
kleimanlafon_s:2017,kleimanlafon_s,author,0,,
klein_a-etal:1998,klein_a,author,0,,
klein_a-etal:1998,matiasek_j,author,1,,
klein_a-etal:1998,trost_h,author,2,,
klein_al:2009,klein_al,author,0,,
klein_al:2017,klein_al,author,0,,
klein_al:2018,klein_al,author,0,,
klein_al:2019,klein_al,author,0,,
klein_ale:2016,klein_ale,author,0,,
klein_au:1911,klein_au,author,0,,
klein_au:1914,klein_au,author,0,,
klein_be:2011,klein_be,author,0,,
klein_bve:1978,klein_bve,author,0,,
klein_bve:1980,klein_bve,author,0,,
klein_c-martinez:2019,klein_c,author,0,,
klein_c-martinez:2019,martinez_ma,author,1,,
klein_c:2007,klein_c,author,0,,
klein_c:2008,klein_c,author,0,,
klein_c:2009,klein_c,author,0,,
klein_c:2010,klein_c,author,0,,
klein_c:2013,klein_c,author,0,,
klein_c:2014,klein_c,author,0,,
klein_c:2015,klein_c,author,0,,
klein_c:2015a,klein_c,author,0,,
klein_c:2015b,klein_c,author,0,,
klein_c:2017,klein_c,author,0,,
klein_c:2019,klein_c,author,0,,
klein_c:2020,klein_c,author,0,,
klein_c:2024,klein_c,author,0,,
klein_ca:2000,klein_ca,author,0,,
klein_ca:2003,klein_ca,author,0,,
klein_cj:1999,klein_cj,author,0,,
klein_d:2004,klein_d,author,0,,
klein_da-shortliffe:1994,klein_da,author,0,,
klein_da-shortliffe:1994,shortliffe,author,1,,
klein_da:1994,klein_da,author,0,,
klein_do-colombo:2018,klein_do,author,0,,
klein_do-colombo:2018,colombo_m,author,1,,
klein_e-rovatsos:2011,klein_e,author,0,,
klein_e-rovatsos:2011,rovatsos,author,1,,
klein_e-sag:1985,klein_e,author,0,,
klein_e-sag:1985,sag,author,1,,
klein_e-vanbenthem:1987,klein_e,editor,0,,
klein_e-vanbenthem:1987,vanbenthem,editor,1,,
klein_e-vellman:1991,klein_e,editor,0,,
klein_e-vellman:1991,vellman_f,editor,1,,
klein_e:1979,klein_e,author,0,,
klein_e:1979a,klein_e,author,0,,
klein_e:1980,klein_e,author,0,,
klein_e:1980a,klein_e,author,0,,
klein_e:1980b,klein_e,author,0,,
klein_e:1983,klein_e,author,0,,
klein_e:1986,klein_e,author,0,,
klein_e:1989,klein_e,author,0,,
klein_e:1991,klein_e,author,0,,
klein_et-lachiezerey:1999,klein_et,author,0,,
klein_et-lachiezerey:1999,lachiezerey_m,author,1,,
klein_et:2004,klein_et,author,0,,
klein_et:2004a,klein_et,author,0,,
klein_et:2005,klein_et,author,0,,
klein_f:1872,klein_f,author,0,,
klein_f:1921,klein_f,author,0,,
klein_f:1936,klein_f,author,0,,
klein_f:1974,klein_f,author,0,,
klein_g:1951,klein_g,author,0,,
klein_g:1959,klein_g,author,0,,
klein_hd:1969,klein_hd,author,0,,
klein_hd:1977,klein_hd,author,0,,
klein_j-etal:1983,klein_j,author,0,,
klein_j-etal:1983,damm_v,author,1,,
klein_j-etal:1983,giebeler_a,author,2,,
klein_ja:1934,klein_ja,author,0,,
klein_ja:1940,klein_ja,author,0,,
klein_ja:1965,klein_ja,author,0,,
klein_ja:1968,klein_ja,author,0,,
klein_ja:1977,klein_ja,author,0,,
klein_ja:2014,klein_ja,author,0,,
klein_ja:2015,klein_ja,author,0,,
klein_ja:2020,klein_ja,author,0,,
klein_jo:1994,klein_jo,author,0,,
klein_jr:2000,klein_jr,author,0,,
klein_jr:2013,klein_jr,author,0,,
klein_jt:2013,klein_jt,author,0,,
klein_jt:2018,klein_jt,author,0,,
klein_m:1990,klein_m,author,0,,
klein_m:1996,klein_m,author,0,,
klein_ma:1999,klein_ma,author,0,,
klein_mj:1974,klein_mj,author,0,,
klein_pd:1969,klein_pd,author,0,,
klein_pd:1976,klein_pd,author,0,,
klein_pd:1981,klein_pd,author,0,,
klein_pd:1985,klein_pd,author,0,,
klein_pd:1986a,klein_pd,author,0,,
klein_pd:1987,klein_pd,author,0,,
klein_pd:1990,klein_pd,author,0,,
klein_pd:1995,klein_pd,author,0,,
klein_pd:1996,klein_pd,author,0,,
klein_pd:1998,klein_pd,author,0,,
klein_pd:1999,klein_pd,author,0,,
klein_pd:2000,klein_pd,author,0,,
klein_pd:2000a,klein_pd,author,0,,
klein_pd:2002,klein_pd,author,0,,
klein_pd:2003,klein_pd,author,0,,
klein_pd:2003a,klein_pd,author,0,,
klein_pd:2003b,klein_pd,author,0,,
klein_pd:2004,klein_pd,author,0,,
klein_pd:2004a,klein_pd,author,0,,
klein_pd:2004b,klein_pd,author,0,,
klein_pd:2005,klein_pd,author,0,,
klein_pd:2005a,klein_pd,author,0,,
klein_pd:2007,klein_pd,author,0,,
klein_pd:2007a,klein_pd,author,0,,
klein_pd:2008,klein_pd,author,0,,
klein_pd:2008a,klein_pd,author,0,,
klein_pd:2011,klein_pd,author,0,,
klein_pd:2011a,klein_pd,author,0,,
klein_pd:2012,klein_pd,author,0,,
klein_pd:2012a,klein_pd,author,0,,
klein_pd:2014a,klein_pd,author,0,,
klein_pd:2017,klein_pd,author,0,,
klein_pd:2019,klein_pd,author,0,,
klein_pe:1997,klein_pe,author,0,,
klein_r-etal:2011,klein_r,editor,0,,
klein_r-etal:2011,kreuzer_j,editor,1,,
klein_r-etal:2011,muellerdoohm,editor,2,,
klein_ra:2012,klein_ra,author,0,,
