bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
kment:2005,kment,author,0,,
kment:2006,kment,author,0,,
kment:2006a,kment,author,0,,
kment:2010,kment,author,0,,
kment:2012,kment,author,0,,
kment:2014,kment,author,0,,
kment:2015,kment,author,0,,
kment:2016,kment,author,0,,
kment:2017,kment,author,0,,
kment:2017a,kment,author,0,,
kment:2017b,kment,author,0,,
kment:2018,kment,author,0,,
kment:2021,kment,author,0,,
kment:2022,kment,author,0,,
kmita-zamiara:1989,kmita,editor,0,,
kmita-zamiara:1989,zamiara,editor,1,,
kmita:1977,kmita,author,0,,
kmita:1987,kmita,author,0,,
kmita:1990,kmita,author,0,,
