bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
kraaij-etal:2003,kraaij,author,0,,
kraaij-etal:2003,nie_jy,author,1,,
kraaij-etal:2003,simard_m,author,2,,
kraal:2011,kraal,author,0,,
kraal:2011a,kraal,author,0,,
kraal:2012,kraal,author,0,,
kraal:2013,kraal,author,0,,
kraal:2013a,kraal,author,0,,
kraal:2014,kraal,author,0,,
kraal:2014a,kraal,author,0,,
kraal:2018,kraal,author,0,,
kraay_k-dragos:2013,kraay_k,author,0,,
kraay_k-dragos:2013,dragos_c,author,1,,
kraay_k:2003,kraay_k,author,0,,
kraay_k:2006,kraay_k,author,0,,
kraay_k:2007,kraay_k,author,0,,
kraay_k:2008,kraay_k,author,0,,
kraay_k:2010,kraay_k,author,0,,
kraay_k:2010a,kraay_k,author,0,,
kraay_k:2011,kraay_k,author,0,,
kraay_k:2011a,kraay_k,author,0,,
kraay_k:2013,kraay_k,author,0,,
kraay_k:2013a,kraay_k,author,0,,
kraay_k:2014,kraay_k,editor,0,,
kraay_k:2016,kraay_k,author,0,,
kraay_k:2016a,kraay_k,author,0,,
kraay_k:2018,kraay_k,editor,0,,
kraay_k:2018a,kraay_k,author,0,,
kraay_k:2019,kraay_k,author,0,,
krabbe-etal:1993,krabbe,editor,0,,
krabbe-etal:1993,dalitz_rj,editor,1,,
krabbe-etal:1993,smit_pa,editor,2,,
krabbe-vanlaar:2015,krabbe,author,0,,
krabbe-vanlaar:2015,vanlaar_ja,author,1,,
krabbe:1978,krabbe,author,0,,
krabbe:1982,krabbe,author,0,,
krabbe:1982a,krabbe,author,0,,
krabbe:1982b,krabbe,author,0,,
krabbe:1985,krabbe,author,0,,
krabbe:1986,krabbe,author,0,,
krabbe:1995,krabbe,author,0,,
krabbe:2006,krabbe,author,0,,
krabbendam-meyer:1999,krabbendam,author,0,,
krabbendam-meyer:1999,meyer_jjc,author,1,,
kracht-etal:1998,kracht,editor,0,,
kracht-etal:1998,derijke,editor,1,,
kracht-etal:1998,wansing,editor,2,,
kracht-kutz:2002,kracht,author,0,,
kracht-kutz:2002,kutz_o,author,1,,
kracht-kutz:2007,kracht,author,0,,
kracht-kutz:2007,kutz_o,author,1,,
kracht-wolter:1997,kracht,author,0,,
kracht-wolter:1997,wolter_f,author,1,,
kracht:1991,kracht,author,0,,
kracht:1993,kracht,author,0,,
kracht:1994,kracht,author,0,,
kracht:1995,kracht,author,0,,
kracht:1995a,kracht,author,0,,
kracht:1997,kracht,author,0,,
kracht:1997a,kracht,author,0,,
kracht:1998,kracht,author,0,,
kracht:1999,kracht,author,0,,
kracht:1999a,kracht,author,0,,
kracht:2000,kracht,author,0,,
kracht:2001,kracht,author,0,,
kracht:2002,kracht,author,0,,
kracht:2002a,kracht,author,0,,
kracht:2003,kracht,author,0,,
kracht:2004,kracht,author,0,,
kracht:2004a,kracht,author,0,,
kracht:2006,kracht,author,0,,
kracht:2007,kracht,author,0,,
kracht:2007a,kracht,author,0,,
kracht:2011,kracht,author,0,,
kracht:2011a,kracht,author,0,,
kracht:2011b,kracht,author,0,,
kracht:2012,kracht,author,0,,
kracht:2016,kracht,author,0,,
kraemer_dm:2015,kraemer_dm,author,0,,
kraemer_dm:2018,kraemer_dm,author,0,,
kraemer_er-jones:1985,kraemer_er,author,0,,
kraemer_er-jones:1985,jones_ha,author,1,,
kraemer_er:1977,kraemer_er,author,0,,
kraemer_er:1980,kraemer_er,author,0,,
kraemer_er:1984,kraemer_er,author,0,,
kraemer_er:1984a,kraemer_er,author,0,,
kraemer_f:2009,kraemer_f,author,0,,
kraemer_fk:2014,kraemer_fk,author,0,,
kraemer_hj:1959,kraemer_hj,author,0,,
kraemer_hj:1964,kraemer_hj,author,0,,
kraemer_hj:1964a,kraemer_hj,author,0,,
kraemer_hj:1966,kraemer_hj,author,0,,
kraemer_hj:1966a,kraemer_hj,author,0,,
kraemer_hj:1967,kraemer_hj,author,0,,
kraemer_hj:1968,kraemer_hj,author,0,,
kraemer_hj:1968a,kraemer_hj,author,0,,
kraemer_hj:1969,kraemer_hj,author,0,,
kraemer_hj:1971,kraemer_hj,author,0,,
kraemer_hj:1972,kraemer_hj,author,0,,
kraemer_hj:1973,kraemer_hj,author,0,,
kraemer_hj:1982,kraemer_hj,author,0,,
kraemer_hj:1982a,kraemer_hj,author,0,,
kraemer_hj:1987,kraemer_hj,author,0,,
kraemer_hj:1990,kraemer_hj,author,0,,
kraemer_hj:1990a,kraemer_hj,author,0,,
kraemer_hj:1991,kraemer_hj,author,0,,
kraemer_hj:1992,kraemer_hj,author,0,,
kraemer_hj:1993,kraemer_hj,author,0,,
kraemer_hj:1994,kraemer_hj,author,0,,
kraemer_hj:1994a,kraemer_hj,author,0,,
kraemer_hj:1995,kraemer_hj,author,0,,
kraemer_hj:1996,kraemer_hj,author,0,,
kraemer_hj:1996a,kraemer_hj,author,0,,
kraemer_hj:1997,kraemer_hj,author,0,,
kraemer_hj:2001,kraemer_hj,author,0,,
kraemer_hj:2004,kraemer_hj,author,0,,
kraemer_hj:2005,kraemer_hj,author,0,,
kraemer_hj:2009,kraemer_hj,author,0,,
kraemer_hj:2014,kraemer_hj,author,0,,
kraemer_hj:2014a,kraemer_hj,author,0,,
kraemer_hj:2014b,kraemer_hj,author,0,,
kraemer_jl:2003,kraemer_jl,author,0,,
kraemer_jl:2009,kraemer_jl,author,0,,
kraemer_s-roski:2015,kraemer_s,author,0,,
kraemer_s-roski:2015,roski_s,author,1,,
kraemer_s-roski:2017,kraemer_s,author,0,,
kraemer_s-roski:2017,roski_s,author,1,,
kraemer_s-schnieder_b:2017,kraemer_s,author,0,,
kraemer_s-schnieder_b:2017,schnieder_b,author,1,,
kraemer_s-schnieder_b:2017a,kraemer_s,author,0,,
kraemer_s-schnieder_b:2017a,schnieder_b,author,1,,
kraemer_s:2010,kraemer_s,author,0,,
kraemer_s:2011,kraemer_s,author,0,,
kraemer_s:2011,schnieder_b,guesteditor,0,,
kraemer_s:2011,schulz_m,guesteditor,1,,
kraemer_s:2013,kraemer_s,author,0,,
kraemer_s:2014,kraemer_s,author,0,,
kraemer_s:2014a,kraemer_s,author,0,,
kraemer_s:2014b,kraemer_s,author,0,,
kraemer_s:2017,kraemer_s,author,0,,
kraemer_s:2017a,kraemer_s,author,0,,
kraemer_s:2018,kraemer_s,author,0,,
kraemer_s:2020,kraemer_s,author,0,,
kraemer_sy-etal:2017,kraemer_sy,editor,0,,
kraemer_sy-etal:2017,schmidt_sib,editor,1,,
kraemer_sy-etal:2017,schuelein_jg,editor,2,,
kraemer_sy:1989,kraemer_sy,author,0,,
kraemer_sy:1991,kraemer_sy,author,0,,
kraemer_sy:2011,kraemer_sy,author,0,,
kraemling:1986,kraemling,author,0,,
kraemling:1987,kraemling,author,0,,
kraeuchi_s:2022,kraeuchi_s,author,0,,
kraeuchi_s:2022a,kraeuchi_s,author,0,,
kraeuchi_s:2022b,kraeuchi_s,author,0,,
kraeuchi_s:2022c,kraeuchi_s,author,0,,
kraeuchi_s:2022d,kraeuchi_s,author,0,,
kraeuchi_s:2022e,kraeuchi_s,author,0,,
kraeuchi_s:2022f,kraeuchi_s,author,0,,
kraeuchi_s:2022g,kraeuchi_s,author,0,,
kraeuchi_s:2022h,kraeuchi_s,author,0,,
kraeuchi_s:2022i,kraeuchi_s,author,0,,
kraeuchi_s:2023,kraeuchi_s,author,0,,
kraeuchi_s:2023a,kraeuchi_s,author,0,,
kraeuchi_s:2023b,kraeuchi_s,author,0,,
kraeuchi_s:2023c,kraeuchi_s,author,0,,
kraeuchi_s:2023d,kraeuchi_s,author,0,,
kraeutler_h:1996,kraeutler_h,author,0,,
kraeutler_h:2011,kraeutler_h,author,0,,
krafft_f:1983,krafft_f,author,0,,
krafft_f:1991,krafft_f,author,0,,
kraft_j:1936,kraft_j,author,0,,
kraft_ja:2012,kraft_ja,author,0,,
kraft_m:1981,kraft_m,author,0,,
kraft_t-wiegmann:2018,kraft_t,author,0,,
kraft_t-wiegmann:2018,wiegmann_a,author,1,,
kraft_t:2011,kraft_t,author,0,,
kraft_t:2013,kraft_t,author,0,,
kraft_t:2014,kraft_t,author,0,,
kraft_t:2017,kraft_t,author,0,,
kraft_v:1947,kraft_v,author,0,,
kraft_v:1950,kraft_v,author,0,,
kraft_v:1960,kraft_v,author,0,,
kraft_v:1960a,kraft_v,author,0,,
kraft_v:1965,kraft_v,author,0,,
kraft_v:1966,kraft_v,author,0,,
kraft_v:1968,kraft_v,author,0,,
kraft_v:1970,kraft_v,author,0,,
kraft_v:1973,kraft_v,author,0,,
kraft_v:1981,kraft_v,author,0,,
kragh:1990,kragh,author,0,,
kragh:2001,kragh,author,0,,
kragh:2003,kragh,author,0,,
kragh:2009,kragh,author,0,,
kragh:2013,kragh,author,0,,
krahmer-etal:1997,krahmer,author,0,,
krahmer-etal:1997,landsbergen_j,author,1,,
krahmer-etal:1997,pouteau_x,author,2,,
krahmer-etal:2003,krahmer,author,0,,
krahmer-etal:2003,vanerk,author,1,,
krahmer-etal:2003,verleg_a,author,2,,
krahmer-muskens:1994,krahmer,author,0,,
krahmer-muskens:1994,muskens,author,1,,
krahmer-theune:2002,krahmer,author,0,,
krahmer-theune:2002,theune,author,1,,
krahmer:1998,krahmer,author,0,,
krajckova_v:2023,krajckova_v,author,0,,
krajcoviech-kotocova:1999,krajcoviech,author,0,,
krajcoviech-kotocova:1999,kotocova,author,1,,
krajewski_b:2016,krajewski_b,author,0,,
krajewski_b:2016a,krajewski_b,author,0,,
krajewski_s-srebmy:2008,krajewski_s,author,0,,
krajewski_s-srebmy:2008,srebrny_m,author,1,,
krajewski_s:2006,krajewski_s,author,0,,
krajewski_w:1974,krajewski_w,author,0,,
krajewski_w:1976,krajewski_w,author,0,,
krajewski_w:1982,krajewski_w,editor,0,,
krajewski_w:1982a,krajewski_w,author,0,,
krajewski_w:1982b,krajewski_w,author,0,,
krajewski_w:1983,krajewski_w,author,0,,
krajewski_w:1984,krajewski_w,author,0,,
krajewski_w:1997,krajewski_w,author,0,,
krajewski_w:1998,krajewski_w,author,0,,
krajewski_w:2001,krajewski_w,editor,0,,
krajicek:2001,krajicek,author,0,,
krakauer_bl:2012,krakauer_bl,author,0,,
krakauer_bl:2013,krakauer_bl,author,0,,
krakauer_jw:2021,krakauer_jw,author,0,,
