bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
kubala:2017,kubala,author,0,,
kubala:2020,kubala,author,0,,
kubalica_t:2017,kubalica_t,author,0,,
kubat:1991,kubat,author,0,,
kubbinga_h:1999,kubbinga_h,author,0,,
kube_c:2018,kube_c,author,0,,
kube_j:1969,kube_j,author,0,,
kubes_v:1986,kubes_v,author,0,,
kubik:2008,kubik,author,0,,
kubitz:1939,kubitz,author,0,,
kubo_s:1998,kubo_s,author,0,,
kubo_s:1999,kubo_s,author,0,,
kubovy-schutz:2010,kubovy,author,0,,
kubovy-schutz:2010,schutz_m,author,1,,
kubrin-branic:2017,kubrin,author,0,,
kubrin-branic:2017,branic,author,1,,
kuby:2016,kuby,author,0,,
kubyshkina_e-zaitsev:2016,kubyshkina_e,author,0,,
kubyshkina_e-zaitsev:2016,zaitsev_d,author,1,,
kubyshkina_e:2017,kubyshkina_e,author,0,,
kubzansky-winning:2016,kubzansky,author,0,,
kubzansky-winning:2016,winning_a,author,1,,
kuc_l:1963,kuc_l,author,0,,
kuchar:1999,kuchar,author,0,,
kucheman_ca:1996,kucheman_ca,author,0,,
kucian-etal:2015,kucian,author,0,,
kucian-etal:2015,kaufmann_l,author,1,,
kucian-etal:2015,vonaster_m,author,2,,
kucklick:1985,kucklick,author,0,,
kucma:2021,kucma,author,0,,
kucuradi-cohen:1995,kucuradi,editor,0,,
kucuradi-cohen:1995,cohen_rs,editor,1,,
kucuradi:1995,kucuradi,author,0,,
kucuradi:2007,kucuradi,editor,0,,
kucuradi:2007a,kucuradi,author,0,,
kucuradi:2014,kucuradi,author,0,,
kuczok_m:2020,kuczok_m,author,0,,
kuczynski_jm:1998,kuczynski_jm,author,0,,
kuczynski_jm:1998a,kuczynski_jm,author,0,,
kuczynski_jm:2003,kuczynski_jm,author,0,,
kuczynski_jm:2004,kuczynski_jm,author,0,,
kuczynski_jm:2004a,kuczynski_jm,author,0,,
kuczynski_jm:2005,kuczynski_jm,author,0,,
kuczynski_jm:2006,kuczynski_jm,author,0,,
kuczynski_jm:2006a,kuczynski_jm,author,0,,
kudella_s:2016,kudella_s,author,0,,
kudelska:2000,kudelska,author,0,,
kudelska:2002,kudelska,author,0,,
kudelska:2004,kudelska,author,0,,
kuderowicz:1996,kuderowicz,author,0,,
kuderowicz:2000,kuderowicz,author,0,,
kudinov-etal:2012,kudinov,author,0,,
kudinov-etal:2012,shapirovsky,author,1,,
kudinov-etal:2012,shehtman,author,2,,
kudinov:2006,kudinov,author,0,,
kudinov:2012,kudinov,author,0,,
kudinov:2014,kudinov,author,0,,
kudlek-etal:2003,kudlek,author,0,,
kudlek-etal:2003,martinvide_c,author,1,,
kudlek-etal:2003,mateescu_a,author,2,,
kudlek-etal:2003,mitrana,author,3,,
kudlien_f-durling:1991,kudlien_f,editor,0,,
kudlien_f-durling:1991,durling_rj,editor,1,,
kudlien_f:1985,kudlien_f,author,0,,
kudo_t-matsumoto:2000,kudo_t,author,0,,
kudo_t-matsumoto:2000,matsumoto_yu,author,1,,
kuebner_s:1998,kuebner_s,author,0,,
kuechenhoff_j:2006,kuechenhoff_j,author,0,,
kuechle-rios:2012,kuechle,author,0,,
kuechle-rios:2012,rios_d,author,1,,
kuechlin:1998,kuechlin,author,0,,
kueenzlen:2019,kueenzlen,author,0,,
kuegler:1994,kuegler,author,0,,
kuegler:2002,kuegler,author,0,,
kuegler:2003,kuegler,author,0,,
kuegler:2017,kuegler,author,0,,
kuegler:2019,kuegler,author,0,,
kuehl_ce:2014,kuehl_ce,author,0,,
kuehl_e-lankau:2003,kuehl_e,author,0,,
kuehl_e-lankau:2003,lankau_t,author,1,,
kuehl_k:1999,kuehl_k,author,0,,
kuehl_k:2009,kuehl_k,author,0,,
kuehler-jelinek:2013,kuehler,editor,0,,
kuehler-jelinek:2013,jelinek_n,editor,1,,
kuehler-nossek:2014,kuehler,editor,0,,
kuehler-nossek:2014,nossek_a,editor,1,,
kuehler:2006,kuehler,author,0,,
kuehler:2012,kuehler,author,0,,
kuehler:2013,kuehler,author,0,,
kuehler:2013a,kuehler,author,0,,
kuehler:2013b,kuehler,author,0,,
kuehler:2014,kuehler,author,0,,
kuehler:2016,kuehler,author,0,,
kuehler:2021,kuehler,author,0,,
kuehn_m:1983,kuehn_m,author,0,,
kuehn_m:1983a,kuehn_m,author,0,,
kuehn_m:1983b,kuehn_m,author,0,,
kuehn_m:1985,kuehn_m,author,0,,
kuehn_m:1987,kuehn_m,author,0,,
kuehn_m:1995,kuehn_m,author,0,,
kuehn_m:1995a,kuehn_m,author,0,,
kuehn_m:1995b,kuehn_m,author,0,,
kuehn_m:1997,kuehn_m,author,0,,
kuehn_m:1998,kuehn_m,author,0,,
kuehn_m:1999,kuehn_m,author,0,,
kuehn_m:2001,kuehn_m,author,0,,
kuehn_m:2006,kuehn_m,author,0,,
kuehn_m:2006a,kuehn_m,author,0,,
kuehn_m:2009,kuehn_m,author,0,,
kuehn_m:2010,kuehn_m,author,0,,
kuehn_m:2010a,kuehn_m,author,0,,
kuehn_m:2011,kuehn_m,author,0,,
kuehn_m:2011a,kuehn_m,author,0,,
kuehn_m:2012,kuehn_m,author,0,,
kuehn_m:2014,kuehn_m,author,0,,
kuehn_m:2014a,kuehn_m,author,0,,
kuehn_m:2014b,kuehn_m,author,0,,
kuehn_m:2015,kuehn_m,author,0,,
kuehn_r-vanhemmen:1991,kuehn_r,author,0,,
kuehn_r-vanhemmen:1991,vanhemmen,author,1,,
kuehn_ro-staudigl:2002,kuehn_ro,author,0,,
kuehn_ro-staudigl:2002,staudigl,author,1,,
kuehn_ro-staudigl:2002a,kuehn_ro,author,0,,
kuehn_ro-staudigl:2002a,staudigl,author,1,,
kuehn_ro:1993,kuehn_ro,author,0,,
kuehn_ro:1998,kuehn_ro,author,0,,
kuehn_ro:1999,kuehn_ro,author,0,,
kuehn_ro:2004,kuehn_ro,author,0,,
kuehn_ro:2016,kuehn_ro,author,0,,
kuehn_w:1994,kuehn_w,author,0,,
kuehn_w:2000,kuehn_w,author,0,,
kuehn_w:2001,kuehn_w,author,0,,
kuehn_w:2005,kuehn_w,author,0,,
kuehn_w:2017,kuehn_w,author,0,,
kuehnemann_e:1924,kuehnemann_e,author,0,,
kuehnemund:2013,kuehnemund,author,0,,
kuehnlein_m:2019,kuehnlein_m,editor,0,,
kuehnlein_m:2019a,kuehnlein_m,author,0,,
kuehnlein_m:2019b,kuehnlein_m,author,0,,
kueker-etal:1987,kueker,editor,0,,
kueker-etal:1987,lopezescobar,editor,1,,
kueker-etal:1987,smith_ch,editor,2,,
kueker:1978,kueker,author,0,,
kuelpe_o:1912,kuelpe_o,author,0,,
kuemmerlingmeibauer:2019,kuemmerlingmeibauer,author,0,,
kueng_e:1967,kueng_e,author,0,,
kueng_g-canty:1970,kueng_g,author,0,,
kueng_g-canty:1970,canty_jt,author,1,,
kueng_g-imbach_r:1991,kueng_g,author,0,,
kueng_g-imbach_r:1991,imbach_r,author,1,,
kueng_g:1961,kueng_g,author,0,,
kueng_g:1962,kueng_g,author,0,,
kueng_g:1962a,kueng_g,author,0,,
kueng_g:1963,kueng_g,author,0,,
kueng_g:1963a,kueng_g,author,0,,
kueng_g:1964,kueng_g,author,0,,
kueng_g:1967,kueng_g,author,0,,
kueng_g:1972,kueng_g,author,0,,
kueng_g:1972a,kueng_g,author,0,,
kueng_g:1974,kueng_g,author,0,,
kueng_g:1975,kueng_g,author,0,,
kueng_g:1975a,kueng_g,author,0,,
kueng_g:1976,kueng_g,author,0,,
kueng_g:1977,kueng_g,author,0,,
kueng_g:1977,surma,guesteditor,0,,
kueng_g:1977a,kueng_g,author,0,,
kueng_g:1977b,kueng_g,author,0,,
kueng_g:1978a,kueng_g,author,0,,
kueng_g:1979,kueng_g,author,0,,
kueng_g:1979a,kueng_g,author,0,,
kueng_g:1979b,kueng_g,author,0,,
kueng_g:1981a,kueng_g,author,0,,
kueng_g:1982,kueng_g,author,0,,
kueng_g:1983,kueng_g,author,0,,
kueng_g:1984,kueng_g,author,0,,
kueng_g:1984a,kueng_g,author,0,,
kueng_g:1985,kueng_g,author,0,,
kueng_g:1986,kueng_g,author,0,,
kueng_g:1989,kueng_g,author,0,,
kueng_g:1990,kueng_g,author,0,,
kueng_g:1993,kueng_g,author,0,,
kueng_g:1993a,burri_a,guesteditor,0,,
kueng_g:1993a,kueng_g,author,0,,
kueng_g:1993a,freudiger_j,guesteditor,1,,
kueng_g:1993b,kueng_g,author,0,,
kueng_g:1995,kueng_g,author,0,,
kueng_g:unpub,kueng_g,author,0,,
kuenne_re:1985,kuenne_re,author,0,,
kuenne_w-etal:1997,kuenne_w,editor,0,,
kuenne_w-etal:1997,newman_al,editor,1,,
kuenne_w-etal:1997,anduschus,editor,2,,
kuenne_w-pisa:2018,kuenne_w,author,0,,
kuenne_w-pisa:2018,pisa_p,author,1,,
kuenne_w:1981,kuenne_w,author,0,,
kuenne_w:1982a,kuenne_w,author,0,,
kuenne_w:1982c,kuenne_w,author,0,,
kuenne_w:1983,kuenne_w,author,0,,
kuenne_w:1985,kuenne_w,author,0,,
kuenne_w:1987,kuenne_w,author,0,,
kuenne_w:1988,kuenne_w,author,0,,
kuenne_w:1989,kuenne_w,author,0,,
kuenne_w:1990a,kuenne_w,author,0,,
kuenne_w:1991,kuenne_w,author,0,,
kuenne_w:1992,kuenne_w,author,0,,
kuenne_w:1992a,kuenne_w,author,0,,
kuenne_w:1995a,kuenne_w,author,0,,
kuenne_w:1996,kuenne_w,author,0,,
kuenne_w:1997,kuenne_w,author,0,,
kuenne_w:1997,kuenne_w,guesteditor,0,,
kuenne_w:1997,siebel,guesteditor,1,,
kuenne_w:1997,textor,guesteditor,2,,
kuenne_w:1997a,kuenne_w,author,0,,
kuenne_w:1998,kuenne_w,author,0,,
kuenne_w:1998a,kuenne_w,author,0,,
kuenne_w:1999,kuenne_w,author,0,,
kuenne_w:1999a,kuenne_w,author,0,,
kuenne_w:2002,kuenne_w,author,0,,
kuenne_w:2002a,kuenne_w,author,0,,
kuenne_w:2003,kuenne_w,author,0,,
kuenne_w:2003a,kuenne_w,author,0,,
kuenne_w:2004,kuenne_w,author,0,,
