bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
kyburg_a-morreau:1998,kyburg_a,author,0,,
kyburg_a-morreau:1998,morreau,author,1,,
kyburg_a-morreau:2000,kyburg_a,author,0,,
kyburg_a-morreau:2000,morreau,author,1,,
kyburg_a:2000,kyburg_a,author,0,,
kydland_fe-prescott:1991,kydland_fe,author,0,,
kydland_fe-prescott:1991,prescott_e,author,1,,
kyle_b:2013,kyle_b,author,0,,
kyle_b:2013a,kyle_b,author,0,,
kyle_b:2013b,kyle_b,author,0,,
kyle_b:2015,kyle_b,author,0,,
kyle_b:2017,kyle_b,author,0,,
kymlicka-donaldson:2016,kymlicka,author,0,,
kymlicka-donaldson:2016,donaldson_s,author,1,,
kymlicka-straehle:1999,kymlicka,author,0,,
kymlicka-straehle:1999,straehle,author,1,,
kymlicka:1989,kymlicka,author,0,,
kymlicka:1990,kymlicka,author,0,,
kymlicka:1990a,kymlicka,author,0,,
kymlicka:1991,kymlicka,author,0,,
kymlicka:1992,kymlicka,author,0,,
kymlicka:1993,kymlicka,author,0,,
kymlicka:1995,kymlicka,author,0,,
kymlicka:2001,kymlicka,author,0,,
kymlicka:2002,kymlicka,author,0,,
kymlicka:2004,kymlicka,author,0,,
kymlicka:2007,kymlicka,author,0,,
kymlicka:2017,kymlicka,author,0,,
kymlicka:2018,kymlicka,author,0,,
kymlicka:2018a,kymlicka,author,0,,
kymlicka:2020,kymlicka,author,0,,
kyriacou_c-mckenna:2018,kyriacou_c,editor,0,,
kyriacou_c-mckenna:2018,mckenna_r,editor,1,,
kyriacou_c-mckenna:2018a,kyriacou_c,author,0,,
kyriacou_c-mckenna:2018a,mckenna_r,author,1,,
kyriacou_c:2016,kyriacou_c,author,0,,
kyriacou_c:2017,kyriacou_c,author,0,,
kyriacou_c:2018,kyriacou_c,author,0,,
kyriacou_c:2021,kyriacou_c,author,0,,
kyriacou_c:2021a,kyriacou_c,author,0,,
kyriacou_cp:2002,kyriacou_cp,author,0,,
kyrlezhev_a:2003,kyrlezhev_a,author,0,,
