bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
lea_d:2001,lea_d,author,0,,
lea_hw:1895,lea_hw,author,0,,
lea_j:2017,lea_j,author,0,,
leach_cw-etal:2014,leach_cw,author,0,,
leach_cw-etal:2014,spears_r,author,1,,
leach_cw-etal:2014,manstead_a,author,2,,
leach_cw-zeineddine:2021,leach_cw,author,0,,
leach_cw-zeineddine:2021,zeineddine,author,1,,
leach_cw:2020,leach_cw,author,0,,
leach_e:1976,leach_e,author,0,,
leach_j-etal:1973,leach_j,editor,0,,
leach_j-etal:1973,butts_re,editor,1,,
leach_j-etal:1973,pearce_g,editor,2,,
leach_jj:1977,leach_jj,author,0,,
leach_mm-leong:2018,leach_mm,author,0,,
leach_mm-leong:2018,leong_f,author,1,,
leach_mm-welfel:2018,leach_mm,editor,0,,
leach_mm-welfel:2018,welfel,editor,1,,
leach_s:2018,leach_s,author,0,,
leachkrouse:2014,leachkrouse,author,0,,
leachkrouse:2017,leachkrouse,author,0,,
leacock-etal:1998,leacock,author,0,,
leacock-etal:1998,chodorow_m,author,1,,
leacock-etal:1998,miller_ga,author,2,,
leader:1984,leader,author,0,,
leadermaynard:2019,leadermaynard,author,0,,
leahey:2003,leahey,author,0,,
leake-plaza:1997,leake,editor,0,,
leake-plaza:1997,plaza_e,editor,1,,
leake:1996,leake,editor,0,,
leake:2003,leake,author,0,,
leal_a:2019,leal_a,author,0,,
leal_f-marraud:2022,leal_f,author,0,,
leal_f-marraud:2022,marraud_h,author,1,,
leal_f:2013,leal_f,author,0,,
leaman-rizvi:2008,leaman,author,0,,
leaman-rizvi:2008,rizvi,author,1,,
leaman:1979,leaman,author,0,,
leaman:1988,leaman,author,0,,
leaman:1992,leaman,author,0,,
leaman:2000,leaman,author,0,,
leaman:2003,leaman,author,0,,
leaman:2003a,leaman,author,0,,
leaman:2009a,leaman,author,0,,
leaman:2013,leaman,author,0,,
lean_c-sterelny:2017,lean_c,author,0,,
lean_c-sterelny:2017,sterelny,author,1,,
lean_me:1962,lean_me,author,0,,
lean_om:2014,lean_om,author,0,,
leander_f:1949,leander_f,author,0,,
lear_gr:2019,lear_gr,author,0,,
lear_j-oliver:2010,lear_j,editor,0,,
lear_j-oliver:2010,oliver_a,editor,1,,
lear_j:1980,lear_j,author,0,,
lear_j:1980a,lear_j,author,0,,
lear_j:1982,lear_j,author,0,,
lear_j:1984,lear_j,author,0,,
lear_j:1984a,lear_j,author,0,,
lear_j:1986,lear_j,author,0,,
lear_j:1987,lear_j,author,0,,
lear_j:1988,lear_j,author,0,,
lear_j:1988a,lear_j,author,0,,
lear_j:1988b,lear_j,author,0,,
lear_j:1995,lear_j,author,0,,
lear_j:1995a,lear_j,author,0,,
lear_j:2001,lear_j,author,0,,
lear_j:2002,lear_j,author,0,,
lear_j:2004,lear_j,author,0,,
lear_j:2004a,lear_j,author,0,,
lear_j:2004b,lear_j,author,0,,
lear_j:2006,lear_j,author,0,,
lear_j:2006a,lear_j,author,0,,
lear_j:2006b,lear_j,author,0,,
lear_j:2008,lear_j,author,0,,
lear_j:2009,lear_j,author,0,,
lear_j:2009a,lear_j,author,0,,
lear_j:2010,lear_j,author,0,,
