bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
lu_c:2006,lu_c,author,0,,
lu_c:2017,lu_c,author,0,,
lu_m:2013,lu_m,author,0,,
lu_mt:2017,lu_mt,author,0,,
lu_r:2017,lu_r,author,0,,
lu_z:1989,lu_z,author,0,,
lu_z:1998,lu_z,author,0,,
luadler:2013,luadler,author,0,,
luadler:2014,luadler,author,0,,
luadler:2017,luadler,author,0,,
luadler:2018,luadler,author,0,,
luadler:2018a,luadler,author,0,,
luadler:2018b,luadler,author,0,,
luadler:2023,luadler,author,0,,
luadler:2023a,luadler,author,0,,
luban:1980,luban,author,0,,
luban:1992,luban,author,0,,
luban:2005,luban,author,0,,
luban:2008,luban,author,0,,
luban:2014,luban,author,0,,
luban:2015,luban,author,0,,
lubanski:1975,lubanski,author,0,,
lubanski:1982,lubanski,author,0,,
lubelli_uv:2010,lubelli_uv,author,0,,
lubin_d:2009,lubin_d,author,0,,
lubinski_d:2000,lubinski_d,author,0,,
lubkin:1976,lubkin,author,0,,
lublink:2011,lublink,author,0,,
lubnicki:1965,lubnicki,author,0,,
lubomirski:1982,lubomirski,author,0,,
lubow:1978,lubow,author,0,,
lubowicka:2000,lubowicka,author,0,,
lubrano_m:2014,lubrano_m,author,0,,
lubrano_m:2018,lubrano_m,author,0,,
lucaioli:2018,lucaioli,author,0,,
lucarini:2013,lucarini,author,0,,
lucas_bj:1985,lucas_bj,author,0,,
lucas_bj:1997,lucas_bj,author,0,,
lucas_bj:2002,lucas_bj,author,0,,
lucas_bj:2012,lucas_bj,author,0,,
lucas_dw:1968,lucas_dw,author,0,,
lucas_jr:1957,lucas_jr,author,0,,
lucas_jr:1959,lucas_jr,author,0,,
lucas_jr:1961,lucas_jr,author,0,,
lucas_jr:1962,lucas_jr,author,0,,
lucas_jr:1966,lucas_jr,author,0,,
lucas_jr:1967,lucas_jr,author,0,,
lucas_jr:1968,lucas_jr,author,0,,
lucas_jr:1969,lucas_jr,author,0,,
lucas_jr:1970,lucas_jr,author,0,,
lucas_jr:1970a,lucas_jr,author,0,,
lucas_jr:1971,lucas_jr,author,0,,
lucas_jr:1971a,lucas_jr,author,0,,
lucas_jr:1976,lucas_jr,author,0,,
lucas_jr:1976a,lucas_jr,author,0,,
lucas_jr:1977,lucas_jr,author,0,,
lucas_jr:1980,lucas_jr,author,0,,
lucas_jr:1984,lucas_jr,author,0,,
lucas_jr:1984a,lucas_jr,author,0,,
lucas_jr:1985,lucas_jr,author,0,,
lucas_jr:1986,lucas_jr,author,0,,
lucas_jr:1986a,lucas_jr,author,0,,
lucas_jr:1987,lucas_jr,author,0,,
lucas_jr:1989,lucas_jr,author,0,,
lucas_jr:1989a,lucas_jr,author,0,,
lucas_jr:1994,lucas_jr,author,0,,
lucas_jr:1994a,lucas_jr,author,0,,
lucas_jr:1995,lucas_jr,author,0,,
lucas_jr:1995a,lucas_jr,author,0,,
lucas_jr:1996,lucas_jr,author,0,,
lucas_jr:1998,lucas_jr,author,0,,
lucas_jr:1998a,lucas_jr,author,0,,
lucas_jr:1999,lucas_jr,author,0,,
lucas_jr:2000,lucas_jr,author,0,,
lucas_jr:2002,lucas_jr,author,0,,
