bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ma_j-knight:1999,ma_j,author,0,,
ma_j-knight:1999,knight_b,author,1,,
ma_jo:2009,ma_jo,author,0,,
ma_mq:2000,ma_mq,author,0,,
ma_mq:2005,ma_mq,author,0,,
ma_mq:2007,ma_mq,author,0,,
ma_mq:2011,ma_mq,author,0,,
ma_mq:2018,ma_mq,author,0,,
ma_t:2023,ma_t,author,0,,
ma_y-wilkins:1991,ma_y,author,0,,
ma_y-wilkins:1991,wilkins_dc,author,1,,
maag_r:2019,maag_r,author,0,,
maas:1999,maas,author,0,,
maas:2011,maas,author,0,,
maas:2014,maas,author,0,,
maasen:2006,maasen,author,0,,
maass:2014,maass,author,0,,
maassen_h:2010,maassen_h,author,0,,
maassen_j:2015,maassen_j,author,0,,
maat:2011,maat,author,0,,
mabbott:1929,mabbott,author,0,,
mabbott:1935,mabbott,author,0,,
mabbott:1949,mabbott,author,0,,
mabbott:1954,mabbott,author,0,,
mabbott:1956,mabbott,author,0,,
mabbott:1971,mabbott,author,0,,
mabee:2018,mabee,author,0,,
mabillard_m:1991,mabillard_m,author,0,,
mabille_b:2001,mabille_b,author,0,,
mabille_b:2004,mabille_b,author,0,,
mabille_b:2006,mabille_b,editor,0,,
mabille_l-stoker:2023,mabille_l,editor,0,,
mabille_l-stoker:2023,stoker_h,editor,1,,
mabrito:2005,mabrito,author,0,,
mabrito:2013,mabrito,author,0,,
mabuchi:2004,mabuchi,author,0,,
macadam_j:1983,macadam_j,author,0,,
macagno:2017,macagno,author,0,,
macann:1981,macann,author,0,,
macann:1991,macann,author,0,,
macann:1992,macann,editor,0,,
macann:1992a,macann,editor,0,,
macann:1992b,macann,editor,0,,
macann:1992c,macann,editor,0,,
macann:2015,macann,author,0,,
macarthur_d-price:2007,macarthur_d,author,0,,
macarthur_d-price:2007,price_h,author,1,,
macarthur_d:2003,macarthur_d,author,0,,
macarthur_d:2004,macarthur_d,author,0,,
macarthur_d:2006,macarthur_d,author,0,,
macarthur_d:2008,macarthur_d,author,0,,
macarthur_d:2008a,macarthur_d,author,0,,
macarthur_d:2010,macarthur_d,author,0,,
macarthur_d:2015,macarthur_d,author,0,,
macarthur_d:2016,macarthur_d,author,0,,
macarthur_d:2017,macarthur_d,author,0,,
macarthur_d:2020,macarthur_d,author,0,,
macaskill-etal:2020,macaskill,author,0,,
macaskill-etal:2020,bykvist,author,1,,
macaskill-etal:2020,ord_t,author,2,,
macaskill:2016,macaskill,author,0,,
macaskill:2016a,macaskill,author,0,,
macaskill:2016b,macaskill,author,0,,
macaskill:2018,macaskill,author,0,,
macaskill:2019,macaskill,author,0,,
macaulay_l:1995,macaulay_l,author,0,,
macaulay_m:2015,macaulay_m,author,0,,
macauley_d:2001,macauley_d,author,0,,
macavoy_l:2001,macavoy_l,author,0,,
macbeath:1973,macbeath,author,0,,
macbeath:1982,macbeath,author,0,,
macbeath:1983,macbeath,author,0,,
macbeath:1988,macbeath,author,0,,
macbeath:1989,macbeath,author,0,,
macbeth_d:1995,macbeth_d,author,0,,
macbeth_d:1997,macbeth_d,author,0,,
macbeth_d:2004,macbeth_d,author,0,,
macbeth_d:2004a,macbeth_d,author,0,,
macbeth_d:2005a,macbeth_d,author,0,,
macbeth_d:2007a,macbeth_d,author,0,,
macbeth_d:2007b,macbeth_d,author,0,,
macbeth_d:2010,macbeth_d,author,0,,
macbeth_d:2012a,macbeth_d,author,0,,
macbeth_d:2013,macbeth_d,author,0,,
macbeth_d:2014,macbeth_d,author,0,,
macbeth_d:2017,macbeth_d,author,0,,
