bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
meacham_c-weisberg:2011,meacham_c,author,0,,
meacham_c-weisberg:2011,weisberg_jon,author,1,,
meacham_c:2005,meacham_c,author,0,,
meacham_c:2007,meacham_c,author,0,,
meacham_c:2008,meacham_c,author,0,,
meacham_c:2010,meacham_c,author,0,,
meacham_c:2010a,meacham_c,author,0,,
meacham_c:2010b,meacham_c,author,0,,
meacham_c:2010c,meacham_c,author,0,,
meacham_c:2012,meacham_c,author,0,,
meacham_c:2014,meacham_c,author,0,,
meacham_c:2014a,meacham_c,author,0,,
meacham_c:2015,meacham_c,author,0,,
meacham_c:2016,meacham_c,author,0,,
meacham_c:2018,meacham_c,author,0,,
meacham_c:2019,meacham_c,author,0,,
meacham_c:2023,meacham_c,author,0,,
meacham_d-dewarren:2021,meacham_d,editor,0,,
meacham_d-dewarren:2021,dewarren,editor,1,,
meacham_d-dewarren:2021a,meacham_d,author,0,,
meacham_d-dewarren:2021a,dewarren,author,1,,
mead_gh:1908,mead_gh,author,0,,
mead_gh:1913,mead_gh,author,0,,
mead_gh:1922,mead_gh,author,0,,
mead_gh:1925,mead_gh,author,0,,
mead_gh:1926,mead_gh,author,0,,
mead_gh:1927,mead_gh,author,0,,
mead_gh:1929,mead_gh,author,0,,
mead_gh:1930,mead_gh,author,0,,
mead_lm:2003,mead_lm,author,0,,
meadon_m:2008,meadon_m,author,0,,
meadowcroft:2011,meadowcroft,author,0,,
meadowcroft:2013,meadowcroft,author,0,,
meadows_a:2009,meadows_a,author,0,,
meadows_pj:2011,meadows_pj,author,0,,
meadows_pj:2013,meadows_pj,author,0,,
meadows_pj:2013a,meadows_pj,author,0,,
meadows_pj:2015,meadows_pj,author,0,,
meadows_pj:2020,meadows_pj,author,0,,
meadows_t-weber:2016,meadows_t,author,0,,
meadows_t-weber:2016,weber_z,author,1,,
meadows_t:2013,meadows_t,author,0,,
meadows_t:2014,meadows_t,author,0,,
meadows_t:2015,meadows_t,author,0,,
meadows_t:2016,meadows_t,author,0,,
meadows_t:2017,meadows_t,author,0,,
meager:1958,meager,author,0,,
meagher_s-etal:2020,meagher_s,editor,0,,
meagher_s-etal:2020,noll_s,editor,1,,
meagher_s-etal:2020,biehl,editor,2,,
meagher_s:2020,meagher_s,author,0,,
meagher_s:2020a,meagher_s,author,0,,
mealey_mt:2012,mealey_mt,author,0,,
means:1879,means,author,0,,
mearsheimer:2015,mearsheimer,author,0,,
measham-south:2012,measham,author,0,,
measham-south:2012,south_n,author,1,,
measor:1980,measor,author,0,,
measor:1986,measor,author,0,,
mebius-etal:2016,mebius,author,0,,
mebius-etal:2016,kennedy_ag,author,1,,
mebius-etal:2016,howick_j,author,2,,
mecheril_p:2020,mecheril_p,author,0,,
mechler:1911,mechler,author,0,,
mechoulan_e:2004,mechoulan_e,author,0,,
mechoulan_h-cornette:1996,mechoulan_h,editor,0,,
mechoulan_h-cornette:1996,cornette_j,editor,1,,
mechoulan_h-etal:2001,mechoulan_h,editor,0,,
mechoulan_h-etal:2001,popkin_rh,editor,1,,
mechoulan_h-etal:2001,ricuperati,editor,2,,
mechoulan_h-etal:2001,simonutti,editor,3,,
mechoulan_h:1985,mechoulan_h,editor,0,,
mechoulan_h:1988,mechoulan_h,editor,0,,
mechtenberg:2001,mechtenberg,author,0,,
mechtenberg:2004,mechtenberg,author,0,,
mechtenberg:2006,mechtenberg,author,0,,
meckledgarcia_s:2005,meckledgarcia_s,author,0,,
meckledgarcia_s:2015,meckledgarcia_s,author,0,,
meckler:1950,meckler,author,0,,
meckler:1953,meckler,author,0,,
meconi-stump:2014,meconi,editor,0,,
meconi-stump:2014,stump_e,editor,1,,
meconi:2021,meconi,editor,0,,
meda:2004,meda,author,0,,
medicus:1899,medicus,author,0,,
medicus:1914,medicus,author,0,,
medicus:1931,medicus,author,0,,
medin-etal:2015,medin,author,0,,
medin-etal:2015,ojalehto_b,author,1,,
medin-etal:2015,waxman_s,author,2,,
medin-etal:2015,bang_m,author,3,,
medin-rips:2005,medin,author,0,,
medin-rips:2005,rips,author,1,,
medina_a:1984,medina_a,author,0,,
