bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
mrad:2008,mrad,author,0,,
mras-etal:2019,mras,editor,0,,
mras-etal:2019,weingartner_p,editor,1,,
mras-etal:2019,ritter_b,editor,2,,
mras-schmitz:2022,mras,editor,0,,
mras-schmitz:2022,schmitz_mi,editor,1,,
mras:2003,mras,author,0,,
mras:2010,mras,author,0,,
mras:2014a,mras,author,0,,
mras:2022,mras,author,0,,
mroz_p-ace:2006,mroz_p,author,0,,
mroz_p-ace:2006,ace,author,1,,
mroz_p-kaluza:2007,mroz_p,author,0,,
mroz_p-kaluza:2007,kaluza_ma,author,1,,
mroz_p-warminski:2002,mroz_p,author,0,,
mroz_p-warminski:2002,warminski,author,1,,
mroz_p:2000,mroz_p,author,0,,
mroz_p:2000a,mroz_p,author,0,,
mroz_p:2004,mroz_p,author,0,,
mroz_p:2007,mroz_p,author,0,,
mroz_p:2008,mroz_p,author,0,,
mroz_p:2009,mroz_p,author,0,,
mroz_p:2009a,mroz_p,author,0,,
mroz_p:2011,mroz_p,author,0,,
mroz_p:2011a,mroz_p,author,0,,
mroz_p:2018,mroz_p,author,0,,
mroz_p:2021,mroz_p,author,0,,
mroz_t:2009,mroz_t,author,0,,
