bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
na-huck:1993,na,author,0,,
na-huck:1993,huck_gj,author,1,,
naab_e:2009,naab_e,author,0,,
naaman_o:2015,naaman_o,author,0,,
naamanzauderer:2004,naamanzauderer,author,0,,
naamanzauderer:2010,naamanzauderer,author,0,,
naar-tappolet:2017,naar,author,0,,
naar-tappolet:2017,tappolet,author,1,,
naar-teroni:2018,naar,editor,0,,
naar-teroni:2018,teroni,editor,1,,
naar-teroni:2018a,naar,author,0,,
naar-teroni:2018a,teroni,author,1,,
naar:2013,naar,author,0,,
naar:2013a,naar,author,0,,
naar:2017,naar,author,0,,
naar:2018,naar,author,0,,
naar:2019,naar,author,0,,
naar:2020,naar,author,0,,
naar:2021,naar,author,0,,
naar:2021a,naar,author,0,,
naar:2022,naar,author,0,,
naar:2022a,naar,author,0,,
naar:2022b,naar,author,0,,
naar:2024,naar,author,0,,
naas_m:2012,naas_m,author,0,,
naas_m:2014,naas_m,author,0,,
naas_m:2018,naas_m,author,0,,
nabe:1980,nabe,author,0,,
naberhaus:2006,naberhaus,author,0,,
naberhaus:2012,naberhaus,author,0,,
nabulsi-foisneau:2007,nabulsi,author,0,,
nabulsi-foisneau:2007,foisneau,author,1,,
nabulsi:2006,nabulsi,author,0,,
naccache:2005,naccache,author,0,,
nachi:2004,nachi,author,0,,
nachtomy-smith:2014,nachtomy,editor,0,,
nachtomy-smith:2014,smithruiu,editor,1,,
nachtomy-smith:2014a,nachtomy,author,0,,
nachtomy-smith:2014a,smithruiu,author,1,,
nachtomy:2017,nachtomy,author,0,,
nacol_ec:2016,nacol_ec,author,0,,
naconecy:2018,naconecy,author,0,,
nadathur-miller:1998,nadathur,author,0,,
nadathur-miller:1998,miller_dae,author,1,,
naddaf_g:2013,naddaf_g,author,0,,
naddaf_g:2017,naddaf_g,author,0,,
nadeau_a:1986,nadeau_a,editor,0,,
nadeau_c-saada:2009,nadeau_c,author,0,,
nadeau_c-saada:2009,saada_j,author,1,,
nadeau_c:2013,nadeau_c,author,0,,
nadeau_ma:2013,nadeau_ma,author,0,,
nadeau_r:1969,nadeau_r,author,0,,
nadeau_r:1996,nadeau_r,author,0,,
nadeau_r:2001,nadeau_r,author,0,,
nadeau_r:2009,nadeau_r,editor,0,,
nadel_j:2002,nadel_j,author,0,,
nadel_l-etal:1986,nadel_l,author,0,,
nadel_l-etal:1986,willner_j,author,1,,
nadel_l-etal:1986,kurz_e,author,2,,
nadel_l:1989,nadel_l,editor,0,,
nadel_l:2003,nadel_l,editor,0,,
nadel_m:1985,nadel_m,author,0,,
nadelhoffer-feltz:2007,nadelhoffer,author,0,,
nadelhoffer-feltz:2007,feltz_a,author,1,,
nadelhoffer-nahmias:2007,nadelhoffer,author,0,,
nadelhoffer-nahmias:2007,nahmias,author,1,,
nadelhoffer-sinnottarmstrong:2011,nadelhoffer,author,0,,
nadelhoffer-sinnottarmstrong:2011,sinnottarmstrong,author,1,,
nadelhoffer-sinnottarmstrong:2012,nadelhoffer,author,0,,
nadelhoffer-sinnottarmstrong:2012,sinnottarmstrong,author,1,,
nadelhoffer:2006,nadelhoffer,author,0,,
nadelhoffer:2010,nadelhoffer,author,0,,
nadelhoffer:2011,nadelhoffer,author,0,,
nadelhoffer:2011a,nadelhoffer,author,0,,
nadelhoffer:2013,nadelhoffer,author,0,,
nadelhoffer:2024,nadelhoffer,author,0,,
nadelturonski:1976,nadelturonski,author,0,,
nadelturonski:1982,nadelturonski,author,0,,
nadenik:1996,nadenik,author,0,,
nader_a:1963,nader_a,author,0,,
nader_a:1981,nader_a,author,0,,
nader_a:1994,nader_a,author,0,,
nader_a:2004,nader_a,author,0,,
nader_l:2007,nader_l,author,0,,
nadkarni_mv:2011,nadkarni_mv,author,0,,
nadkarni_mv:2014,nadkarni_mv,author,0,,
nadler_j-trout:2012,nadler_j,author,0,,
nadler_j-trout:2012,trout_jd,author,1,,
nadler_sm-etal:2019,nadler_sm,editor,0,,
nadler_sm-etal:2019,schmaltz,editor,1,,
nadler_sm-etal:2019,antoinemahut,editor,2,,
nadler_sm-rudavsky:2009,nadler_sm,editor,0,,
nadler_sm-rudavsky:2009,rudavsky,editor,1,,
nadler_sm-rudavsky:2009a,nadler_sm,author,0,,
nadler_sm-rudavsky:2009a,rudavsky,author,1,,
nadler_sm:1986,nadler_sm,author,0,,
nadler_sm:1990,nadler_sm,author,0,,
nadler_sm:1992,nadler_sm,author,0,,
nadler_sm:1992a,nadler_sm,author,0,,
nadler_sm:1993,nadler_sm,editor,0,,
nadler_sm:1993a,nadler_sm,author,0,,
nadler_sm:1993b,nadler_sm,author,0,,
nadler_sm:1993c,nadler_sm,author,0,,
nadler_sm:1994,nadler_sm,author,0,,
nadler_sm:1994a,nadler_sm,author,0,,
nadler_sm:1994b,nadler_sm,author,0,,
