bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ng_ht-etal:2000,ng_ht,author,0,,
ng_ht-etal:2000,hweetwo,author,1,,
ng_ht-etal:2000,laiphengkwan,author,2,,
ng_ht-lee:1996,ng_ht,author,0,,
ng_ht-lee:1996,lee_hb,author,1,,
ng_ht-mooney:1990,ng_ht,author,0,,
ng_ht-mooney:1990,mooney_rj,author,1,,
ng_ht-mooney:1992,ng_ht,author,0,,
ng_ht-mooney:1992,mooney_rj,author,1,,
ng_ht-zelle:1998,ng_ht,author,0,,
ng_ht-zelle:1998,zelle_j,author,1,,
ng_ht:1997,ng_ht,author,0,,
ng_k:2009,ng_k,author,0,,
ng_k:2020,ng_k,author,0,,
ng_m:1987,ng_m,author,0,,
ng_m:2017,ng_m,author,0,,
ng_yk:1983,ng_yk,author,0,,
ng_yk:1985,ng_yk,author,0,,
ng_yk:2019,ng_yk,author,0,,
ngo_h:2022,ngo_h,author,0,,
ngomabinda:2004,ngomabinda,author,0,,
ngoymukena:2000,ngoymukena,author,0,,
nguessandepry:2000,nguessandepry,author,0,,
ngueti_m:2013,ngueti_m,author,0,,
nguimbi_m-makitabati:2018,nguimbi_m,author,0,,
nguimbi_m-makitabati:2018,makitabati_f,author,1,,
nguimbi_m:2011,nguimbi_m,author,0,,
nguimbi_m:2015,nguimbi_m,author,0,,
nguyen_am:2008,nguyen_am,author,0,,
nguyen_am:2015,nguyen_am,author,0,,
nguyen_ct:2010,nguyen_ct,author,0,,
nguyen_ct:2017,nguyen_ct,author,0,,
nguyen_ct:2020,nguyen_ct,author,0,,
nguyen_ct:2020a,nguyen_ct,author,0,,
nguyen_ct:2020b,nguyen_ct,author,0,,
nguyen_ct:2021,nguyen_ct,author,0,,
nguyen_ht-etal:1999,nguyen_ht,author,0,,
nguyen_ht-etal:1999,kreinovich,author,1,,
nguyen_ht-etal:1999,wu_be,author,2,,
nguyen_ht-walker:1997,nguyen_ht,author,0,,
nguyen_ht-walker:1997,walker_ea,author,1,,
nguyen_ks:1973,nguyen_ks,author,0,,
nguyen_la:2001,nguyen_la,author,0,,
nguyen_la:2005,nguyen_la,author,0,,
nguyen_la:2006,nguyen_la,author,0,,
nguyen_m:2016,nguyen_m,author,0,,
nguyen_mv:1969,nguyen_mv,author,0,,
nguyen_xl-etal:2002,nguyen_xl,author,0,,
nguyen_xl-etal:2002,kambhampati,author,1,,
nguyen_xl-etal:2002,nigenda_r,author,2,,
nguyenthaihop:1979,nguyenthaihop,author,0,,
