bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
nyberg_d:1995,nyberg_d,author,0,,
nyblom_c:2023,nyblom_c,author,0,,
nyden:2013,nyden,author,0,,
nyden:2014,nyden,author,0,,
nye_a-etal:1992,nye_a,editor,0,,
nye_a-etal:1992,richards_jo,editor,1,,
nye_a-etal:1992,stuewer,editor,2,,
nye_a:1989,nye_a,author,0,,
nye_a:1990,nye_a,author,0,,
nye_a:1998,nye_a,editor,0,,
nye_a:2000,nye_a,author,0,,
nye_a:2004,nye_a,author,0,,
nye_a:2008,nye_a,author,0,,
nye_h-etal:2015,nye_h,author,0,,
nye_h-etal:2015,plunkett_d,author,1,,
nye_h-etal:2015,ku_j,author,2,,
nye_h:2013,nye_h,author,0,,
nye_h:2014,nye_h,author,0,,
nye_h:2015,nye_h,author,0,,
nye_h:2018,nye_h,author,0,,
nye_mj:1992,nye_mj,author,0,,
nye_mj:2001,nye_mj,author,0,,
nye_mj:2001a,nye_mj,author,0,,
nye_mj:2002,nye_mj,editor,0,,
nye_mj:2011,nye_mj,author,0,,
nye_ra:1999,nye_ra,editor,0,,
nyenhuis:1990,nyenhuis,author,0,,
nyenhuis:2002,nyenhuis,author,0,,
nyenhuis:2002a,nyenhuis,author,0,,
nyenhuis:2004,nyenhuis,author,0,,
nyholm:2002,nyholm,author,0,,
nyholm:2015,nyholm,author,0,,
nyholm:2015a,nyholm,author,0,,
nyholm:2016,nyholm,author,0,,
nyholm:2018,nyholm,author,0,,
nyholm:2018a,nyholm,author,0,,
nyholm:2018b,nyholm,author,0,,
nyholm:2023,nyholm,author,0,,
nyiri_jc:1981,nyiri_jc,editor,0,,
nyiri_jc:1981a,nyiri_jc,author,0,,
nyiri_jc:1986,nyiri_jc,editor,0,,
nyiri_jc:1992,nyiri_jc,author,0,,
nyiri_jc:1994,nyiri_jc,author,0,,
nyiri_jc:2001,nyiri_jc,author,0,,
nyiri_jc:2006,nyiri_jc,author,0,,
nyiri_jc:2013,nyiri_jc,author,0,,
nyirimpunga_f:1963,nyirimpunga_f,author,0,,
nyirkos_t:2018,nyirkos_t,author,0,,
nyong_d:1990,nyong_d,author,0,,
nyquistpotter:2008,nyquistpotter,author,0,,
nyquistpotter:2013,nyquistpotter,author,0,,
nyquistpotter:2014,nyquistpotter,author,0,,
nyquistpotter:2020,nyquistpotter,author,0,,
nys_t-dewijze:2019,nys_t,editor,0,,
nys_t-dewijze:2019,dewijze,editor,1,,
nys_t-dewijze:2019a,nys_t,author,0,,
nys_t-dewijze:2019a,dewijze,author,1,,
nys_t:2007,nys_t,author,0,,
nys_t:2009,nys_t,author,0,,
nys_t:2019,nys_t,author,0,,
nysanbayev-kadyrzhanov:1991,nysanbayev,author,0,,
nysanbayev-kadyrzhanov:1991,kadyrzhanov,author,1,,
nyseth:2017,nyseth,author,0,,
