bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
odaly_g:1987,odaly_g,author,0,,
odaly_g:1989,odaly_g,author,0,,
odaly_g:2001,odaly_g,author,0,,
odaly_g:2007,odaly_g,author,0,,
odaly_g:2008,odaly_g,author,0,,
oday_k:1994,oday_k,author,0,,
oday_m:2001,oday_m,author,0,,
oddie-demetriou:2010,oddie,author,0,,
oddie-demetriou:2010,demetriou_d,author,1,,
oddie-tichy:1990,oddie,author,0,,
oddie-tichy:1990,tichy_p,author,1,,
oddie:1982,oddie,author,0,,
oddie:1986,oddie,author,0,,
oddie:1987,oddie,author,0,,
oddie:1987a,oddie,author,0,,
oddie:1988,oddie,author,0,,
oddie:1989,oddie,author,0,,
oddie:1989a,oddie,author,0,,
oddie:1991,oddie,author,0,,
oddie:1996,oddie,author,0,,
oddie:1996a,oddie,author,0,,
oddie:2001,oddie,author,0,,
oddie:2001a,oddie,author,0,,
oddie:2001b,oddie,author,0,,
oddie:2005,oddie,author,0,,
oddie:2005a,oddie,author,0,,
oddie:2006,oddie,author,0,,
oddie:2008,oddie,author,0,,
oddie:2009,oddie,author,0,,
oddie:2013,oddie,author,0,,
oddie:2014a,oddie,author,0,,
oddie:2015,oddie,author,0,,
oddie:2016,oddie,author,0,,
oddie:2016a,oddie,author,0,,
oddie:2017,oddie,author,0,,
oddie:2018,oddie,author,0,,
oddie_w:1948,oddie_w,author,0,,
odea:2006,odea,author,0,,
odea:2008,odea,author,0,,
odea:2012,odea,author,0,,
odea:2018,odea,author,0,,
odegard:1964,odegard,author,0,,
odegard:1964a,odegard,author,0,,
odegard:1965,odegard,author,0,,
odegard:1969,odegard,author,0,,
odegard:1969a,odegard,author,0,,
odegard:1969b,odegard,author,0,,
odegard:1970,odegard,author,0,,
odegard:1970a,odegard,author,0,,
odegard:1971,odegard,author,0,,
odegard:1972,odegard,author,0,,
odegard:1973,odegard,author,0,,
odegard:1977,odegard,author,0,,
odegard:1982,odegard,author,0,,
odegard:1984,odegard,author,0,,
odegard:1987,odegard,author,0,,
odegard:1992,odegard,author,0,,
odegard:1993,odegard,author,0,,
odegard:1994,odegard,author,0,,
odegard:1994a,odegard,author,0,,
odegard:1995,odegard,author,0,,
odelstad:1988,odelstad,author,0,,
odelstad:1990,odelstad,author,0,,
odenbaugh:2008,odenbaugh,author,0,,
odenbaugh:2010,odenbaugh,author,0,,
odenbaugh:2010a,odenbaugh,author,0,,
odenbaugh:2017,odenbaugh,author,0,,
odenbaugh:2017a,odenbaugh,author,0,,
oderberg-chappell:2004,oderberg,editor,0,,
oderberg-chappell:2004,chappell_sg,editor,1,,
oderberg-chappell:2004a,oderberg,author,0,,
oderberg-chappell:2004a,chappell_sg,author,1,,
oderberg:1989,oderberg,author,0,,
oderberg:1993,oderberg,author,0,,
oderberg:1996,oderberg,author,0,,
oderberg:1999,oderberg,editor,0,,
oderberg:1999a,oderberg,author,0,,
oderberg:2001,oderberg,author,0,,
oderberg:2001a,oderberg,author,0,,
oderberg:2002,oderberg,author,0,,
oderberg:2002a,oderberg,author,0,,
oderberg:2003,oderberg,author,0,,
oderberg:2004,oderberg,author,0,,
oderberg:2004a,oderberg,author,0,,
oderberg:2004b,oderberg,author,0,,
oderberg:2005,oderberg,editor,0,,
oderberg:2005a,oderberg,author,0,,
oderberg:2006,oderberg,author,0,,
oderberg:2007,oderberg,author,0,,
oderberg:2008,oderberg,author,0,,
oderberg:2008a,oderberg,author,0,,
oderberg:2009,oderberg,author,0,,
oderberg:2010,oderberg,author,0,,
oderberg:2010a,oderberg,author,0,,
oderberg:2011,oderberg,author,0,,
oderberg:2011a,oderberg,author,0,,
oderberg:2012,oderberg,author,0,,
oderberg:2012a,oderberg,author,0,,
oderberg:2012b,oderberg,author,0,,
oderberg:2012c,oderberg,author,0,,
oderberg:2013,oderberg,editor,0,,
oderberg:2013a,oderberg,author,0,,
oderberg:2013b,oderberg,author,0,,
oderberg:2013c,oderberg,author,0,,
oderberg:2014,oderberg,author,0,,
oderberg:2014a,oderberg,author,0,,
oderberg:2014b,oderberg,author,0,,
oderberg:2015,oderberg,author,0,,
oderberg:2016,oderberg,author,0,,
oderberg:2017,oderberg,author,0,,
oderberg:2017a,oderberg,author,0,,
oderberg:2017b,oderberg,author,0,,
oderberg:2018,oderberg,author,0,,
oderberg:2019,oderberg,author,0,,
oderberg:2021,oderberg,author,0,,
oderberg:2021a,oderberg,author,0,,
oderberg:2022,oderberg,author,0,,
oderberg:2023,oderberg,author,0,,
odero:1995,odero,author,0,,
odersky:1994,odersky,editor,0,,
odifreddi:1989,odifreddi,author,0,,
odifreddi:1990,odifreddi,editor,0,,
odifreddi:1997,odifreddi,author,0,,
odifreddi:1999,odifreddi,author,0,,
odifreddi:2004,odifreddi,author,0,,
odifreddi:2006,odifreddi,author,0,,
odifreddi:2015,odifreddi,author,0,,
odintsov-wansing:2003,odintsov,author,0,,
odintsov-wansing:2003,wansing,author,1,,
odintsov-wansing:2004,odintsov,author,0,,
odintsov-wansing:2004,wansing,author,1,,
odintsov:1998,odintsov,author,0,,
odintsov:1999,odintsov,author,0,,
odintsov:2003,odintsov,author,0,,
odintsov:2014,odintsov,author,0,,
odintsov:2019,odintsov,author,0,,
odobasic_m:2013,odobasic_m,author,0,,
odonahue-kitchener:1996,odonahue,editor,0,,
odonahue-kitchener:1996,kitchener_rf,editor,1,,
odonahue-mangold:1996,odonahue,author,0,,
odonahue-mangold:1996,mangold_r,author,1,,
odonahue-vass:1996,odonahue,author,0,,
odonahue-vass:1996,vass_j,author,1,,
odonell_k:2001,odonell_k,author,0,,
odonis:1997,odonis,author,0,,
odonis:2005,odonis,author,0,,
odonis:2005a,odonis,author,0,,
odonnell_j:2001,odonnell_j,author,0,,
odonnell_jr:1974,odonnell_jr,editor,0,,
odonnell_k:2012,odonnell_k,author,0,,
odonnell_m-etal:1998,odonnell_m,author,0,,
odonnell_m-etal:1998,cheng_hu,author,1,,
odonnell_m-etal:1998,hitzeman,author,2,,
