bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
oh_ah-rudnicky:2000,oh_ah,author,0,,
oh_ah-rudnicky:2000,rudnicky_ai,author,1,,
oh_c-dineen:1979,oh_c,editor,0,,
oh_c-dineen:1979,dineen_da,editor,1,,
oh_c:1977,oh_c,author,0,,
oh_i:2012,oh_i,author,0,,
oh_js:2018,oh_js,author,0,,
oh_jy-etal:2015,oh_jy,author,0,,
oh_jy-etal:2015,kim_yos,author,1,,
oh_jy-etal:2015,kim_ch,author,2,,
oh_jy-etal:2015,min_bm,author,3,,
oh_jy-etal:2015,son_ya,author,4,,
ohagan_a-west:2010,ohagan_a,editor,0,,
ohagan_a-west:2010,west_mi,editor,1,,
ohagan_e:2005,ohagan_e,author,0,,
ohagan_t:1982,ohagan_t,author,0,,
ohagan_t:1999,ohagan_t,author,0,,
ohagan_t:2006,ohagan_t,author,0,,
ohair_g:1992,ohair_g,author,0,,
ohair_sg:1966,ohair_sg,author,0,,
ohair_sg:1967,ohair_sg,author,0,,
ohana-chana:1957,ohana,author,0,,
ohana-chana:1957,chana_j,author,1,,
ohana:1961,ohana,author,0,,
ohanian_hc:2007,ohanian_hc,author,0,,
ohara_d:2013,ohara_d,author,0,,
ohara_k-scutt:1996,ohara_k,author,0,,
ohara_k-scutt:1996,scutt_t,author,1,,
ohara_k:2014,ohara_k,author,0,,
ohara_ml:1982,ohara_ml,editor,0,,
ohara_t-etal:1998,ohara_t,author,0,,
ohara_t-etal:1998,mahesh_k,author,1,,
ohara_t-etal:1998,nirenburg,author,2,,
ohashi_r:1993,ohashi_r,author,0,,
ohashi_r:1995,ohashi_r,author,0,,
ohashi_r:2008,ohashi_r,author,0,,
ohe:1979,ohe,author,0,,
ohear:1972,ohear,author,0,,
ohear:1976,ohear,author,0,,
ohear:1979,ohear,author,0,,
ohear:1984,ohear,author,0,,
ohear:1988,ohear,author,0,,
ohear:1989,ohear,author,0,,
ohear:1992,ohear,author,0,,
ohear:1995b,ohear,author,0,,
ohear:1996,ohear,editor,0,,
ohear:1996a,ohear,author,0,,
ohear:1998,ohear,editor,0,,
ohear:1999,ohear,editor,0,,
ohear:1999a,ohear,author,0,,
ohear:2000,ohear,editor,0,,
ohear:2000a,ohear,author,0,,
ohear:2001,ohear,editor,0,,
ohear:2001a,ohear,author,0,,
ohear:2002,ohear,editor,0,,
ohear:2003,ohear,editor,0,,
ohear:2004,ohear,editor,0,,
ohear:2005,ohear,editor,0,,
ohear:2005a,ohear,author,0,,
ohear:2006,ohear,editor,0,,
ohear:2006a,ohear,author,0,,
ohear:2006b,ohear,author,0,,
ohear:2007,ohear,editor,0,,
ohear:2009,ohear,editor,0,,
ohear:2009a,ohear,editor,0,,
ohear:2009b,ohear,author,0,,
ohear:2009c,ohear,author,0,,
ohear:2009d,ohear,author,0,,
ohear:2009e,ohear,author,0,,
ohear:2009f,ohear,author,0,,
ohear:2011,ohear,editor,0,,
ohear:2011a,ohear,editor,0,,
ohear:2012,ohear,editor,0,,
ohear:2012a,ohear,author,0,,
ohear:2013,ohear,editor,0,,
ohear:2013a,ohear,author,0,,
ohear:2014,ohear,editor,0,,
ohear:2015,ohear,editor,0,,
ohear:2016,ohear,editor,0,,
ohear:2017,ohear,editor,0,,
ohear:2018,ohear,editor,0,,
ohear:2019,ohear,editor,0,,
ohear:2020,ohear,editor,0,,
ohear:2020a,ohear,author,0,,
ohear:2020b,ohear,author,0,,
ohear:2022,ohear,editor,0,,
oheigeartaigh:2016,oheigeartaigh,author,0,,
ohlbach-koehler:1998,ohlbach,author,0,,
ohlbach-koehler:1998,koehler_j,author,1,,
ohlbach-koehler:1999,ohlbach,author,0,,
ohlbach-koehler:1999,koehler_j,author,1,,
ohlbach-reyle:1999,ohlbach,editor,0,,
ohlbach-reyle:1999,reyle,editor,1,,
ohlbach-schmidt:1997,ohlbach,author,0,,
ohlbach-schmidt:1997,schmidt_er,author,1,,
ohlbach:1991,ohlbach,author,0,,
ohlbach:1994,ohlbach,editor,0,,
ohlbach:1998,ohlbach,author,0,,
ohlsson_r:1973,ohlsson_r,author,0,,
ohmori:1998,ohmori,author,0,,
ohnesorge-watkins:2024,ohnesorge,author,0,,
ohnesorge-watkins:2024,watkins_a,author,1,,
ohrstrom-etal:2012,ohrstrom,author,0,,
ohrstrom-etal:2012,hasle,author,1,,
ohrstrom-etal:2012,sandborgpetersen,author,2,,
ohrstrom-etal:2012a,ohrstrom,author,0,,
ohrstrom-etal:2012a,gramhansen,author,1,,
ohrstrom-etal:2012a,sandborgpetersen,author,2,,
ohrstrom-etal:2012b,ohrstrom,author,0,,
ohrstrom-etal:2012b,zeller_j,author,1,,
ohrstrom-etal:2012b,sandborgpetersen,author,2,,
ohrstrom-flo:1996,ohrstrom,author,0,,
ohrstrom-flo:1996,flo_o,author,1,,
ohrstrom-hasle:1995,ohrstrom,author,0,,
ohrstrom-hasle:1995,hasle,author,1,,
ohrstrom-hasle:2006,ohrstrom,author,0,,
ohrstrom-hasle:2006,hasle,author,1,,
ohrstrom-hasle:2006a,ohrstrom,author,0,,
ohrstrom-hasle:2006a,hasle,author,1,,
ohrstrom-hasle:2012,ohrstrom,author,0,,
ohrstrom-hasle:2012,hasle,author,1,,
ohrstrom-jakobsen:2022,ohrstrom,author,0,,
ohrstrom-jakobsen:2022,jakobsen_d,author,1,,
ohrstrom:1982,ohrstrom,author,0,,
ohrstrom:1985,ohrstrom,author,0,,
ohrstrom:1987,ohrstrom,author,0,,
ohrstrom:1997,ohrstrom,author,0,,
ohrstrom:2009,ohrstrom,author,0,,
ohrstrom:2009a,ohrstrom,author,0,,
ohsawa-ishizuka:1997,ohsawa,author,0,,
ohsawa-ishizuka:1997,ishizuka_m,author,1,,
ohst_m:2009,ohst_m,author,0,,
