bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
onea_e-guntsetseg:2011,onea_e,author,0,,
onea_e-guntsetseg:2011,guntsetseg,author,1,,
onea_e-steinbach:2012,onea_e,author,0,,
onea_e-steinbach:2012,steinbach_m,author,1,,
onea_e:2011,onea_e,author,0,,
onea_e:2014,onea_e,author,0,,
oneil_be:1972,oneil_be,author,0,,
oneil_be:1974,oneil_be,author,0,,
oneil_c:2017,oneil_c,author,0,,
oneil_c:2018,oneil_c,author,0,,
oneil_mp:1985,oneil_mp,author,0,,
oneill_b:2014,oneill_b,author,0,,
oneill_di:2012,oneill_di,author,0,,
oneill_ea-johnson:1999,oneill_ea,author,0,,
oneill_ea-johnson:1999,johnson_p,author,1,,
oneill_ei-lascano:2019,oneill_ei,editor,0,,
oneill_ei-lascano:2019,lascano,editor,1,,
oneill_ei:1993,oneill_ei,author,0,,
oneill_ei:1999,oneill_ei,author,0,,
oneill_ei:2007,oneill_ei,author,0,,
oneill_ei:2011,oneill_ei,author,0,,
oneill_el-machery:2019,oneill_el,author,0,,
oneill_el-machery:2019,machery,author,1,,
oneill_el:2017,oneill_el,author,0,,
oneill_im-mctear:1997,oneill_im,author,0,,
oneill_im-mctear:1997,mctear_mf,author,1,,
oneill_j-uebel:2004,oneill_j,author,0,,
oneill_j-uebel:2004,uebel,author,1,,
oneill_j-uebel:2008,oneill_j,author,0,,
oneill_j-uebel:2008,uebel,author,1,,
oneill_j:1977,oneill_j,author,0,,
oneill_j:1986,oneill_j,author,0,,
oneill_j:1992,oneill_j,author,0,,
oneill_j:1994,oneill_j,author,0,,
oneill_j:1995,oneill_j,author,0,,
oneill_j:1998,oneill_j,author,0,,
oneill_j:1998a,oneill_j,author,0,,
oneill_j:2000,oneill_j,author,0,,
oneill_j:2001,oneill_j,author,0,,
oneill_j:2003,oneill_j,author,0,,
oneill_j:2006,oneill_j,author,0,,
oneill_j:2007,oneill_j,author,0,,
oneill_jc:2003,oneill_jc,author,0,,
oneill_jo:2016,oneill_jo,author,0,,
