bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
osadnik-plesnar:1991,osadnik,author,0,,
osadnik-plesnar:1991,plesnar_l,author,1,,
osadnik-plesnar:1991a,osadnik,author,0,,
osadnik-plesnar:1991a,plesnar_l,author,1,,
osawa_t:2018,osawa_t,author,0,,
osbeck-held:2014,osbeck,editor,0,,
osbeck-held:2014,held_bs,editor,1,,
osbeck-held:2014a,osbeck,author,0,,
osbeck-held:2014a,held_bs,author,1,,
osbeck:2018,osbeck,author,0,,
osborn_ad:1934,osborn_ad,author,0,,
osborn_e:2009,osborn_e,author,0,,
osborn_n:2024,osborn_n,author,0,,
osborn_re:2017,osborn_re,author,0,,
osborne_c:1995,osborne_c,author,0,,
osborne_c:1996,osborne_c,author,0,,
osborne_c:1999,osborne_c,author,0,,
osborne_c:2000,osborne_c,author,0,,
osborne_c:2000a,osborne_c,author,0,,
osborne_c:2001,osborne_c,author,0,,
osborne_c:2004,osborne_c,author,0,,
osborne_c:2007,osborne_c,author,0,,
osborne_c:2010,osborne_c,author,0,,
osborne_g:2005,osborne_g,author,0,,
osborne_g:2006,osborne_g,author,0,,
osborne_g:2013,osborne_g,author,0,,
osborne_g:2018,osborne_g,author,0,,
osborne_h:1931,osborne_h,author,0,,
osborne_ha:1986,osborne_ha,author,0,,
osborne_kb:2011,osborne_kb,author,0,,
osborne_m-briscoe:1998,osborne_m,author,0,,
osborne_m-briscoe:1998,briscoe_t,author,1,,
osborne_m:2000,osborne_m,author,0,,
osborne_mj-rubenstein:1994,osborne_mj,author,0,,
osborne_mj-rubenstein:1994,rubenstein_a,author,1,,
osborne_p:2020,osborne_p,author,0,,
osborne_ph:2014,osborne_ph,author,0,,
osborne_r:2009,osborne_r,author,0,,
osbourn:1965,osbourn,author,0,,
osgniach:1928,osgniach,author,0,,
osgniach:1928a,osgniach,author,0,,
osgood:1952,osgood,author,0,,
osgood:1971,osgood,author,0,,
oshana:1994,oshana,author,0,,
oshana:2003,oshana,author,0,,
oshana:2004,oshana,author,0,,
oshana:2005,oshana,author,0,,
oshana:2013,oshana,author,0,,
oshana:2014,oshana,editor,0,,
oshana:2014a,oshana,author,0,,
oshana:2014b,oshana,author,0,,
oshaughnessy_b:1955,oshaughnessy_b,author,0,,
oshaughnessy_b:1956,oshaughnessy_b,author,0,,
oshaughnessy_b:1957,oshaughnessy_b,author,0,,
oshaughnessy_b:1964,oshaughnessy_b,author,0,,
oshaughnessy_b:1970,oshaughnessy_b,author,0,,
oshaughnessy_b:1971,oshaughnessy_b,author,0,,
oshaughnessy_b:1973,oshaughnessy_b,author,0,,
oshaughnessy_b:1980,oshaughnessy_b,author,0,,
oshaughnessy_b:1985,oshaughnessy_b,author,0,,
oshaughnessy_b:1987,oshaughnessy_b,author,0,,
oshaughnessy_b:1990,oshaughnessy_b,author,0,,
oshaughnessy_b:1991,oshaughnessy_b,author,0,,
oshaughnessy_b:1991a,oshaughnessy_b,author,0,,
oshaughnessy_b:1992,oshaughnessy_b,author,0,,
oshaughnessy_b:1994,oshaughnessy_b,author,0,,
oshaughnessy_b:1995,oshaughnessy_b,author,0,,
oshaughnessy_b:2000,oshaughnessy_b,author,0,,
oshaughnessy_b:2002,oshaughnessy_b,author,0,,
oshaughnessy_b:2003,oshaughnessy_b,author,0,,
oshaughnessy_b:2003a,oshaughnessy_b,author,0,,
oshaughnessy_b:2004,oshaughnessy_b,author,0,,
oshaughnessy_b:2009,oshaughnessy_b,author,0,,
oshaughnessy_b:2009a,oshaughnessy_b,author,0,,
oshaughnessy_d:1987,oshaughnessy_d,author,0,,
oshaughnessy_d:1998,oshaughnessy_d,author,0,,
oshea_jr-rubinstein:2010,oshea_jr,editor,0,,
oshea_jr-rubinstein:2010,rubinstein_e,editor,1,,
oshea_jr:1995,oshea_jr,author,0,,
oshea_jr:1997,oshea_jr,author,0,,
oshea_jr:1999,oshea_jr,author,0,,
oshea_jr:2005,oshea_jr,author,0,,
oshea_jr:2008,oshea_jr,author,0,,
oshea_jr:2009,oshea_jr,author,0,,
oshea_jr:2010,oshea_jr,author,0,,
oshea_jr:2010a,oshea_jr,author,0,,
oshea_jr:2011,oshea_jr,author,0,,
oshea_jr:2012,oshea_jr,author,0,,
oshea_jr:2015,oshea_jr,author,0,,
oshea_jr:2016,oshea_jr,author,0,,
oshea_jr:2016a,oshea_jr,author,0,,
oshea_jr:2017,oshea_jr,editor,0,,
oshea_jr:2017a,oshea_jr,author,0,,
oshea_jr:2018,oshea_jr,author,0,,
oshea_t:1984,oshea_t,editor,0,,
oshea_t:2015,oshea_t,author,0,,
oshea_t:2018,oshea_t,author,0,,
osherson-etal:1997,osherson,author,0,,
osherson-etal:1997,dejongh,author,1,,
osherson-etal:1997,martin_er,author,2,,
osherson-etal:1997,weinstein_sc,author,3,,
osherson-etal:2011,osherson,author,0,,
osherson-etal:2011,dejongh,author,1,,
osherson-etal:2011,martin_er,author,2,,
osherson-etal:2011,weinstein_sc,author,3,,
osherson-lasnik:1990,osherson,editor,0,,
osherson-lasnik:1990,lasnik,editor,1,,
osherson-lasnik:1990a,osherson,editor,0,,
osherson-lasnik:1990a,lasnik,editor,1,,
osherson-smith:1981,osherson,author,0,,
osherson-smith:1981,smith_ee,author,1,,
osherson-smith:1982,osherson,author,0,,
osherson-smith:1982,smith_ee,author,1,,
osherson-smith:1990,osherson,editor,0,,
osherson-smith:1990,smith_ee,editor,1,,
osherson-smith:1997,osherson,author,0,,
osherson-smith:1997,smith_ee,author,1,,
osherson-weinstein:1986,osherson,author,0,,
osherson-weinstein:1986,weinstein_sc,author,1,,
osherson-weinstein:1989,osherson,author,0,,
osherson-weinstein:1989,weinstein_sc,author,1,,
osherson-weinstein:1989a,osherson,author,0,,
osherson-weinstein:1989a,weinstein_sc,author,1,,
osherson-weinstein:1993,osherson,author,0,,
osherson-weinstein:1993,weinstein_sc,author,1,,
osherson-weinstein:1996,osherson,author,0,,
osherson-weinstein:1996,weinstein_sc,author,1,,
osherson-weinstein:2011,osherson,author,0,,
osherson-weinstein:2011,weinstein_sc,author,1,,
oshima_dy:2014,oshima_dy,author,0,,
oshimatakane:2002,oshimatakane,author,0,,
osiel:2004,osiel,author,0,,
osipovich_d:2012,osipovich_d,author,0,,
osler-watson:2003,osler,author,0,,
osler-watson:2003,watson_ra,author,1,,
osler:1985,osler,author,0,,
osler:1993,osler,author,0,,
osler:1994,osler,author,0,,
osler:1995,osler,author,0,,
osler:1996,osler,author,0,,
osler:2001,osler,author,0,,
