bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ovadia_m:2018,ovadia_m,author,0,,
ovchinnikov_nf-akchurin:1973,ovchinnikov_nf,author,0,,
ovchinnikov_nf-akchurin:1973,akchurin,author,1,,
oved:2015,oved,author,0,,
over-cruz:2018,over,author,0,,
over-cruz:2018,cruz_n,author,1,,
over:1984,over,author,0,,
over:1985,over,author,0,,
over:1986,over,author,0,,
over:1986a,over,author,0,,
over:1989,over,author,0,,
over:1990,over,author,0,,
over:2002,over,author,0,,
over:2021,over,author,0,,
overall:2003,overall,author,0,,
overall:2006,overall,author,0,,
overall:2007,overall,author,0,,
overall:2014,overall,author,0,,
overall:2017,overall,editor,0,,
overall:2017a,overall,author,0,,
overall:2020,overall,author,0,,
overenget:1998,overenget,author,0,,
overgaard_m-mogensen:2015,overgaard_m,author,0,,
overgaard_m-mogensen:2015,mogensen_j,author,1,,
overgaard_m:2011,overgaard_m,author,0,,
overgaard_s-etal:2013,overgaard_s,author,0,,
overgaard_s-etal:2013,gilbert_p,author,1,,
overgaard_s-etal:2013,burwood_s,author,2,,
overgaard_s:2002,overgaard_s,author,0,,
overgaard_s:2004,overgaard_s,author,0,,
overgaard_s:2008,overgaard_s,author,0,,
overgaard_s:2010,overgaard_s,author,0,,
overgaard_s:2011,overgaard_s,author,0,,
overgaard_s:2012,overgaard_s,author,0,,
overgaard_s:2013,overgaard_s,author,0,,
overgaard_s:2014,overgaard_s,author,0,,
overgaard_s:2017,overgaard_s,author,0,,
overgaard_s:2017a,overgaard_s,author,0,,
overgaard_s:2022,overgaard_s,author,0,,
overland:2005,overland,author,0,,
overland:2007,overland,author,0,,
overland:2011,overland,author,0,,
overland:2014,overland,author,0,,
overman:2009,overman,author,0,,
oversteegen:1987,oversteegen,author,0,,
overstreet:1904,overstreet,author,0,,
overstreet:1912,overstreet,author,0,,
overstreet:1915,overstreet,author,0,,
overton_ja:2013,overton_ja,author,0,,
overton_l:1994,overton_l,author,0,,
overvold_ge:1991,overvold_ge,author,0,,
overvold_ge:1996,overvold_ge,author,0,,
overvold_ge:1996a,overvold_ge,author,0,,
overvold_ge:1998,overvold_ge,author,0,,
overvold_ge:2000,overvold_ge,author,0,,
overvold_mc:1982,overvold_mc,author,0,,
overvold_mc:1988,overvold_mc,author,0,,
ovsiew_f:2014,ovsiew_f,author,0,,
