bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
owandjalola:1987,owandjalola,author,0,,
owen_d:1991,owen_d,author,0,,
owen_d:1992,owen_d,author,0,,
owen_d:1994,owen_d,author,0,,
owen_d:1997,owen_d,author,0,,
owen_d:1999,owen_d,author,0,,
owen_d:2000,owen_d,author,0,,
owen_d:2001,owen_d,author,0,,
owen_d:2002,owen_d,author,0,,
owen_d:2007,owen_d,author,0,,
owen_d:2008,owen_d,author,0,,
owen_d:2009,owen_d,author,0,,
owen_d:2014,owen_d,editor,0,,
owen_d:2016,owen_d,author,0,,
owen_d:2020,owen_d,author,0,,
owen_et:1948,owen_et,author,0,,
owen_gel:1960,owen_gel,author,0,,
owen_gel:1961,owen_gel,author,0,,
owen_gel:1965,owen_gel,author,0,,
owen_gel:1965a,owen_gel,author,0,,
owen_gel:1966,owen_gel,author,0,,
owen_gel:1966a,owen_gel,author,0,,
owen_gel:1968,owen_gel,editor,0,,
owen_gel:1968a,owen_gel,author,0,,
owen_gel:1970,owen_gel,author,0,,
owen_gel:1971,owen_gel,author,0,,
owen_gel:1972,owen_gel,author,0,,
owen_gel:1973,owen_gel,author,0,,
owen_gel:1976,owen_gel,author,0,,
owen_gel:1977,owen_gel,author,0,,
owen_gel:1978,owen_gel,author,0,,
owen_gel:1983,owen_gel,author,0,,
owen_gel:1985,owen_gel,author,0,,
owen_gel:1986,owen_gel,author,0,,
owen_hp:1971,owen_hp,author,0,,
owen_ir:1996,owen_ir,author,0,,
owen_ir:2012,owen_ir,author,0,,
owen_jj:2014,owen_jj,author,0,,
owen_m:2023,owen_m,author,0,,
owen_s-etal:2009,owen_s,author,0,,
owen_s-etal:2009,freyenhagen_f,author,1,,
owen_s-etal:2009,richardson_g,author,2,,
owen_s-etal:2009,hotopf,author,3,,
owenclark:2019,owenclark,author,0,,
owens_a:1996,owens_a,author,0,,
owens_d:1989,owens_d,author,0,,
owens_d:1989a,owens_d,author,0,,
owens_d:1989b,owens_d,author,0,,
owens_d:1990,owens_d,author,0,,
owens_d:1992,owens_d,author,0,,
owens_d:1996,owens_d,author,0,,
owens_d:1999,owens_d,author,0,,
owens_d:2000,owens_d,author,0,,
owens_d:2000a,owens_d,author,0,,
owens_d:2002,owens_d,author,0,,
owens_d:2003,owens_d,author,0,,
owens_d:2004,owens_d,author,0,,
owens_d:2006,owens_d,author,0,,
owens_d:2006a,owens_d,author,0,,
owens_d:2007,owens_d,author,0,,
owens_d:2007a,owens_d,author,0,,
owens_d:2008,owens_d,author,0,,
owens_d:2008a,owens_d,author,0,,
owens_d:2009,owens_d,author,0,,
owens_d:2011,owens_d,author,0,,
owens_d:2011a,owens_d,author,0,,
owens_d:2012,owens_d,author,0,,
owens_d:2012a,owens_d,author,0,,
owens_d:2015,owens_d,author,0,,
owens_d:2017,owens_d,author,0,,
owens_d:2017a,owens_d,author,0,,
owens_d:2022,owens_d,author,0,,
owens_j:1951,owens_j,author,0,,
owens_j:1962,owens_j,author,0,,
owens_j:1963,owens_j,author,0,,
owens_j:1963a,owens_j,author,0,,
owens_j:1963b,owens_j,author,0,,
owens_j:1968,owens_j,author,0,,
owens_j:1969,owens_j,author,0,,
owens_j:1970,owens_j,author,0,,
owens_j:1971,owens_j,author,0,,
owens_j:1973,owens_j,author,0,,
owens_j:1977,owens_j,author,0,,
owens_j:1978,owens_j,author,0,,
owens_j:1979,owens_j,author,0,,
owens_j:1979a,owens_j,author,0,,
owens_j:1981,owens_j,author,0,,
owens_j:1982,owens_j,author,0,,
owens_j:1982a,owens_j,author,0,,
owens_j:1982b,owens_j,author,0,,
owens_j:1983,owens_j,author,0,,
owens_j:1984,owens_j,author,0,,
owens_j:1985,owens_j,author,0,,
owens_j:1985a,owens_j,author,0,,
owens_j:1985b,owens_j,author,0,,
owens_j:1986,owens_j,author,0,,
owens_j:1987,owens_j,author,0,,
owens_j:1989,owens_j,author,0,,
owens_j:1989a,owens_j,author,0,,
owens_j:1990a,owens_j,author,0,,
owens_j:1991,owens_j,author,0,,
owens_j:1991a,owens_j,author,0,,
owens_j:1991b,owens_j,author,0,,
owens_j:1992,owens_j,author,0,,
owens_j:1993,owens_j,author,0,,
owens_j:1994,owens_j,author,0,,
owens_j:1998,owens_j,author,0,,
owens_j:2003,owens_j,author,0,,
owens_j:2007,owens_j,author,0,,
owensby:1987,owensby,author,0,,
owolabi:1995,owolabi,author,0,,
