bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
paakkunainen:2014,paakkunainen,author,0,,
paakkunainen:2018,paakkunainen,author,0,,
paakkunainen:2018a,paakkunainen,author,0,,
paakkunainen:2018b,paakkunainen,author,0,,
paakkunainen:2018c,paakkunainen,author,0,,
paasch:2014,paasch,author,0,,
paasch:2021,paasch,author,0,,
paasch:2021a,paasch,author,0,,
paass:1991,paass,author,0,,
pabst_a:2007,pabst_a,author,0,,
pabst_a:2007a,pabst_a,author,0,,
pabst_b:1991,pabst_b,author,0,,
pabst_b:1991a,pabst_b,author,0,,
paccioni:2002,paccioni,author,0,,
paccioni:2011,paccioni,author,0,,
pace_m:2005,pace_m,author,0,,
pace_m:2007,pace_m,author,0,,
pace_m:2008,pace_m,author,0,,
pace_m:2010,pace_m,author,0,,
pace_m:2011,pace_m,author,0,,
pace_m:2013,pace_m,author,0,,
pace_m:2017,pace_m,author,0,,
pace_m:2017a,pace_m,author,0,,
pace_s:2016,pace_s,author,0,,
paceschott-hobson:2007,paceschott,author,0,,
paceschott-hobson:2007,hobson_ja,author,1,,
pacheco_mc-meirinhos:2006,pacheco_mc,editor,0,,
pacheco_mc-meirinhos:2006,meirinhos_jf,editor,1,,
pacheco_mc-meirinhos:2006a,pacheco_mc,editor,0,,
pacheco_mc-meirinhos:2006a,meirinhos_jf,editor,1,,
pacheco_mc-meirinhos:2006b,pacheco_mc,editor,0,,
pacheco_mc-meirinhos:2006b,meirinhos_jf,editor,1,,
pacherie-proust:2005,pacherie,editor,0,,
pacherie-proust:2005,proust_j,editor,1,,
pacherie:1993,pacherie,author,0,,
pacherie:1994,pacherie,author,0,,
pacherie:1995,pacherie,author,0,,
pacherie:1996,pacherie,author,0,,
pacherie:1997,pacherie,author,0,,
pacherie:1997a,pacherie,author,0,,
pacherie:1999,pacherie,author,0,,
pacherie:2000,pacherie,author,0,,
pacherie:2001,pacherie,author,0,,
pacherie:2002,pacherie,editor,0,,
pacherie:2002a,pacherie,author,0,,
pacherie:2002b,pacherie,author,0,,
pacherie:2002c,pacherie,author,0,,
pacherie:2003,pacherie,author,0,,
pacherie:2003a,pacherie,author,0,,
pacherie:2006,pacherie,author,0,,
pacherie:2007,pacherie,author,0,,
pacherie:2009,pacherie,author,0,,
pacherie:2011,pacherie,author,0,,
pacherie:2011a,pacherie,author,0,,
pacherie:2013,pacherie,author,0,,
pacherie:2015,pacherie,author,0,,
pacherie:2017,pacherie,author,0,,
pachet_p:1985,pachet_p,author,0,,
pacho:1980,pacho,author,0,,
pacho:1984,pacho,author,0,,
pachur:2021,pachur,author,0,,
paci:1953,paci,author,0,,
pack_ch:2005,pack_ch,author,0,,
pack_sj-schliesser:2006,pack_sj,author,0,,
pack_sj-schliesser:2006,schliesser,author,1,,
packard_d:1975,packard_d,author,0,,
packer:2011,packer,author,0,,
packull:2004,packull,author,0,,
packwood_a:2023,packwood_a,editor,0,,
pacovska:2014,pacovska,author,0,,
pacozzi:2022,pacozzi,author,0,,
pacuit:2011a,pacuit,author,0,,
pacuit:2013,pacuit,author,0,,
pacuit:2013a,pacuit,author,0,,
pacuit:2015,pacuit,author,0,,
padberg_a:1935,padberg_a,author,0,,
padden_ca:1988,padden_ca,author,0,,
paddison:2004,paddison,author,0,,
paddison:2018,paddison,author,0,,
paden:1988,paden,author,0,,
padfield_d:2018,padfield_d,author,0,,
padfield_n-etal:2012,padfield_n,author,0,,
padfield_n-etal:2012,morgan_ro,author,1,,
padfield_n-etal:2012,maguire_m,author,2,,
padget:1999,padget,editor,0,,
padgett_ag:1992,padgett_ag,author,0,,
padgett_ag:1994,padgett_ag,editor,0,,
padgett_ag:2002,padgett_ag,author,0,,
padgett_ag:2008,padgett_ag,author,0,,
padgett_ag:2009,padgett_ag,author,0,,
padgett_ag:2011,padgett_ag,author,0,,
padgett_ag:2013,padgett_ag,author,0,,
padgett_ag:2013a,padgett_ag,author,0,,
padgett_d-byerly:2014,padgett_d,author,0,,
padgett_d-byerly:2014,byerly_tr,author,1,,
padgham-lambris:1994,padgham,author,0,,
padgham-lambris:1994,lambris_p,author,1,,
padgham-nebel:1992,padgham,author,0,,
padgham-nebel:1992,nebel_b,author,1,,
padgham-zhang:1993,padgham,author,0,,
padgham-zhang:1993,zhang_t,author,1,,
padgham:1988,padgham,author,0,,
padgham:1989,padgham,author,0,,
padgham:1989a,padgham,author,0,,
padgham:1992,padgham,author,0,,
padgug:1979,padgug,author,0,,
padialguerchoux:1990,padialguerchoux,author,0,,
padian:2004,padian,author,0,,
padilha-carletta:2002,padilha,author,0,,
padilha-carletta:2002,carletta,author,1,,
padilla_cr:2007,padilla_cr,author,0,,
padilla_h:1971,padilla_h,author,0,,
padillagalvez:1991,padillagalvez,author,0,,
padillagalvez:1994,padillagalvez,author,0,,
padillagalvez:1996,padillagalvez,author,0,,
padillagalvez:1997,padillagalvez,author,0,,
padillagalvez:2021,padillagalvez,author,0,,
padiyath:2014,padiyath,author,0,,
padlak:1998,padlak,author,0,,
padlina_r:2011,padlina_r,author,0,,
padlina_r:2020,padlina_r,author,0,,
padmanabhan:1994,padmanabhan,author,0,,
padoa:1901,padoa,author,0,,
padoa:1913,padoa,author,0,,
padoa:1936,padoa,author,0,,
padoa:1936a,padoa,author,0,,
padoa:1936c,padoa,author,0,,
padovani-etal:2015,padovani,editor,0,,
padovani-etal:2015,richardson_to,editor,1,,
padovani-etal:2015,tsou,editor,2,,
padovani:2004,padovani,author,0,,
padovani:2006,padovani,author,0,,
padovani:2006a,padovani,author,0,,
padovani:2011,padovani,author,0,,
padovani:2013,padovani,author,0,,
padovani:2015,padovani,author,0,,
padovani:2017,padovani,author,0,,
padro_r:2015,padro_r,author,0,,
paducheva:1999,paducheva,author,0,,
padui_r:2023,padui_r,author,0,,
paech_n:2016,paech_n,author,0,,
paek-horvitz:1999,paek,author,0,,
paek-horvitz:1999,horvitz,author,1,,
paelike_d:1977,paelike_d,author,0,,
paetzold_d:1988,paetzold_d,author,0,,
paetzold_d:1999a,paetzold_d,author,0,,
paez:2020,paez,author,0,,
pafel:1989,pafel,author,0,,
pafel:1999,pafel,author,0,,
pafel:2016,pafel,author,0,,
pagallo-durante:2016,pagallo,author,0,,
pagallo-durante:2016,durante,author,1,,
