bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
pfaender_ad:1921,pfaender_ad,author,0,,
pfaender_al:1913,pfaender_al,author,0,,
pfaender_al:1916,pfaender_al,author,0,,
pfahringer:1992,pfahringer,author,0,,
pfaller_r:2017,pfaller_r,author,0,,
pfalzgraf:1996,pfalzgraf,author,0,,
pfannkuche:1997,pfannkuche,author,0,,
pfannkuche:2017,pfannkuche,author,0,,
pfarr:1976,pfarr,author,0,,
pfarr:1978,pfarr,author,0,,
pfarr:1984,pfarr,author,0,,
pfau_t:2019,pfau_t,author,0,,
pfeffer_r:1977,pfeffer_r,author,0,,
pfefferle_t:2013,pfefferle_t,author,0,,
pfeifer_g:2015,pfeifer_g,author,0,,
pfeifer_g:2022,pfeifer_g,author,0,,
pfeifer_j:2010,pfeifer_j,author,0,,
pfeifer_j:2012,pfeifer_j,author,0,,
pfeifer_k:1988,pfeifer_k,author,0,,
pfeifer_k:1988a,pfeifer_k,author,0,,
pfeifer_k:1992,pfeifer_k,author,0,,
pfeifer_k:1997,pfeifer_k,author,0,,
pfeifer_k:2016,pfeifer_k,author,0,,
pfeifer_k:2020,pfeifer_k,author,0,,
pfeifer_n:2012,pfeifer_n,author,0,,
pfeifer_n:2013,pfeifer_n,author,0,,
pfeifer_r-scheier:1999,pfeifer_r,author,0,,
pfeifer_r-scheier:1999,scheier_c,author,1,,
pfeiffer_c:2017,pfeiffer_c,author,0,,
pfeiffer_c:2018,pfeiffer_c,author,0,,
pfeiffer_h:1997,pfeiffer_h,author,0,,
pfeiffer_kl:1990,pfeiffer_kl,author,0,,
pfeiffer_ml:1978,pfeiffer_ml,author,0,,
pfeiffer_ml:1998,pfeiffer_ml,author,0,,
pfeiffer_n:1918,pfeiffer_n,author,0,,
pfeiffer_sm-wong:1989,pfeiffer_sm,author,0,,
pfeiffer_sm-wong:1989,wong_ptp,author,1,,
pfeil_h:1970,pfeil_h,author,0,,
pfenning:2004,pfenning,author,0,,
pfister_a:1946,pfister_a,author,0,,
pfister_h:2016,pfister_h,author,0,,
pfister_j:2010,pfister_j,author,0,,
pfister_j:2011,pfister_j,author,0,,
pfister_j:2013,pfister_j,author,0,,
pfister_j:2013a,pfister_j,author,0,,
pfister_o:1949,pfister_o,author,0,,
pfisterer:2009,pfisterer,author,0,,
pfisterer:2009a,pfisterer,author,0,,
pfisterer:2010,pfisterer,author,0,,
pfisterer:2015,pfisterer,author,0,,
pflaumer:1960,pflaumer,author,0,,
pfleger-etal:2003,pfleger,author,0,,
pfleger-etal:2003,engel_r,author,1,,
pfleger-etal:2003,alexandersson,author,2,,
pfleiderer:1892,pfleiderer,author,0,,
pfohl:2017,pfohl,author,0,,
pfuetze_pe:1967,pfuetze_pe,author,0,,
