bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
phaf-wolters:1997,phaf,author,0,,
phaf-wolters:1997,wolters_g,author,1,,
phalen_a:1931,phalen_a,author,0,,
phalet_a:1975,phalet_a,author,0,,
phalet_a:1986,phalet_a,author,0,,
pham_f:1968,pham_f,author,0,,
phamvanhien:1969,phamvanhien,author,0,,
phamvanhien:1971,phamvanhien,author,0,,
phan_pc:2005,phan_pc,author,0,,
phan_pc:2011,phan_pc,editor,0,,
phan_pc:2011a,phan_pc,author,0,,
phan_pc:2011b,phan_pc,author,0,,
phan_pc:2011c,phan_pc,author,0,,
pharabod-ortoli:2004,pharabod,author,0,,
pharabod-ortoli:2004,ortoli_s,author,1,,
phelan_gb:1944,phelan_gb,author,0,,
phelan_m-buckwalter:2012,phelan_m,author,0,,
phelan_m-buckwalter:2012,buckwalter,author,1,,
phelan_m-sarkissian:2008,phelan_m,author,0,,
phelan_m-sarkissian:2008,sarkissian,author,1,,
phelan_m:2010,phelan_m,author,0,,
phelan_m:2014,phelan_m,author,0,,
phelan_m:2015,phelan_m,author,0,,
phelan_m:2024,phelan_m,author,0,,
phelps_es:1973,phelps_es,editor,0,,
phelps_es:1991,phelps_es,author,0,,
phelps_es:1991a,phelps_es,author,0,,
phemister:1993,phemister,author,0,,
phemister:2011,phemister,author,0,,
phemister:2011a,phemister,author,0,,
phemister:2011d,phemister,author,0,,
phemister:2016b,phemister,author,0,,
phemister:2017,phemister,author,0,,
phil-issues:1991,villanueva_e,editor,0,,
phil-issues:1992,villanueva_e,editor,0,,
phil-issues:1993,villanueva_e,editor,0,,
phil-issues:1993a,villanueva_e,editor,0,,
phil-issues:1994,villanueva_e,editor,0,,
phil-issues:1995,villanueva_e,editor,0,,
phil-issues:1996,villanueva_e,editor,0,,
phil-issues:1997,villanueva_e,editor,0,,
phil-issues:1998,villanueva_e,editor,0,,
phil-issues:2000,sosa_e,editor,0,,
phil-issues:2000,villanueva_e,editor,1,,
phil-issues:2001,sosa_e,editor,0,,
phil-issues:2001,villanueva_e,editor,1,,
phil-issues:2002,sosa_e,editor,0,,
