bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
pla-etal:2000,pla,author,0,,
pla-etal:2000,molina_a,author,1,,
pla-etal:2000,prieto_n,author,2,,
plaass:1965,plaass,author,0,,
plaass:1994,plaass,author,0,,
plaat-etal:1996,plaat,author,0,,
plaat-etal:1996,schaeffer_j,author,1,,
plaat-etal:1996,pijls_w,author,2,,
plaat-etal:1996,debruin_a,author,3,,
place:1954,place,author,0,,
place:1956,place,author,0,,
place:1960,place,author,0,,
place:1966,place,author,0,,
place:1971,place,author,0,,
place:1972,place,author,0,,
place:1988,place,author,0,,
place:1989a,place,author,0,,
place:1989b,place,author,0,,
place:1990,place,author,0,,
place:1991,place,author,0,,
place:1992,place,author,0,,
place:1992a,place,author,0,,
place:1992b,place,author,0,,
place:1993,place,author,0,,
place:1993a,place,author,0,,
place:1994,place,author,0,,
place:1995,place,author,0,,
place:1996,place,author,0,,
place:1996a,place,author,0,,
place:1996b,place,author,0,,
place:1996c,place,author,0,,
place:1997,place,author,0,,
place:1997a,place,author,0,,
place:1999,place,author,0,,
place:1999a,place,author,0,,
place:1999c,place,author,0,,
place:2000,place,author,0,,
place:2000a,place,author,0,,
place:2000b,place,author,0,,
place:2002,place,author,0,,
place:2004,place,author,0,,
placek-etal:2014a,placek,author,0,,
placek-etal:2014a,wawer,author,1,,
placek-etal:2014a,wronski,author,2,,
placek-mueller:2007,placek,author,0,,
placek-mueller:2007,mueller_t,author,1,,
placek:1994,placek,author,0,,
placek:1997,placek,author,0,,
placek:1997a,placek,author,0,,
placek:1999,placek,author,0,,
placek:2000,placek,author,0,,
placek:2001,placek,author,0,,
placek:2002,placek,author,0,,
placek:2002a,placek,author,0,,
placek:2003,placek,author,0,,
placek:2003a,placek,author,0,,
placek:2005,placek,author,0,,
placek:2006,placek,author,0,,
placek:2010,placek,author,0,,
placek:2011,placek,author,0,,
placek:2011a,placek,author,0,,
placek:2012,placek,author,0,,
placek:2014,placek,author,0,,
placek:2014a,placek,author,0,,
placido_d:1991,placido_d,author,0,,
plaice:1999,plaice,author,0,,
plaisance-kennedy:2014,plaisance,author,0,,
plaisance-kennedy:2014,kennedy_eb,author,1,,
plaisance-reydon:2012,plaisance,editor,0,,
plaisance-reydon:2012,reydon,editor,1,,
plaisance-reydon:2012a,plaisance,author,0,,
plaisance-reydon:2012a,reydon,author,1,,
plaisted_da-yahya:2003,plaisted_da,author,0,,
plaisted_da-yahya:2003,yahya_a,author,1,,
plaisted_da:1981,plaisted_da,author,0,,
plaisted_da:1982,plaisted_da,author,0,,
plaisted_da:1993,plaisted_da,author,0,,
plaisted_de:2017,plaisted_de,author,0,,
plakias:2015,plakias,author,0,,
plakias:2019,plakias,author,0,,
plakias:2020,plakias,author,0,,
plakias:2021,plakias,author,0,,
plamenatz:1967,plamenatz,author,0,,
plamenatz:1967a,plamenatz,author,0,,
plamenatz:1968,plamenatz,author,0,,
plamenatz:2000,plamenatz,author,0,,
plamondon:1975,plamondon,author,0,,
plana:1971,plana,author,0,,
planavergne:1975,planavergne,author,0,,
planeaux_g:2022,planeaux_g,author,0,,
plans:1991,plans,author,0,,
plant_b:2011,plant_b,author,0,,
plant_b:2017,plant_b,author,0,,
plant_r:1992,plant_r,author,0,,
plant_r:1998,plant_r,author,0,,
plant_s:2009,plant_s,author,0,,
plantin:1990,plantin,author,0,,
plantinga_a-grim:1993,plantinga_a,author,0,,
plantinga_a-grim:1993,grim_p,author,1,,
plantinga_a-tooley:2008,plantinga_a,author,0,,
plantinga_a-tooley:2008,tooley,author,1,,
plantinga_a-wolterstorff:1983,plantinga_a,editor,0,,
plantinga_a-wolterstorff:1983,wolterstorff,editor,1,,
plantinga_a:1958,plantinga_a,author,0,,
plantinga_a:1958a,plantinga_a,author,0,,
plantinga_a:1961,plantinga_a,author,0,,
plantinga_a:1961a,plantinga_a,author,0,,
plantinga_a:1961b,plantinga_a,author,0,,
plantinga_a:1962,plantinga_a,author,0,,
plantinga_a:1963,plantinga_a,author,0,,
plantinga_a:1964,plantinga_a,editor,0,,
plantinga_a:1964a,plantinga_a,author,0,,
plantinga_a:1964b,plantinga_a,author,0,,
plantinga_a:1964c,plantinga_a,author,0,,
plantinga_a:1965,plantinga_a,editor,0,,
plantinga_a:1965a,plantinga_a,author,0,,
plantinga_a:1966,plantinga_a,author,0,,
plantinga_a:1966a,plantinga_a,author,0,,
plantinga_a:1966b,plantinga_a,author,0,,
plantinga_a:1967,plantinga_a,author,0,,
plantinga_a:1967a,plantinga_a,author,0,,
plantinga_a:1967b,plantinga_a,author,0,,
plantinga_a:1968,plantinga_a,author,0,,
plantinga_a:1969,plantinga_a,author,0,,
plantinga_a:1970,plantinga_a,author,0,,
plantinga_a:1971,plantinga_a,author,0,,
plantinga_a:1973,plantinga_a,author,0,,
plantinga_a:1973a,plantinga_a,author,0,,
plantinga_a:1974,plantinga_a,author,0,,
plantinga_a:1975,plantinga_a,author,0,,
plantinga_a:1976,plantinga_a,author,0,,
plantinga_a:1976a,plantinga_a,author,0,,
plantinga_a:1978,plantinga_a,author,0,,
plantinga_a:1979,plantinga_a,author,0,,
plantinga_a:1979,sosa_e,guesteditor,0,,
plantinga_a:1980,plantinga_a,author,0,,
plantinga_a:1980a,plantinga_a,author,0,,
plantinga_a:1983,plantinga_a,author,0,,
plantinga_a:1983c,plantinga_a,author,0,,
plantinga_a:1985,plantinga_a,author,0,,
plantinga_a:1985a,plantinga_a,author,0,,
plantinga_a:1985b,plantinga_a,author,0,,
plantinga_a:1985c,plantinga_a,author,0,,
plantinga_a:1985d,plantinga_a,author,0,,
plantinga_a:1985e,plantinga_a,author,0,,
plantinga_a:1985f,plantinga_a,author,0,,
plantinga_a:1985g,plantinga_a,author,0,,
plantinga_a:1985h,plantinga_a,author,0,,
plantinga_a:1985i,plantinga_a,author,0,,
plantinga_a:1986,plantinga_a,author,0,,
plantinga_a:1987,plantinga_a,author,0,,
plantinga_a:1988,plantinga_a,author,0,,
plantinga_a:1988a,plantinga_a,author,0,,
plantinga_a:1988b,plantinga_a,author,0,,
plantinga_a:1991,plantinga_a,author,0,,
plantinga_a:1991a,plantinga_a,author,0,,
plantinga_a:1991b,plantinga_a,author,0,,
plantinga_a:1992,plantinga_a,author,0,,
plantinga_a:1992a,plantinga_a,author,0,,
plantinga_a:1992c,plantinga_a,author,0,,
plantinga_a:1993,plantinga_a,author,0,,
plantinga_a:1993a,plantinga_a,author,0,,
plantinga_a:1993b,plantinga_a,author,0,,
plantinga_a:1995,plantinga_a,author,0,,
plantinga_a:1996,plantinga_a,author,0,,
plantinga_a:1996a,plantinga_a,author,0,,
plantinga_a:1998,plantinga_a,author,0,,
plantinga_a:2000,plantinga_a,author,0,,
plantinga_a:2002,plantinga_a,author,0,,
plantinga_a:2002a,plantinga_a,author,0,,
plantinga_a:2002b,plantinga_a,author,0,,
plantinga_a:2003,plantinga_a,author,0,,
plantinga_a:2003a,plantinga_a,author,0,,
plantinga_a:2004,plantinga_a,author,0,,
plantinga_a:2004a,plantinga_a,author,0,,
plantinga_a:2004b,plantinga_a,author,0,,
plantinga_a:2005,plantinga_a,author,0,,
plantinga_a:2006,plantinga_a,author,0,,
plantinga_a:2007,plantinga_a,author,0,,
plantinga_a:2007a,plantinga_a,author,0,,
plantinga_a:2007b,plantinga_a,author,0,,
plantinga_a:2007c,plantinga_a,author,0,,
plantinga_a:2009,plantinga_a,author,0,,
plantinga_a:2010a,plantinga_a,author,0,,
plantinga_a:2011,plantinga_a,author,0,,
plantinga_a:2013,plantinga_a,author,0,,
plantinga_a:2013a,plantinga_a,author,0,,
plantinga_a:2016,plantinga_a,author,0,,
plantinga_c:2010,plantinga_c,author,0,,
plantinga_c:2011,plantinga_c,author,0,,
plantinga_c:2011a,plantinga_c,author,0,,
plantinga_c:2011b,plantinga_c,author,0,,
plantinga_c:2013,plantinga_c,author,0,,
plantinga_c:2016,plantinga_c,author,0,,
plassard_c:2020,plassard_c,author,0,,
platchias:2009,platchias,author,0,,
plate_j:2007,plate_j,author,0,,
plate_j:2016,plate_j,author,0,,
plate_j:2018,plate_j,author,0,,
plate_j:2022,plate_j,author,0,,
plate_j:2022,plate_j,guesteditor,0,,
plath:2002,plath,author,0,,
platnick-funk:1982,platnick,editor,0,,
platnick-funk:1982,funk_v,editor,1,,
platnick-nelson:1981,platnick,author,0,,
platnick-nelson:1981,nelson_g,author,1,,
plato:1998,plato,author,0,{Platone},
plato:1998a,plato,author,0,{Platone},
plato:1998b,plato,author,0,{Platone},
plato:2001,plato,author,0,{Platone},
plato:2003a,plato,author,0,{Platone},
plato:2006,plato,author,0,{Platone},
plato:2007,plato,author,0,{Platone},
platt_ar:2011,platt_ar,author,0,,
platt_ar:2011a,platt_ar,author,0,,
platt_ar:2020,platt_ar,author,0,,
platt_c:2008,platt_c,author,0,,
platt_m:1984,platt_m,author,0,,
platt_t:1975,platt_t,author,0,,
platt_v:2014,platt_v,author,0,,
platter:1891,platter,author,0,,
platts:1979,platts,author,0,,
platts:1980,platts,editor,0,,
platts:1980a,platts,author,0,,
platts:1980b,platts,author,0,,
platts:1980c,platts,author,0,,
platts:1982,platts,author,0,,
platts:1985,platts,author,0,,
platts:1988,platts,author,0,,
platts:1988a,platts,author,0,,
platts:1991,platts,author,0,,
platts:1993,platts,author,0,,
platts:1994,platts,author,0,,
platts:1995,platts,author,0,,
platts:1997,platts,author,0,,
platts:1999,platts,author,0,,
platts:2018,platts,author,0,,
platts:2018a,platts,author,0,,
platts:2018b,platts,author,0,,
platts:2018c,platts,author,0,,
platts:2018d,platts,author,0,,
platts:2018e,platts,author,0,,
platts:2018f,platts,author,0,,
platts:2018h,platts,author,0,,
platts:2018i,platts,author,0,,
plaud_s:2018,plaud_s,author,0,,
plaw:2013,plaw,author,0,,
playford_r:2018,playford_r,author,0,,
pleasants_n:2002,pleasants_n,author,0,,
pleasants_n:2010,pleasants_n,author,0,,
pleasants_n:2018,pleasants_n,author,0,,
plebani:2011,plebani,author,0,,
plebani:2011a,plebani,author,0,,
plebani:2015,plebani,author,0,,
plebani:2016,plebani,author,0,,
plebani:2017,plebani,author,0,,
plebani:2018,plebani,author,0,,
plebani:2020,plebani,author,0,,
plebanski_jf-przanowski:2003,plebanski_jf,author,0,,
plebanski_jf-przanowski:2003,przanowski_m,author,1,,
plebe-mazzone:2016,plebe,author,0,,
plebe-mazzone:2016,mazzone_m,author,1,,
pleger_w:2023,pleger_w,author,0,,
plehwe:2016,plehwe,author,0,,
pleines:1980,pleines,author,0,,
pleitz-vonwulfen:2008,pleitz,author,0,,
pleitz-vonwulfen:2008,vonwulfen_h,author,1,,
pleitz-willaschek:1997,pleitz,author,0,,
pleitz-willaschek:1997,willaschek,author,1,,
pleitz:2009,pleitz,author,0,,
