bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
poama:2019,poama,author,0,,
pocai_r:2001,pocai_r,author,0,,
poche:2004,poche,author,0,,
pocheville-danchin:2017,pocheville,author,0,,
pocheville-danchin:2017,danchin_e,author,1,,
pochonwesolek:2018,pochonwesolek,author,0,,
pochonwesolek:2018a,pochonwesolek,author,0,,
pockett-etal:2006,pockett,editor,0,,
pockett-etal:2006,banks_wp,editor,1,,
pockett-etal:2006,gallagher_s,editor,2,,
pockett-etal:2006a,pockett,author,0,,
pockett-etal:2006a,banks_wp,author,1,,
pockett-etal:2006a,gallagher_s,author,2,,
pockett:2002,pockett,author,0,,
pockett:2006,pockett,author,0,,
pocock:1962,pocock,author,0,,
pocock:2006a,pocock,author,0,,
poczobut:2008,poczobut,author,0,,
podet:1985,podet,author,0,,
podgorski:2016,podgorski,author,0,,
podgorski:2016a,podgorski,author,0,,
podgorski:2016b,podgorski,author,0,,
podgorski:2017,podgorski,author,0,,
podgorski:2020,podgorski,author,0,,
podlaskowski-jones:2012,podlaskowski,author,0,,
podlaskowski-jones:2012,jones_n,author,1,,
podlaskowski-smith:2011,podlaskowski,author,0,,
podlaskowski-smith:2011,smith_joa,author,1,,
podlaskowski-smith:2014,podlaskowski,author,0,,
podlaskowski-smith:2014,smith_joa,author,1,,
podlaskowski:2010,podlaskowski,author,0,,
podlaskowski:2010a,podlaskowski,author,0,,
podlaskowski:2012,podlaskowski,author,0,,
podlaskowski:2014,podlaskowski,author,0,,
podlaskowski:2015,podlaskowski,author,0,,
podlaskowski:2019,podlaskowski,author,0,,
podoksik:2012,podoksik,editor,0,,
podoksik:2021,podoksik,author,0,,
podolny-lynn:2009,podolny,author,0,,
podolny-lynn:2009,lynn_f,author,1,,
podosky_pmc:2019,podosky_pmc,author,0,,
podrazaucinska:2000,podrazaucinska,author,0,,
podro:1998,podro,author,0,,
podschwadek:2022,podschwadek,author,0,,
poe_d:2018,poe_d,author,0,,
poeggeler:1969,poeggeler,author,0,,
poeggeler:1974,poeggeler,author,0,,
poeggeler:1975,poeggeler,author,0,,
poeggeler:1977,poeggeler,author,0,,
poeggeler:1983,poeggeler,author,0,,
poeggeler:1988,poeggeler,author,0,,
poeggeler:1992,poeggeler,author,0,,
poeggeler:1998,poeggeler,author,0,,
poellner:2012,poellner,author,0,,
poellner:2016,poellner,author,0,,
poellner:2022,poellner,author,0,,
poelzler_t-wright:2019,poelzler_t,author,0,,
poelzler_t-wright:2019,wright_jc,author,1,,
poelzler_t:2011,poelzler_t,author,0,,
poelzler_t:2021,poelzler_t,author,0,,
poelzler_t:2021a,poelzler_t,author,0,,
poeppel-etal:1973,poeppel,author,0,,
poeppel-etal:1973,held_r,author,1,,
poeppel-etal:1973,frost_d,author,2,,
poeppel:1971,poeppel,author,0,,
poeppel:1996,poeppel,author,0,,
poepper:2015,poepper,editor,0,,
poerksen:2006,poerksen,author,0,,
poern:1970,poern,author,0,,
poern:1971,poern,author,0,,
poern:1974,poern,author,0,,
poern:1977,poern,author,0,,
poern:1977a,poern,author,0,,
poern:1981,poern,editor,0,,
poern:1981a,poern,author,0,,
poern:1982,poern,author,0,,
poern:1989,poern,author,0,,
poern:2005,poern,author,0,,
poertzgen_m:2018,poertzgen_m,author,0,,
poertzgen_m:2019,poertzgen_m,author,0,,
poertzgen_m:2021,poertzgen_m,author,0,,
poesio-etal:1996,poesio,author,0,,
poesio-etal:1996,ferguson_g,author,1,,
poesio-etal:1996,heeman,author,2,,
poesio-etal:1996,hwang_ch,author,3,,
poesio-etal:1996,traum,author,4,,
poesio-etal:1999,poesio,author,0,,
poesio-etal:1999,bruneseaux_f,author,1,,
poesio-etal:1999,romary_l,author,2,,
poesio-traum:1997,poesio,author,0,,
poesio-traum:1997,traum,author,1,,
poesio-traum:1997a,poesio,author,0,,
poesio-traum:1997a,traum,author,1,,
poesio-viera:1998,poesio,author,0,,
poesio-viera:1998,viera_r,author,1,,
poesio:1991,poesio,author,0,,
poesio:1992,poesio,author,0,,
poesio:1993,poesio,author,0,,
poesio:1994,poesio,author,0,,
poesio:1994a,poesio,author,0,,
poesio:1996,poesio,author,0,,
poetzsch_j:2016,poetzsch_j,author,0,,
poeyhoenen_s:2014,poeyhoenen_s,author,0,,
poeyhoenen_s:2017,poeyhoenen_s,author,0,,
poeykkoe:2017,poeykkoe,author,0,,
poff_dc-michalos:2023,poff_dc,editor,0,,
poff_dc-michalos:2023,michalos,editor,1,,
poff_dc:2022,poff_dc,editor,0,,
pogaceanu:2005,pogaceanu,author,0,,
pogaceanu:2005a,pogaceanu,author,0,,
pogaceanu:2007,pogaceanu,author,0,,
poget_m:2011,poget_m,author,0,,
pogge:1982,pogge,author,0,,
pogge:1988,pogge,author,0,,
pogge:1988a,pogge,author,0,,
pogge:1989,pogge,author,0,,
pogge:1989a,pogge,author,0,,
pogge:1992,pogge,author,0,,
pogge:1994,pogge,author,0,,
pogge:1994a,pogge,author,0,,
pogge:1994b,pogge,author,0,,
pogge:1994c,pogge,author,0,,
pogge:1995,pogge,author,0,,
pogge:1995a,pogge,author,0,,
pogge:1997,pogge,author,0,,
pogge:1997a,pogge,author,0,,
pogge:1998,pogge,author,0,,
pogge:1998a,pogge,author,0,,
pogge:1999,pogge,author,0,,
