bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
prabhu_j:1989,prabhu_j,author,0,,
pradaoropeza:2002,pradaoropeza,author,0,,
prade:1987,prade,author,0,,
prade:1998,prade,editor,0,,
pradeau:1995,pradeau,author,0,,
pradeau:1997,pradeau,author,0,,
pradeau:2001,pradeau,editor,0,,
pradeau:2001a,pradeau,author,0,,
pradeau:2006,pradeau,author,0,,
pradeau:2007,pradeau,author,0,,
pradeau:2009,pradeau,author,0,,
pradelle:2000,pradelle,author,0,,
pradelle:2010,pradelle,author,0,,
pradelle:2012,pradelle,author,0,,
pradelle:2013,pradelle,author,0,,
pradelle:2013a,pradelle,author,0,,
pradelle:2013b,pradelle,author,0,,
pradelle:2018,pradelle,author,0,,
prades:2000,prades,author,0,,
prades:2007,prades,author,0,,
pradeu:2011,pradeu,author,0,,
pradeu:2012,pradeu,author,0,,
pradhan_m-etal:1996,pradhan_m,author,0,,
pradhan_m-etal:1996,henrion,author,1,,
pradhan_m-etal:1996,provan_gm,author,2,,
pradhan_m-etal:1996,delfavero,author,3,,
pradhan_m-etal:1996,huang_k,author,4,,
pradhan_rc:1979,pradhan_rc,author,0,,
pradhan_rc:1990,pradhan_rc,author,0,,
pradhan_rc:1994,pradhan_rc,author,0,,
pradhan_rc:1996,pradhan_rc,author,0,,
pradhan_rc:1999,pradhan_rc,author,0,,
pradhan_rc:2001,pradhan_rc,author,0,,
pradhan_s:1982,pradhan_s,author,0,,
prado_cg:1981,prado_cg,author,0,,
prado_cg:2008,prado_cg,author,0,,
pradoneto_b:2021,pradoneto_b,author,0,,
praechter_k:1909,praechter_k,author,0,,
praem-steglichpetersen:2015,praem,author,0,,
praem-steglichpetersen:2015,steglichpetersen,author,1,,
praetor:1988,praetor,editor,0,,
praetor:1988a,praetor,author,0,,
praetorius:1995,praetorius,author,0,,
praetorius:1995a,praetorius,author,0,,
praharaj:1995,praharaj,author,0,,
prakashvarma:1975,prakashvarma,author,0,,
prakashvarma:1977,prakashvarma,author,0,,
prakashvarma:1981,prakashvarma,author,0,,
prakashvarma:1990,prakashvarma,author,0,,
prakken-etal:2015,prakken,author,0,,
prakken-etal:2015,wyner_az,author,1,,
prakken-etal:2015,benchcapon,author,2,,
prakken-etal:2015,atkinson_k,author,3,,
prakken-modgil:2012,prakken,author,0,,
prakken-modgil:2012,modgil,author,1,,
prakken-sartor:1996,prakken,author,0,,
prakken-sartor:1996,sartor_g,author,1,,
prakken-sartor:1997,prakken,author,0,,
prakken-sartor:1997,sartor_g,author,1,,
prakken-sartor:1997a,prakken,author,0,,
prakken-sartor:1997a,sartor_g,author,1,,
prakken-sartor:2002,prakken,author,0,,
prakken-sartor:2002,sartor_g,author,1,,
prakken-sergot:1996,prakken,author,0,,
prakken-sergot:1996,sergot,author,1,,
prakken-sergot:1997,prakken,author,0,,
prakken-sergot:1997,sergot,author,1,,
prakken-vreeswik:2001,prakken,author,0,,
prakken-vreeswik:2001,vreeswijk,author,1,,
prakken:1996,prakken,author,0,,
prakken:1997,prakken,author,0,,
prakken:2002,prakken,author,0,,
prakken:2010,prakken,author,0,,
prakken:2010a,prakken,author,0,,
prakken:2012,prakken,author,0,,
prakken:2012a,prakken,author,0,,
prakken:2015,prakken,author,0,,
prakken:2017,prakken,author,0,,
prakken:2017a,prakken,author,0,,
prakken:2019,prakken,author,0,,
prakken:2020,prakken,author,0,,
prall_dw:1918,prall_dw,author,0,,
prall_dw:1923,prall_dw,author,0,,
prall_dw:1923a,prall_dw,author,0,,
prall_dw:1924,prall_dw,author,0,,
prall_dw:1925,prall_dw,author,0,,
prall_dw:1925a,prall_dw,author,0,,
prall_dw:1926,prall_dw,author,0,,
prall_dw:1927,prall_dw,author,0,,
prall_dw:1929,prall_dw,author,0,,
prall_dw:1930,prall_dw,author,0,,
pramanik:1999,pramanik,author,0,,
prantl:1855,prantl,author,0,,
prantl:1861,prantl,author,0,,
prantl:1867,prantl,author,0,,
prantl:1870,prantl,author,0,,
prantl:1955,prantl,author,0,,
praolini_f:2019,praolini_f,author,0,,
prasad_hs:1984,prasad_hs,author,0,,
prasad_r:1974,prasad_r,author,0,,
prasad_r:1976,prasad_r,author,0,,
prasad_r:1977,prasad_r,author,0,,
prasad_r:1977a,prasad_r,author,0,,
prasad_r:1982,prasad_r,author,0,,
prasad_r:1983,prasad_r,author,0,,
prasad_r:1983a,prasad_r,author,0,,
prasad_r:1984,prasad_r,author,0,,
prasad_r:1985,prasad_r,author,0,,
prasad_r:1987,prasad_r,author,0,,
prasad_r:1988,prasad_r,author,0,,
prasad_r:1994,prasad_r,author,0,,
prasad_r:1995a,prasad_r,author,0,,
prasad_r:1999,prasad_r,author,0,,
prasad_rc:1977,prasad_rc,author,0,,
prasad_s:1977,prasad_s,author,0,,
prasada:2002,prasada,author,0,,
prasada:2010,prasada,author,0,,
prasada:2021,prasada,author,0,,
prat_a:2006,prat_a,author,0,,
prat_s:2017,prat_s,author,0,,
prather_aa:2016,prather_aa,author,0,,
pratt_a:1992,pratt_a,author,0,,
