bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
qu_hm:2014,qu_hm,author,0,,
qu_hm:2014a,qu_hm,author,0,,
qu_hm:2016,qu_hm,author,0,,
qu_hm:2017,qu_hm,author,0,,
qu_hm:2017a,qu_hm,author,0,,
qu_hm:2019,qu_hm,author,0,,
qu_hm:2020,qu_hm,author,0,,
qu_hm:2023,qu_hm,author,0,,
quadranti:2007,quadranti,author,0,,
quaini_jb:1963,quaini_jb,author,0,,
quanhaase-wellman:2004,quanhaase,author,0,,
quanhaase-wellman:2004,wellman_b,author,1,,
quante-mooren:2018,quante,editor,0,,
quante-mooren:2018,mooren_n,editor,1,,
quante-schweikard:2016,quante,editor,0,,
quante-schweikard:2016,schweikard_dp,editor,1,,
quante-vieth:2001,quante,editor,0,,
quante-vieth:2001,vieth_a,editor,1,,
quante:1997,quante,author,0,,
quante:2004,quante,author,0,,
quante:2007,quante,author,0,,
quante:2008,quante,author,0,,
quante:2008a,quante,author,0,,
quante:2009,quante,author,0,,
quante:2010,quante,author,0,,
quante:2010a,quante,author,0,,
quante:2010b,quante,author,0,,
quante:2011,quante,author,0,,
quante:2013,bloeser,guesteditor,0,,
quante:2013,quante,author,0,,
quante:2013,janvid,guesteditor,1,,
quante:2013,matthiessen_h,guesteditor,2,,
quante:2013,willaschek,guesteditor,3,,
quante:2013a,quante,author,0,,
quante:2014,quante,author,0,,
quante:2016,quante,editor,0,,
quante:2018,quante,author,0,,
quante:2018a,quante,author,0,,
quante:2018b,quante,author,0,,
quantin:1994,quantin,author,0,,
quantz-royer:1992,quantz,author,0,,
quantz-royer:1992,royer_v,author,1,,
quantz:1992,quantz,author,0,,
quaranto-stanley:2021,quaranto,author,0,,
quaranto-stanley:2021,stanley_j,author,1,,
quarantotto_d:2006,quarantotto_d,author,0,,
quarantotto_d:2014,quarantotto_d,author,0,,
quarantotto_d:2015,quarantotto_d,author,0,,
quarantotto_d:2017,quarantotto_d,author,0,,
quarantotto_d:2017a,quarantotto_d,author,0,,
quarantotto_d:2018,quarantotto_d,editor,0,,
quarantotto_d:2018a,quarantotto_d,author,0,,
quarch:2016,quarch,author,0,,
quarch:2016a,quarch,author,0,,
quarch:2017,quarch,author,0,,
quarch:2018,quarch,author,0,,
quarch:2018a,quarch,author,0,,
quarch:2018b,quarch,author,0,,
quarfood:2004,quarfood,author,0,,
quarfood:2004a,quarfood,author,0,,
quarfood:2011,quarfood,author,0,,
quarfood:2014,quarfood,author,0,,
quarfood:2018,quarfood,author,0,,
quartenoud:2019,quartenoud,author,0,,
quarteroni:2001,quarteroni,author,0,,
quartier:2018,quartier,author,0,,
quash_b:2004,quash_b,author,0,,
quastler:1957,quastler,editor,0,,
quattrone_ga-tversky:1986,quattrone_ga,author,0,,
quattrone_ga-tversky:1986,tversky_a,author,1,,
quay:1984,quay,author,0,,
queloz:2018a,queloz,author,0,,
queloz:2019,queloz,author,0,,
queloz:2021,queloz,author,0,,
queloz:2023,queloz,author,0,,
quemin:1976,quemin,author,0,,
quen:1986,quen,editor,0,,
quenet:2005,quenet,author,0,,
quenteltouche:2011,quenteltouche,author,0,,
quentin_b:2006,quentin_b,author,0,,
quentin_b:2008,quentin_b,author,0,,
queponsramirez-exposito:2021,queponsramirez,author,0,,
queponsramirez-exposito:2021,exposito_n,author,1,,
queponsramirez:2015,queponsramirez,author,0,,
quer_j:2012,quer_j,author,0,,
queralt:2018,queralt,author,0,,
queralto:1997,queralto,author,0,,
queralto:2000,queralto,author,0,,
queralto:2008,queralto,author,0,,
quercia:2001,quercia,author,0,,
quere:1989,quere,author,0,,
queron:1986,queron,author,0,,
querroges:1968,querroges,author,0,,
quesada_d:1992,quesada_d,author,0,,
quesada_d:1993,quesada_d,author,0,,
quesada_d:1998,quesada_d,author,0,,
quesada_d:2003,quesada_d,author,0,,
quesada_fm:1968,quesada_fm,author,0,,
quesada_fm:1982,quesada_fm,author,0,,
quesada_fm:1991,quesada_fm,author,0,,
quesada_fm:1992,quesada_fm,author,0,,
quesada_fm:1995,quesada_fm,author,0,,
quesada_fm:1997,quesada_fm,author,0,,
quesada_jf-amores:2002,quesada_jf,author,0,,
quesada_jf-amores:2002,amores,author,1,,
quesne:2003,quesne,author,0,,
quester:1987,quester,author,0,,
quick_oc:1910,quick_oc,author,0,,
quiggin:2006,quiggin,author,0,,
quigley_m:2018,quigley_m,author,0,,
quigley_m:2018a,quigley_m,author,0,,
quigley_p:2003,quigley_p,author,0,,
quijano:1998,quijano,author,0,,
quijano:1998a,quijano,author,0,,
quilici:1989,quilici,author,0,,
quillen:1986,quillen,author,0,,
quillet_j:1963,quillet_j,author,0,,
quillet_j:1981,quillet_j,author,0,,
quillian:1967,quillian,author,0,,
quillian:1968,quillian,author,0,,
quillien:1994,quillien,author,0,,
quilliot:1997,quilliot,author,0,,
quilliot:2004,quilliot,author,0,,
quilter_j:2014,quilter_j,author,0,,
quiltydunn_j-mandelbaum:2018,quiltydunn_j,author,0,,
quiltydunn_j-mandelbaum:2018,mandelbaum_e,author,1,,
quiltydunn_j:2013,quiltydunn_j,author,0,,
quiltydunn_j:2015,quiltydunn_j,author,0,,
quiltydunn_j:2019,quiltydunn_j,author,0,,
quiltydunn_j:2019a,quiltydunn_j,author,0,,
quiltydunn_j:2020,quiltydunn_j,author,0,,
quinche:2005,quinche,author,0,,
quincy:2009,quincy,author,0,,
quine-etal:1962,quine,author,0,,
quine-etal:1962,marcus_rb,author,1,,
quine-etal:1962,kripke_s,author,2,,
