bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
rea_g:1989,rea_g,author,0,,
rea_mc-silver:2000,rea_mc,author,0,,
rea_mc-silver:2000,silver_d,author,1,,
rea_mc:1995,rea_mc,author,0,,
rea_mc:1997,rea_mc,editor,0,,
rea_mc:1997a,rea_mc,author,0,,
rea_mc:1998,rea_mc,author,0,,
rea_mc:1998a,rea_mc,author,0,,
rea_mc:1998b,rea_mc,author,0,,
rea_mc:2000,rea_mc,author,0,,
rea_mc:2000a,rea_mc,author,0,,
rea_mc:2001,rea_mc,author,0,,
rea_mc:2001a,rea_mc,author,0,,
rea_mc:2002,rea_mc,author,0,,
rea_mc:2002a,rea_mc,author,0,,
rea_mc:2003,rea_mc,author,0,,
rea_mc:2003a,rea_mc,author,0,,
rea_mc:2006,rea_mc,author,0,,
rea_mc:2006a,rea_mc,author,0,,
rea_mc:2007,rea_mc,author,0,,
rea_mc:2007a,rea_mc,author,0,,
rea_mc:2008,rea_mc,author,0,,
rea_mc:2009,rea_mc,editor,0,,
rea_mc:2009a,rea_mc,author,0,,
rea_mc:2009b,rea_mc,editor,0,,
rea_mc:2009c,rea_mc,author,0,,
rea_mc:2009d,rea_mc,author,0,,
rea_mc:2009e,rea_mc,author,0,,
rea_mc:2009f,rea_mc,author,0,,
rea_mc:2009g,rea_mc,author,0,,
rea_mc:2010,rea_mc,author,0,,
rea_mc:2011,rea_mc,author,0,,
rea_mc:2011a,rea_mc,author,0,,
rea_mc:2014,rea_mc,author,0,,
rea_mc:2015,rea_mc,author,0,,
rea_mc:2015a,rea_mc,author,0,,
rea_mc:2016,rea_mc,author,0,,
rea_mc:2018,rea_mc,author,0,,
rea_mc:2019,rea_mc,author,0,,
rea_mc:2020,rea_mc,author,0,,
rea_mc:2020a,rea_mc,author,0,,
reaber:2012,reaber,author,0,,
reach_g:2005,reach_g,author,0,,
reach_g:2016,reach_g,author,0,,
reach_k:1938,reach_k,author,0,,
read_c:1877,read_c,author,0,,
read_c:1883,read_c,author,0,,
read_c:1886,read_c,author,0,,
read_c:1924,read_c,author,0,,
read_h:1951,read_h,author,0,,
read_ha:2019,read_ha,author,0,,
read_he:1954,read_he,author,0,,
read_j:2023,read_j,author,0,,
read_r-richman:2000,read_r,editor,0,,
read_r-richman:2000,richman_ka,editor,1,,
read_r:2000,read_r,author,0,,
read_r:2003,read_r,author,0,,
read_r:2003a,read_r,author,0,,
read_r:2003b,read_r,author,0,,
read_r:2005,read_r,author,0,,
read_r:2012,read_r,author,0,,
read_r:2013,read_r,author,0,,
read_s-wright:1985,read_s,author,0,,
read_s-wright:1985,wright_cjg,author,1,,
read_s:1976,read_s,author,0,,
read_s:1977,read_s,author,0,,
read_s:1977a,read_s,author,0,,
read_s:1978,read_s,author,0,,
read_s:1979,read_s,author,0,,
read_s:1980,read_s,author,0,,
read_s:1981,read_s,author,0,,
read_s:1981a,read_s,author,0,,
read_s:1982,read_s,author,0,,
read_s:1983,read_s,author,0,,
read_s:1988,read_s,author,0,,
read_s:1991,read_s,author,0,,
read_s:1992,read_s,author,0,,
read_s:1993,read_s,editor,0,,
read_s:1993a,read_s,author,0,,
read_s:1994,read_s,author,0,,
read_s:1995,read_s,author,0,,
read_s:1995a,read_s,author,0,,
read_s:1997,read_s,author,0,,
read_s:1997a,read_s,author,0,,
read_s:1999,read_s,author,0,,
read_s:1999a,read_s,author,0,,
read_s:2000,read_s,author,0,,
read_s:2000a,read_s,author,0,,
read_s:2001,read_s,author,0,,
read_s:2001a,read_s,author,0,,
read_s:2002,read_s,author,0,,
read_s:2003,read_s,author,0,,
read_s:2003a,read_s,author,0,,
read_s:2004,read_s,author,0,,
read_s:2005,read_s,author,0,,
read_s:2006,read_s,author,0,,
read_s:2006a,read_s,author,0,,
read_s:2008,read_s,author,0,,
read_s:2008a,read_s,author,0,,
read_s:2009,read_s,author,0,,
read_s:2009a,read_s,author,0,,
read_s:2010,read_s,author,0,,
read_s:2010a,read_s,author,0,,
read_s:2010b,read_s,author,0,,
read_s:2010c,read_s,author,0,,
read_s:2010d,read_s,author,0,,
read_s:2012,read_s,author,0,,
read_s:2015,read_s,author,0,,
read_s:2015a,read_s,author,0,,
read_s:2015b,read_s,author,0,,
read_s:2015c,read_s,author,0,,
read_s:2015d,read_s,author,0,,
read_s:2016,read_s,author,0,,
read_s:2016a,read_s,author,0,,
read_s:2019,read_s,author,0,,
read_s:2019a,read_s,author,0,,
read_s:2021,read_s,author,0,,
reader:2005,reader,editor,0,,
reader:2005a,reader,author,0,,
reader:2005b,reader,author,0,,
reader:2007,reader,author,0,,
reader:2010,reader,author,0,,
reader:2023,reader,editor,0,,
reale_g-etal:1998,reale_g,author,0,,
reale_g-etal:1998,tordesillas_a,author,1,,
reale_g-etal:1998,brisson_l,author,2,,
reale_g-scolnicov:2002,reale_g,editor,0,,
reale_g-scolnicov:2002,scolnicov_s,editor,1,,
reale_g:1984,reale_g,author,0,,
reale_g:1991,reale_g,editor,0,,
reale_g:1991a,reale_g,author,0,,
reale_g:1991b,reale_g,author,0,,
reale_g:1991c,reale_g,author,0,,
reale_g:1994,reale_g,editor,0,,
reale_g:1994a,reale_g,author,0,,
reale_g:1994b,reale_g,author,0,,
reale_g:1997,reale_g,author,0,,
reale_m:1995,reale_m,author,0,,
reames_r:2018,reames_r,author,0,,
reardon_bm:1988,reardon_bm,author,0,,
reason_j:1979,reason_j,author,0,,
reasoner_m:2021,reasoner_m,author,0,,
reasoner_p-taliaferro:2009,reasoner_p,author,0,,
reasoner_p-taliaferro:2009,taliaferro,author,1,,
reasoner_p:2010,reasoner_p,author,0,,
reath-timmermann_j:2010,reath,editor,0,,
reath-timmermann_j:2010,timmermann_j,editor,1,,
reath:1988,reath,author,0,,
reath:1989,reath,author,0,,
reath:1995,reath,author,0,,
reath:2002,reath,author,0,,
reath:2003,reath,author,0,,
reath:2005,reath,author,0,,
reath:2006,reath,author,0,,
reath:2009,reath,author,0,,
reath:2010,reath,author,0,,
reath:2010a,reath,author,0,,
reath:2010b,reath,author,0,,
reath:2012,reath,author,0,,
reath:2013,reath,author,0,,
reath:2015,reath,author,0,,
reath:2015a,reath,author,0,,
reath:2018,reath,author,0,,
reaume:1997,reaume,author,0,,
reba_ma-shier:2015,reba_ma,author,0,,
reba_ma-shier:2015,shier_dr,author,1,,
rebe_b-etal:1984,rebe_b,editor,0,,
rebe_b-etal:1984,lompe_k,editor,1,,
rebe_b-etal:1984,vonthadden_r,editor,2,,
rebellato_r:1973,rebellato_r,author,0,,
rebentisch-trautmann:2018,rebentisch,author,0,,
rebentisch-trautmann:2018,trautmann_f,author,1,,
rebentisch:2016,rebentisch,author,0,,
reber_as-allen:2000,reber_as,author,0,,
reber_as-allen:2000,allen_rh,author,1,,
reber_as-etal:1985,reber_as,author,0,,
reber_as-etal:1985,allen_rh,author,1,,
reber_as-etal:1985,regan_s,author,2,,
reber_as:1967,reber_as,author,0,,
reber_as:1989,reber_as,author,0,,
reber_as:1992,reber_as,author,0,,
reber_as:1992a,reber_as,author,0,,
reber_as:1993,reber_as,author,0,,
reber_as:1997,reber_as,author,0,,
reber_as:1997a,reber_as,author,0,,
reber_b:2016,reber_b,author,0,,
rebouche:2021,rebouche,author,0,,
reboul_a:1987,reboul_a,author,0,,
reboul_a:2007,reboul_a,author,0,,
reboul_a:2011,reboul_a,editor,0,,
reboul_a:2011a,reboul_a,author,0,,
reboul_a:2011b,reboul_a,author,0,,
reboul_a:2013,reboul_a,author,0,,
reboul_a:2014,reboul_a,editor,0,,
reboul_a:2014a,reboul_a,editor,0,,
reboul_a:2014b,reboul_a,author,0,,
reboul_a:2014c,reboul_a,author,0,,
reboul_a:2014e,reboul_a,author,0,,
reboul_a:2015,reboul_a,author,0,,
reboul_a:2017,reboul_a,author,0,,
reboul_a:2018,reboul_a,author,0,,
reboul_a:2019,reboul_a,author,0,,
reboul_o:1985,reboul_o,author,0,,
reboul_o:1986,reboul_o,author,0,,
rebourg_a:2023,rebourg_a,author,0,,
rebuschi-tulenheimo:2011,rebuschi,author,0,,
rebuschi-tulenheimo:2011,tulenheimo,author,1,,
rebuschi:2006,rebuschi,author,0,,
rebuschi:2008,rebuschi,author,0,,
rebuschi:2012,rebuschi,author,0,,
rebuschi:2012a,rebuschi,author,0,,
rebuschi:2017,rebuschi,author,0,,
recanati-etal:2010,recanati,editor,0,,
recanati-etal:2010,stojanovic_i,editor,1,,
recanati-etal:2010,villanueva_n,editor,2,,
recanati-etal:2010a,recanati,author,0,,
recanati-etal:2010a,stojanovic_i,author,1,,
recanati-etal:2010a,villanueva_n,author,2,,
recanati:1979,recanati,author,0,,
recanati:1980,recanati,author,0,,
recanati:1982,recanati,author,0,,
recanati:1983,recanati,author,0,,
recanati:1983a,recanati,author,0,,
recanati:1986,recanati,author,0,,
recanati:1986a,recanati,author,0,,
recanati:1986b,recanati,author,0,,
recanati:1986c,recanati,author,0,,
recanati:1987,recanati,author,0,,
recanati:1987a,recanati,author,0,,
recanati:1988,recanati,author,0,,
recanati:1989,recanati,author,0,,
recanati:1990,recanati,author,0,,
recanati:1990a,recanati,author,0,,
recanati:1992,recanati,author,0,,
recanati:1993,recanati,author,0,,
recanati:1994,recanati,author,0,,
recanati:1994a,recanati,author,0,,
recanati:1994b,recanati,author,0,,
recanati:1995a,recanati,author,0,,
recanati:1995b,recanati,author,0,,
recanati:1996,recanati,author,0,,
recanati:1996a,recanati,author,0,,
recanati:1997,recanati,editor,0,,
recanati:1997a,recanati,author,0,,
recanati:1998,recanati,author,0,,
recanati:1999,recanati,author,0,,
recanati:2000,recanati,author,0,,
recanati:2000a,recanati,author,0,,
recanati:2000c,recanati,author,0,,
recanati:2001,recanati,author,0,,
recanati:2001a,recanati,author,0,,
recanati:2001b,recanati,author,0,,
recanati:2001c,recanati,author,0,,
recanati:2002,recanati,author,0,,
recanati:2002a,recanati,author,0,,
recanati:2003,recanati,author,0,,
recanati:2003a,recanati,author,0,,
recanati:2004,recanati,author,0,,
recanati:2004a,recanati,author,0,,
recanati:2004b,recanati,author,0,,
recanati:2004c,recanati,author,0,,
recanati:2005,recanati,author,0,,
recanati:2005a,recanati,author,0,,
recanati:2006,recanati,author,0,,
recanati:2006a,recanati,author,0,,
recanati:2007,recanati,author,0,,
recanati:2007a,recanati,author,0,,
recanati:2007b,recanati,author,0,,
recanati:2007c,recanati,author,0,,
recanati:2007d,recanati,author,0,,
recanati:2008,recanati,author,0,,
recanati:2008a,recanati,author,0,,
recanati:2008b,recanati,author,0,,
recanati:2009,recanati,author,0,,
recanati:2010,recanati,author,0,,
recanati:2010a,recanati,author,0,,
recanati:2011,recanati,author,0,,
recanati:2012,recanati,author,0,,
recanati:2012a,recanati,author,0,,
recanati:2012b,recanati,author,0,,
recanati:2012c,recanati,author,0,,
recanati:2012d,recanati,author,0,,
recanati:2013,recanati,author,0,,
recanati:2013a,recanati,author,0,,
recanati:2013b,recanati,author,0,,
recanati:2014,recanati,author,0,,
recanati:2014a,recanati,author,0,,
recanati:2015,recanati,author,0,,
recanati:2016,recanati,author,0,,
recanati:2016a,recanati,author,0,,
recanati:2017,carston,guesteditor,0,,
recanati:2017,recanati,author,0,,
recanati:2017,pritchard_t,guesteditor,1,,
recanati:2017,textor,guesteditor,2,,
recanati:2017a,recanati,author,0,,
recanati:2018,recanati,author,0,,
recanati:2018a,recanati,author,0,,
recanati:2020,recanati,author,0,,
recanati:2021,recanati,author,0,,
recanati:2022,recanati,author,0,,
recasenssiches:1971,recasenssiches,author,0,,
rech:2017,rech,author,0,,
rechenauer_m:1997,rechenauer_m,author,0,,
rechnitzer_t:2022,rechnitzer_t,author,0,,
rechsteiner_a:1969,rechsteiner_a,author,0,,
rechter:2006,rechter,author,0,,
rechter:2013,rechter,author,0,,
rechtin-todd:1974,rechtin,author,0,,
rechtin-todd:1974,todd_w,author,1,,
reck_aj:1972,reck_aj,author,0,,
reck_aj:1977,reck_aj,author,0,,
reck_aj:1985,reck_aj,author,0,,
reck_aj:1997,reck_aj,author,0,,
reck_e-cook:2016,reck_e,author,0,,
reck_e-cook:2016,cook_rt,author,1,,
reck_e-schiemer:2020,reck_e,author,0,,
reck_e-schiemer:2020,schiemer,author,1,,
reck_e:2008,reck_e,author,0,,
reck_e:2013,reck_e,editor,0,,
reck_e:2013b,reck_e,author,0,,
reck_e:2013d,reck_e,author,0,,
recker:1993,recker,author,0,,
reckermann_a:2004,reckermann_a,author,0,,
reckermann_a:2018,reckermann_a,author,0,,
recki-etal:2006,recki,editor,0,,
recki-etal:2006,meyer_sv,editor,1,,
recki-etal:2006,ahl_i,editor,2,,
recki:1995,recki,author,0,,
recki:1998,recki,author,0,,
recki:1998a,recki,author,0,,
recki:2001,recki,author,0,,
recki:2005,recki,author,0,,
recki:2006,recki,author,0,,
recki:2008,recki,author,0,,
recki:2008a,recki,author,0,,
recki:2009,recki,author,0,,
recki:2011,recki,author,0,,
recki:2013,recki,author,0,,
recki:2014,recki,author,0,,
recki:2014a,recki,author,0,,
recki:2016,recki,editor,0,,
recki:2016a,recki,author,0,,
recki:2018,recki,author,0,,
recki:2018a,recki,author,0,,
reclus:2005,reclus,author,0,,
record:2013,record,author,0,,
rector_al:1986,rector_al,author,0,,
rector_m:1981,rector_m,author,0,,
reddam:1982,reddam,author,0,,
reddie:2014,reddie,author,0,,
reddig:2017,reddig,author,0,,
redding:1991,redding,author,0,,
redding:2003,redding,author,0,,
redding:2004,redding,author,0,,
redding:2007,redding,author,0,,
redding:2007a,redding,author,0,,
redding:2009a,redding,author,0,,
redding:2009b,redding,author,0,,
redding:2010a,redding,author,0,,
redding:2011,redding,author,0,,
redding:2012,redding,author,0,,
redding:2012a,redding,author,0,,
redding:2013,redding,author,0,,
redding:2014,redding,author,0,,
redding:2014a,redding,author,0,,
redding:2015,redding,author,0,,
redding:2016,redding,author,0,,
redding:2017,redding,author,0,,
redding:2017a,redding,author,0,,
redding:2017b,redding,author,0,,
redding:2019,redding,author,0,,
redding:2019a,redding,author,0,,
redding:2020,redding,author,0,,
reddy_mj:1979,reddy_mj,author,0,,
reddy_v-morris:2009,reddy_v,author,0,,
reddy_v-morris:2009,morris_ph,author,1,,
reddy_v:2005,reddy_v,author,0,,
reddy_v:2010,reddy_v,author,0,,
reddy_va:1991,reddy_va,author,0,,
redei-gyenis:2011,redei,author,0,,
redei-gyenis:2011,gyenis_b,author,1,,
redei-stoeltzner:2001,redei,editor,0,,
