bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ruano_j:2008,ruano_j,author,0,,
ruar_v:2016,ruar_v,author,0,,
ruaro:2008,ruaro,author,0,,
rubeis:2017,rubeis,author,0,,
rubel_a:2015,rubel_a,author,0,,
ruben_dh:1979,ruben_dh,author,0,,
ruben_dh:1982,ruben_dh,author,0,,
ruben_dh:1984,ruben_dh,author,0,,
ruben_dh:1985,ruben_dh,author,0,,
ruben_dh:1989,ruben_dh,author,0,,
ruben_dh:1990,ruben_dh,author,0,,
ruben_dh:1990a,ruben_dh,author,0,,
ruben_dh:1990b,ruben_dh,author,0,,
ruben_dh:1997,ruben_dh,author,0,,
ruben_dh:1997a,ruben_dh,author,0,,
ruben_dh:1998,ruben_dh,author,0,,
ruben_dh:1999,ruben_dh,author,0,,
ruben_dh:2001,ruben_dh,author,0,,
ruben_dh:2003,ruben_dh,author,0,,
ruben_dh:2008,ruben_dh,author,0,,
ruben_dh:2009,ruben_dh,author,0,,
ruben_dh:2010,ruben_dh,author,0,,
ruben_dh:2010a,ruben_dh,author,0,,
ruben_dh:2012,ruben_dh,author,0,,
ruben_dh:2013,ruben_dh,author,0,,
ruben_dh:2014,ruben_dh,author,0,,
ruben_dh:2016,ruben_dh,author,0,,
ruben_dh:2018,ruben_dh,author,0,,
ruben_p-wolter:1969,ruben_p,author,0,,
ruben_p-wolter:1969,wolter_h,author,1,,
rubene-rubenis:1993,rubene,author,0,,
rubene-rubenis:1993,rubenis_a,author,1,,
rubene:2008,rubene,author,0,,
rubenfeld_j:2001,rubenfeld_j,author,0,,
rubenstein_em:1997,rubenstein_em,author,0,,
rubenstein_em:2000,rubenstein_em,author,0,,
rubenstein_em:2001,rubenstein_em,author,0,,
rubenstein_em:2001a,rubenstein_em,author,0,,
rubenstein_em:2002,rubenstein_em,author,0,,
rubenstein_ez:2024,rubenstein_ez,author,0,,
rubenstein_ez:2024a,rubenstein_ez,author,0,,
rubenstein_ez:2024b,rubenstein_ez,author,0,,
rubenstein_jl:2007,rubenstein_jl,author,0,,
rubenstein_mj:2014,rubenstein_mj,author,0,,
rubies:2017,rubies,author,0,,
rubin_dc:1996,rubin_dc,editor,0,,
rubin_dc:1996a,rubin_dc,author,0,,
rubin_e:1936,rubin_e,author,0,,
rubin_el:2010,rubin_el,author,0,,
rubin_h-rubin:1963,rubin_h,author,0,,
rubin_h-rubin:1963,rubin_je,author,1,,
rubin_h-rubin:1985,rubin_h,author,0,,
rubin_h-rubin:1985,rubin_je,author,1,,
rubin_h:1959,rubin_h,author,0,,
rubin_ha:2015,rubin_ha,author,0,,
rubin_k:2015,rubin_k,author,0,,
rubin_m:2008,rubin_m,author,0,,
rubin_m:2013,rubin_m,author,0,,
rubin_m:2014,rubin_m,author,0,,
rubin_m:2015,rubin_m,author,0,,
rubin_mi:2011,rubin_mi,author,0,,
rubin_r:1977,rubin_r,author,0,,
rubin_r:2008,rubin_r,author,0,,
rubin_u:2010,rubin_u,author,0,,
rubine:1991,rubine,author,0,,
rubinfine:1973,rubinfine,author,0,,
rubini_p:2010,rubini_p,author,0,,
rubini_p:2010a,rubini_p,author,0,,
rubini_p:2010b,rubini_p,author,0,,
rubini_p:2015,rubini_p,author,0,,
rubini_r:2014,rubini_r,author,0,,
rubino_f:2015,rubino_f,author,0,,
rubinoff_l:1968,rubinoff_l,author,0,,
rubinoff_l:1996,rubinoff_l,author,0,,
rubinoff_r:1992,rubinoff_r,author,0,,
rubinoff_r:1992a,rubinoff_r,author,0,,
rubinoff_r:2000,rubinoff_r,author,0,,
rubinstein_a-wolinsky:1990,rubinstein_a,author,0,,
rubinstein_a-wolinsky:1990,wolinsky_a,author,1,,
rubinstein_a:1985,rubinstein_a,author,0,,
rubinstein_a:1989,rubinstein_a,author,0,,
rubinstein_a:1996,rubinstein_a,author,0,,
rubinstein_a:1996a,rubinstein_a,author,0,,
rubinstein_a:1998,rubinstein_a,author,0,,
rubinstein_a:2000,rubinstein_a,author,0,,
rubinstein_a:2002,rubinstein_a,author,0,,
rubinstein_a:2021,rubinstein_a,author,0,,
rubinstein_ay:2017,rubinstein_ay,author,0,,
rubinstein_l:2009,rubinstein_l,author,0,,
rubinstein_mj:2018,rubinstein_mj,author,0,,
rubinsuleiman:1986,rubinsuleiman,editor,0,,
rubinsuleiman:1986a,rubinsuleiman,author,0,,
rubio_jm:2001,rubio_jm,author,0,,
rubio_jue:2002,rubio_jue,author,0,,
rubio_jue:2004,rubio_jue,author,0,,
rubio_jue:2004a,rubio_jue,author,0,,
rubiomarin:2003,rubiomarin,author,0,,
rubiomartin:1991,rubiomartin,author,0,,
rubner_a:2022,rubner_a,author,0,,
rubrech_c:2016,rubrech_c,author,0,,
ruby:2004,ruby,author,0,,
ruby:2005,ruby,author,0,,
ruccio_df:2022,ruccio_df,author,0,,
ruch_p-etal:2000,ruch_p,author,0,,
ruch_p-etal:2000,baud_r,author,1,,
ruch_p-etal:2000,bouillon_p,author,2,,
ruch_p-etal:2000,robert_gi,author,3,,
rucker_jm-richeson:2021,rucker_jm,author,0,,
rucker_jm-richeson:2021,richeson_ja,author,1,,
rucker_r-aldowaisan:1992,rucker_r,author,0,,
rucker_r-aldowaisan:1992,aldowaisan,author,1,,
rucker_rvb:1977,rucker_rvb,author,0,,
rucker_rvb:1978,rucker_rvb,author,0,,
ruckhaber:1929,ruckhaber,author,0,,
ruda:2017,ruda,author,0,,
rudavsky:1982,rudavsky,author,0,,
rudavsky:1983,rudavsky,author,0,,
rudavsky:1984,rudavsky,editor,0,,
rudavsky:1984a,rudavsky,author,0,,
rudavsky:1988,rudavsky,author,0,,
rudavsky:1991,rudavsky,author,0,,
rudavsky:1994,rudavsky,author,0,,
rudavsky:2002,rudavsky,author,0,,
rudavsky:2002a,rudavsky,author,0,,
rudavsky:2003,rudavsky,author,0,,
rudavsky:2003a,rudavsky,author,0,,
rudavsky:2005,rudavsky,author,0,,
rudavsky:2007,rudavsky,author,0,,
rudavsky:2009,rudavsky,author,0,,
rudavsky:2009a,rudavsky,author,0,,
rudavsky:2010a,rudavsky,author,0,,
rudavsky:2012,rudavsky,author,0,,
rudavsky:2017,rudavsky,author,0,,
rudavsky:2018,rudavsky,author,0,,
rudavsky:2018a,rudavsky,author,0,,
rudd_a:1997a,rudd_a,author,0,,
rudd_a:2000,rudd_a,author,0,,
rudd_a:2005,rudd_a,author,0,,
rudd_a:2008,rudd_a,author,0,,
rudd_a:2009,rudd_a,author,0,,
rudd_a:2012,rudd_a,author,0,,
rudd_a:2013,rudd_a,author,0,,
rudd_a:2022,rudd_a,author,0,,
rudd_d:2014,rudd_d,author,0,,
rudd_pm:2006,rudd_pm,author,0,,
ruddick_s:1969,ruddick_s,author,0,,
ruddick_w:1968,ruddick_w,author,0,,
ruddick_w:1971,ruddick_w,author,0,,
ruddick_w:1983,ruddick_w,author,0,,
ruddick_w:1988,ruddick_w,author,0,,
ruddy_j:2022,ruddy_j,author,0,,
rudebusch_g:1989,rudebusch_g,author,0,,
rudebusch_g:1991,rudebusch_g,author,0,,
rudebusch_g:1998,rudebusch_g,author,0,,
rudebusch_g:2002,rudebusch_g,author,0,,
rudebusch_g:2006,rudebusch_g,author,0,,
rudebusch_g:2007,rudebusch_g,author,0,,
rudebusch_g:2009,rudebusch_g,author,0,,
rudebusch_g:2009a,rudebusch_g,author,0,,
rudebusch_g:2011,rudebusch_g,author,0,,
rudebusch_gd:1995,rudebusch_gd,author,0,,
ruden_s:2016,ruden_s,author,0,,
ruderman_db:2008,ruderman_db,author,0,,
rudhardt:1976,rudhardt,author,0,,
rudich:1967,rudich,author,0,,
rudin_ma:1977,rudin_ma,author,0,,
rudinow:1974,rudinow,author,0,,
rudner_lm:2004,rudner_lm,author,0,,
rudner_r-scheffler:1972,rudner_r,editor,0,,
rudner_r-scheffler:1972,scheffler_i,editor,1,,
rudner_r:1950,rudner_r,author,0,,
rudner_r:1953,rudner_r,author,0,,
rudner_r:1972,rudner_r,author,0,,
rudner_r:1973,rudner_r,author,0,,
rudner_s-etal:1974,rudner_r,author,0,,
rudner_s-etal:1974,oplinger_dw,author,1,,
rudner_s-etal:1974,primack,author,2,,
rudner_s-etal:1974,ackermann_r,author,3,,
rudner_s-etal:1974,baumrin_bh,author,4,,
rudner_s-etal:1974,doehlert_d,author,5,,
rudner_s-etal:1974,traumann_kf,author,6,,
rudner_s:1974,rudner_r,author,0,,
rudnick_a:2008,rudnick_a,author,0,,
rudnick_a:2018,rudnick_a,author,0,,
rudnick_hh-wawrzycka:1990,rudnick_hh,author,0,,
rudnick_hh-wawrzycka:1990,wawrzycka,author,1,,
rudnick_hh:1976,rudnick_hh,author,0,,
rudnick_hh:1982,rudnick_hh,author,0,,
rudnick_hh:1983,rudnick_hh,author,0,,
rudnick_hh:1985,rudnick_hh,author,0,,
rudnick_hh:1988,rudnick_hh,author,0,,
rudnick_hh:1988a,rudnick_hh,author,0,,
rudnick_hh:1989,rudnick_hh,author,0,,
rudnick_hh:1990,rudnick_hh,editor,0,,
rudnick_hh:1990a,rudnick_hh,author,0,,
rudnick_hh:1990b,rudnick_hh,author,0,,
rudnick_hh:1992,rudnick_hh,author,0,,
rudnick_hh:1994,rudnick_hh,author,0,,
rudnick_hh:1995,rudnick_hh,author,0,,
rudnick_hh:1997,rudnick_hh,author,0,,
rudnick_hh:2000,rudnick_hh,author,0,,
rudnick_hh:2000a,rudnick_hh,author,0,,
rudnick_hh:2001,rudnick_hh,author,0,,
rudnickluft:1982,rudnickluft,author,0,,
rudolph_e:1985,rudolph_e,author,0,,
rudolph_e:1985a,rudolph_e,author,0,,
rudolph_e:1990,rudolph_e,author,0,,
rudolph_e:1998,rudolph_e,author,0,,
rudolph_e:2013,rudolph_e,author,0,,
rudolph_kc:2018,rudolph_kc,editor,0,,
rudolph_op-goubet:2004,rudolph_op,editor,0,,
rudolph_op-goubet:2004,goubet,editor,1,,
rudolph_op:2011,rudolph_op,author,0,,
rudolph_u:1996,rudolph_u,author,0,,
rudolph_u:2012,rudolph_u,editor,0,,
rudolph_u:2016,rudolph_u,author,0,,
rudolph_u:2016a,rudolph_u,author,0,,
rudrauf-damasio:2006,rudrauf,author,0,,
rudrauf-damasio:2006,damasio_ar,author,1,,
rudwick:1986,rudwick,author,0,,
rudy_k:2023,rudy_k,author,0,,
rudyhiller:2017,rudyhiller,author,0,,
rue_l:2018,rue_l,author,0,,
rue_r:1993,rue_r,author,0,,
rueckert_h:2001,rueckert_h,author,0,,
rueckert_h:2004,rueckert_h,author,0,,
rueckert_h:2009,rueckert_h,author,0,,
rueckl_jg:1991,rueckl_jg,author,0,,
ruediger:1924,ruediger,author,0,,
rueegg_f:2017,rueegg_f,author,0,,
rueegg_h:1997,rueegg_h,author,0,,
rueff_m-zanetta:2015,rueff_m,editor,0,,
rueff_m-zanetta:2015,zanetta,editor,1,,
rueff_m:1996,rueff_m,author,0,,
rueger:1990,rueger,author,0,,
rueger:1995,rueger,author,0,,
rueger:2000,rueger,author,0,,
rueger:2004,rueger,author,0,,
rueger:2006,rueger,author,0,,
rueger:2006a,rueger,author,0,,
rueger:2008,rueger,author,0,,
rueger:2008a,rueger,author,0,,
rueger:2011,rueger,author,0,,
rueger:2012,rueger,author,0,,
rueger:2013,rueger,author,0,,
rueger:2014,rueger,author,0,,
rueger:2016,rueger,author,0,,
rueger:2018,rueger,author,0,,
ruehl_u:2005,ruehl_u,author,0,,
ruehl_u:2010,ruehl_u,author,0,,
ruehle:2008,ruehle,author,0,,
ruehle:2012,ruehle,author,0,,
ruelle:1991,ruelle,author,0,,
ruepke:2016,ruepke,author,0,,
ruesch:1951,ruesch,author,0,,
ruesch:1957,ruesch,author,0,,
rueschemeyer:2006,rueschemeyer,author,0,,
ruestow:1973,ruestow,author,0,,
ruestow:1996,ruestow,author,0,,
ruether_k:2011,ruether_k,author,0,,
ruether_m:2013,ruether_m,author,0,,
ruether_m:2016,ruether_m,editor,0,,
ruether_rr:2002,ruether_rr,author,0,,
ruether_rr:2007,ruether_rr,author,0,,
ruether_rr:2013,ruether_rr,author,0,,
ruethers-etal:2011,ruethers,author,0,,
ruethers-etal:2011,fischer_c,author,1,,
ruethers-etal:2011,birk_ax,author,2,,
ruetsche-earman:2011,ruetsche,author,0,,
ruetsche-earman:2011,earman_js,author,1,,
ruetsche:1998,ruetsche,author,0,,
ruetsche:2000,ruetsche,author,0,,
ruetsche:2000a,ruetsche,author,0,,
ruetsche:2002,ruetsche,author,0,,
ruetsche:2011,ruetsche,author,0,,
ruetsche:2012,ruetsche,author,0,,
ruetsche:2012a,ruetsche,author,0,,
ruetsche:2013,ruetsche,author,0,,
ruetsche:2015,ruetsche,author,0,,
ruetsche:2015a,ruetsche,author,0,,
ruetsche:2016,ruetsche,author,0,,
ruetsche:2017,ruetsche,author,0,,
ruetsche:2020,ruetsche,author,0,,
ruetsche:2021,ruetsche,author,0,,
ruetsche:2021a,ruetsche,author,0,,
ruette_h:1978,ruette_h,author,0,,
ruettimann_gt:1977,ruettimann_gt,author,0,,
ruettimann_j:1944,ruettimann_j,author,0,,
ruf:1969,ruf,author,0,,
ruff_cc:2011,ruff_cc,author,0,,
ruffieux_r:1991,ruffieux_r,editor,0,,
ruffieux_r:1991a,ruffieux_r,editor,0,,
ruffieux_r:1992,ruffieux_r,editor,0,,
ruffieuxoverney:1962,ruffieuxoverney,author,0,,
ruffing_m:1995,ruffing_m,author,0,,
ruffing_m:2014,ruffing_m,author,0,,
ruffing_m:2018,ruffing_m,author,0,,
ruffino:2001,ruffino,author,0,,
ruffino:2012,ruffino,author,0,,
ruffino:2013,ruffino,author,0,,
ruffino:2022,ruffino,author,0,,
ruffiot-torre:1974,ruffiot,author,0,,
ruffiot-torre:1974,torre_c,author,1,,
ruffman:1996,ruffman,author,0,,
ruge_a:1912,ruge_a,editor,0,,
ruge_s:2014,ruge_s,author,0,,
rugel_m-andrae:2011,rugel_m,author,0,,
rugel_m-andrae:2011,andrae_b,author,1,,
rugel_m:2006,rugel_m,author,0,,
rugg:1992,rugg,author,0,,
rugg:1995,rugg,author,0,,
ruggiero_f:1961,ruggiero_f,author,0,,
ruggiero_v:2017,ruggiero_v,author,0,,
ruggiero_v:2017a,ruggiero_v,author,0,,
ruggiu_l:1998,ruggiu_l,editor,0,,
rugh-zinkernagel:2011,rugh,author,0,,
rugh-zinkernagel:2011,zinkernagel_h,author,1,,
ruh_k:1991,ruh_k,author,0,,
ruhmkorff:2005,ruhmkorff,author,0,,
ruhmkorff:2007,ruhmkorff,author,0,,
ruhmkorff:2013,ruhmkorff,author,0,,
ruhmkorff:2013a,ruhmkorff,author,0,,
ruhnau:1995,ruhnau,author,0,,
ruhrberg_p:1996,ruhrberg_p,author,0,,
ruigrok:2011,ruigrok,author,0,,
ruimy_n-etal:2001,ruimy_n,author,0,,
ruimy_n-etal:2001,gola_e,author,1,,
ruimy_n-etal:2001,monachini_m,author,2,,
ruin:2005,ruin,author,0,,
ruin:2016,ruin,author,0,,
ruitenberg_c:2010,ruitenberg_c,editor,0,,
ruitenburg_w:1982,ruitenburg_w,author,0,,
ruiz_e:2018,ruiz_e,author,0,,
ruizaho:2011,ruizaho,author,0,,
ruizdeesparza:1995,ruizdeesparza,author,0,,
ruizgutierrez:1995,ruizgutierrez,author,0,,
ruizmirazo-moreno:2012,ruizmirazo,author,0,,
ruizmirazo-moreno:2012,moreno_a,author,1,,
ruja:1936,ruja,author,0,,
ruja:1938,ruja,author,0,,
ruja:1963,ruja,author,0,,
ruja:1984,ruja,author,0,,
rukgaber:2009,rukgaber,author,0,,
rukgaber:2010,rukgaber,author,0,,
rukgaber:2014,rukgaber,author,0,,
rukgaber:2015,rukgaber,author,0,,
rukgaber:2016,rukgaber,author,0,,
rukmani:1981,rukmani,author,0,,
rukmani:2018,rukmani,author,0,,
rulli_t-worsnip:2016,rulli_t,author,0,,
rulli_t-worsnip:2016,worsnip,author,1,,
rulli_t:2016,rulli_t,author,0,,
rulli_t:2017,rulli_t,author,0,,
rulli_t:2018,rulli_t,author,0,,
rullmann-etal:2008,rullmann,author,0,,
rullmann-etal:2008,matthewson_l,author,1,,
rullmann-etal:2008,davis_h,author,2,,
rullmann-you:2006,rullmann,author,0,,
rullmann-you:2006,you_a,author,1,,
ruloff_cp:2006,ruloff_cp,author,0,,
ruloff_cp:2009,ruloff_cp,author,0,,
ruloff_cp:2014,ruloff_cp,author,0,,
ruloff_cp:2014a,ruloff_cp,author,0,,
ruloff_cp:2016,ruloff_cp,author,0,,
rumberg_a:2013,rumberg_a,author,0,,
rumble_we:1979,rumble_we,author,0,,
rumelhart:1979,rumelhart,author,0,,
rumelhart:1989,rumelhart,author,0,,
rumelhart:1991,rumelhart,author,0,,
rumelhart:1992,rumelhart,author,0,,
rumelhart:1997,rumelhart,author,0,,
rumfitt:1993,rumfitt,author,0,,
rumfitt:1994,rumfitt,author,0,,
rumfitt:1995,rumfitt,author,0,,
rumfitt:1995a,rumfitt,author,0,,
rumfitt:1995b,rumfitt,author,0,,
rumfitt:1995c,rumfitt,author,0,,
rumfitt:1996,rumfitt,author,0,,
rumfitt:1996a,rumfitt,author,0,,
rumfitt:1996b,rumfitt,author,0,,
rumfitt:1997,rumfitt,author,0,,
rumfitt:1997a,rumfitt,author,0,,
rumfitt:1999,rumfitt,author,0,,
rumfitt:2000,rumfitt,author,0,,
rumfitt:2001a,rumfitt,author,0,,
rumfitt:2002,rumfitt,author,0,,
rumfitt:2003,rumfitt,author,0,,
rumfitt:2003a,rumfitt,author,0,,
rumfitt:2003b,rumfitt,author,0,,
rumfitt:2005,rumfitt,author,0,,
rumfitt:2005a,rumfitt,author,0,,
rumfitt:2005b,rumfitt,author,0,,
rumfitt:2008,lihoreau,guesteditor,0,,
rumfitt:2008,rumfitt,author,0,,
rumfitt:2008a,rumfitt,author,0,,
rumfitt:2010,rumfitt,author,0,,
rumfitt:2010a,rumfitt,author,0,,
rumfitt:2011,rumfitt,author,0,,
rumfitt:2011b,rumfitt,author,0,,
rumfitt:2013,rumfitt,author,0,,
rumfitt:2013a,rumfitt,author,0,,
rumfitt:2014,rumfitt,author,0,,
rumfitt:2015,rumfitt,author,0,,
rumfitt:2016,rumfitt,author,0,,
rumfitt:2017,rumfitt,author,0,,
rumfitt:2017a,rumfitt,author,0,,
rumfitt:2018,rumfitt,author,0,,
rumfitt:2018a,rumfitt,author,0,,
rumfitt:2020,rumfitt,author,0,,
rummel:2004,rummel,author,0,,
rummel:2008,rummel,editor,0,,
rummel:2008a,rummel,author,0,,
rumore:2016,rumore,author,0,,
rumore:2018,rumore,author,0,,
rumore:2018a,rumore,author,0,,
rump:2014,rump,author,0,,
rump:2017,rump,author,0,,
rump:2021,rump,author,0,,
rumpf:2003,rumpf,author,0,,
rumsey_jp:1989,rumsey_jp,author,0,,
rumsey_jp:1997,rumsey_jp,author,0,,
rumsey_wd:1987,rumsey_wd,author,0,,
rumshisky-calzolari:2009,rumshisky,editor,0,,
rumshisky-calzolari:2009,calzolari_n,editor,1,,
runcan:1984,runcan,author,0,,
runciman_wg:1962,runciman_wg,author,0,,
runciman_wg:1974,runciman_wg,author,0,,
runco:2018,runco,author,0,,
runde:1995,runde,author,0,,
rundle_b:1965,rundle_b,author,0,,
rundle_b:1966,rundle_b,author,0,,
rundle_b:1968,rundle_b,author,0,,
rundle_b:1969,rundle_b,author,0,,
rundle_b:1977,rundle_b,author,0,,
rundle_b:1979,rundle_b,author,0,,
rundle_b:1983,rundle_b,author,0,,
rundle_b:1986,rundle_b,author,0,,
rundle_b:1997,rundle_b,author,0,,
rundle_b:2001,rundle_b,author,0,,
rundle_b:2004,rundle_b,author,0,,
rundle_b:2009,rundle_b,author,0,,
rundle_b:2013,rundle_b,author,0,,
rundle_b:2015,rundle_b,author,0,,
rundle_k:2016,rundle_k,author,0,,
runes:1942,runes,editor,0,,
runes:1943,runes,editor,0,,
rungesegelhorst_m:2022,rungesegelhorst_m,author,0,,
runggaldier-kanzian:1998,runggaldier,author,0,,
runggaldier-kanzian:1998,kanzian,author,1,,
runggaldier-kanzian:2003,runggaldier,author,0,,
runggaldier-kanzian:2003,kanzian,author,1,,
runggaldier:1989,runggaldier,author,0,,
runggaldier:1991,runggaldier,author,0,,
runggaldier:1991a,runggaldier,author,0,,
runggaldier:1994,runggaldier,author,0,,
runggaldier:1995,runggaldier,author,0,,
runggaldier:2001,runggaldier,author,0,,
runggaldier:2002,runggaldier,author,0,,
runggaldier:2004,runggaldier,author,0,,
runggaldier:2006,runggaldier,author,0,,
runggaldier:2008,runggaldier,author,0,,
runggaldier:2009,runggaldier,author,0,,
runggaldier:2012,runggaldier,author,0,,
runggaldier:2014,runggaldier,author,0,,
runggaldier:2014a,runggaldier,author,0,,
runggaldier:2014b,runggaldier,author,0,,
runggaldier:2015,runggaldier,author,0,,
runggaldier:2016,runggaldier,author,0,,
runia_dt-share:2008,runia_dt,author,0,,
runia_dt-share:2008,share_m,author,1,,
runia_dt:1986,runia_dt,author,0,,
runia_dt:1996,runia_dt,author,0,,
runia_dt:2003,runia_dt,author,0,,
runia_dt:2009,runia_dt,author,0,,
runia_dt:2009a,runia_dt,author,0,,
runia_dt:2010,runia_dt,author,0,,
runia_dt:2013,runia_dt,author,0,,
runia_dt:2017,runia_dt,author,0,,
runyan:2016,runyan,author,0,,
runyon:1992,runyon,author,0,,
runzoinada:1981,runzoinada,author,0,,
runzoinada:1986,runzoinada,author,0,,
runzoinada:1993,runzoinada,editor,0,,
runzoinada:1993a,runzoinada,author,0,,
runzoinada:1993b,runzoinada,author,0,,
runzoinada:1995,runzoinada,author,0,,
runzoinada:1996,runzoinada,author,0,,
runzoinada:1997,runzoinada,author,0,,
runzoinada:2013,runzoinada,author,0,,
ruoff:1991,ruoff,author,0,,
ruoff:1994,ruoff,author,0,,
ruoff:1995,ruoff,author,0,,
ruoff:1996,ruoff,author,0,,
ruoff:1998,ruoff,author,0,,
ruoff:1998a,ruoff,author,0,,
ruoff:2000,ruoff,author,0,,
ruoff:2000a,ruoff,author,0,,
ruoff:2000b,ruoff,author,0,,
ruokonen-werner:2006,ruokonen,editor,0,,
ruokonen-werner:2006,werner_la,editor,1,,
rupert:1999,rupert,author,0,,
rupert:2000,rupert,author,0,,
rupert:2001,rupert,author,0,,
rupert:2005,rupert,author,0,,
rupert:2006,rupert,author,0,,
rupert:2008,rupert,author,0,,
rupert:2008a,rupert,author,0,,
rupert:2009,rupert,author,0,,
