bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
sbardolini_g:2019,sbardolini_g,author,0,,
sbisa:1983,sbisa,author,0,,
sbisa:1992,sbisa,author,0,,
sbisa:1999,sbisa,author,0,,
sbisa:2006,carrara,guesteditor,0,,
sbisa:2006,sbisa,author,0,,
sbisa:2006,sacchi_e,guesteditor,1,,
sbisa:2009,sbisa,author,0,,
sbisa:2011,sbisa,author,0,,
sbisa:2014,sbisa,author,0,,
sbisa:2018,sbisa,author,0,,
sbisa:2020,sbisa,author,0,,
sbisa:2023,sbisa,author,0,,
sbordone_l:2016,sbordone_l,author,0,,
sbragia:2006,sbragia,author,0,,
