bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
seabright:1993,seabright,author,0,,
seabright:1993a,seabright,author,0,,
seabury_p:1983,seabury_p,author,0,,
seachris-zagzebski:2007,seachris,author,0,,
seachris-zagzebski:2007,zagzebski,author,1,,
seacord:2019,seacord,author,0,,
seaford-etal:2017,seaford,editor,0,,
seaford-etal:2017,wilkins_jos,editor,1,,
seaford-etal:2017,wright_ma,editor,2,,
seaford-etal:2017a,seaford,author,0,,
seaford-etal:2017a,wilkins_jos,author,1,,
seaford-etal:2017a,wright_ma,author,2,,
seaford:2017,seaford,author,0,,
seaford:2019,seaford,author,0,,
seager-bourget:2007,seager,author,0,,
seager-bourget:2007,bourget,author,1,,
seager:1981,seager,author,0,,
seager:1983,seager,author,0,,
seager:1988,seager,author,0,,
seager:1988a,seager,author,0,,
seager:1988b,seager,author,0,,
seager:1990,seager,author,0,,
seager:1991,seager,author,0,,
seager:1991a,seager,author,0,,
seager:1992,seager,author,0,,
seager:1992a,seager,author,0,,
seager:1993,seager,author,0,,
seager:1993a,seager,author,0,,
seager:1993b,seager,author,0,,
seager:1994,seager,author,0,,
seager:1995,seager,author,0,,
seager:1999,seager,author,0,,
seager:1999a,seager,author,0,,
seager:2000,seager,author,0,,
seager:2001a,seager,author,0,,
seager:2001b,seager,author,0,,
seager:2001c,seager,author,0,,
seager:2001d,seager,author,0,,
seager:2002,seager,author,0,,
seager:2003,seager,author,0,,
seager:2003a,seager,author,0,,
seager:2004,seager,author,0,,
seager:2006,seager,author,0,,
seager:2006a,seager,author,0,,
seager:2007,seager,author,0,,
seager:2009,seager,author,0,,
seager:2010,seager,author,0,,
seager:2017,seager,author,0,,
seager:2018,seager,author,0,,
seager:2018a,seager,author,0,,
seager:2020,seager,editor,0,,
seager:2020a,seager,author,0,,
seager:2022,seager,author,0,,
seagrave_sa:2009,seagrave_sa,author,0,,
seagrave_sa:2014,seagrave_sa,author,0,,
seagrave_sa:2016,seagrave_sa,author,0,,
seal:2008,seal,author,0,,
seamon_d:2013,seamon_d,author,0,,
seamon_d:2018,seamon_d,author,0,,
seamon_r:2001,seamon_r,author,0,,
seanor-fotion:1988,seanor,editor,0,,
seanor-fotion:1988,fotion_n,editor,1,,
seanor-fotion:1988a,seanor,author,0,,
seanor-fotion:1988a,fotion_n,author,1,,
searby:1999,searby,author,0,,
seargent:1985,seargent,author,0,,
searing:1986,searing,author,0,,
searle_bj-parker:2013,searle_bj,author,0,,
searle_bj-parker:2013,parker_sk,author,1,,
searle_jr-etal:1980,searle_jr,editor,0,,
searle_jr-etal:1980,kiefer_fe,editor,1,,
searle_jr-etal:1980,bierwisch,editor,2,,
searle_jr-ferraris:2018,searle_jr,author,0,,
searle_jr-ferraris:2018,ferraris,author,1,,
searle_jr-vanderveken:1985,searle_jr,author,0,,
searle_jr-vanderveken:1985,vanderveken_d,author,1,,
searle_jr-vanderveken:2005,searle_jr,author,0,,
searle_jr-vanderveken:2005,vanderveken_d,author,1,,
searle_jr:1959,searle_jr,author,0,,
searle_jr:1962,searle_jr,author,0,,
searle_jr:1964,searle_jr,author,0,,
searle_jr:1964a,searle_jr,author,0,,
searle_jr:1965,searle_jr,author,0,,
searle_jr:1965a,searle_jr,author,0,,
searle_jr:1966,searle_jr,author,0,,
searle_jr:1966a,searle_jr,author,0,,
searle_jr:1967,searle_jr,author,0,,
searle_jr:1967a,searle_jr,author,0,,
searle_jr:1968,searle_jr,author,0,,
