bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
skacel_j:1911,skacel_j,author,0,,
skagestad:1981,skagestad,author,0,,
skagestad:1983,skagestad,author,0,,
skagestad:1983a,skagestad,author,0,,
skagestad:1987,skagestad,author,0,,
skagestad:2004,skagestad,author,0,,
skala_hj:1978,skala_hj,author,0,,
skalko:2015,skalko,author,0,,
skaperdas:2006,skaperdas,author,0,,
skarda_ca:1992,skarda_ca,author,0,,
skarda_s:1986,skarda_s,author,0,,
skarsaune:2015,skarsaune,author,0,,
skarsaune:2016,skarsaune,author,0,,
skelac_i:2022,skelac_i,author,0,,
skelton:2007,skelton,author,0,,
skelton:2011,skelton,author,0,,
skelton:2016,skelton,author,0,,
skelton:2019,skelton,author,0,,
skemp:1960,skemp,author,0,,
skemp:1969,skemp,author,0,,
skemp:1978,skemp,author,0,,
skemp:1979,skemp,author,0,,
skemp:1985,skemp,author,0,,
skemp:1989,skemp,author,0,,
skene:2013,skene,author,0,,
skene:2015,skene,author,0,,
skerker:2016,skerker,author,0,,
skerker:2020,skerker,author,0,,
skiba-woodward:2021,skiba,author,0,,
skiba-woodward:2021,woodward_r,author,1,,
skiba:2017,skiba,author,0,,
skiba:2018,skiba,author,0,,
skiba:2019,skiba,author,0,,
skiba:2021,skiba,author,0,,
skiba:2022,skiba,author,0,,
skidelsky_e:2018,skidelsky_e,author,0,,
skidelsky_l:2007,skidelsky_l,author,0,,
skidelsky_l:2010,skidelsky_l,author,0,,
skidelsky_r:1990,skidelsky_r,author,0,,
skidelsky_r:2006,skidelsky_r,author,0,,
skidmore_a:1973,skidmore_a,author,0,,
skidmore_a:1982,skidmore_a,author,0,,
skidmore_a:1985,skidmore_a,author,0,,
skidmore_j:2002,skidmore_j,author,0,,
skiles-trogdon:2021,skiles,author,0,,
skiles-trogdon:2021,trogdon,author,1,,
skiles:2009,skiles,author,0,,
skiles:2012,skiles,author,0,,
skiles:2014,skiles,author,0,,
skiles:2014a,skiles,author,0,,
skiles:2015,skiles,author,0,,
skiles:2015a,skiles,author,0,,
skiles:2016,skiles,author,0,,
skiles:2016a,skiles,author,0,,
skiles:2019,skiles,author,0,,
skiles:2020,skiles,author,0,,
skillen_a:1982,skillen_a,author,0,,
skillen_a:1984,skillen_a,author,0,,
skillen_a:1992,skillen_a,author,0,,
skillen_jw:2003,skillen_jw,author,0,,
skillen_t:2000,skillen_t,author,0,,
skinner_as:1993,skinner_as,author,0,,
skinner_as:2003,skinner_as,author,0,,
skinner_as:2009,skinner_as,author,0,,
skinner_bf:1945,skinner_bf,author,0,,
skinner_bf:1956,skinner_bf,author,0,,
skinner_bf:1957,skinner_bf,author,0,,
skinner_bf:1960,skinner_bf,author,0,,
skinner_bf:2005,skinner_bf,author,0,,
skinner_bf:2005a,skinner_bf,author,0,,
skinner_ja:2006,skinner_ja,author,0,,
skinner_jm-luger:1992,skinner_jm,author,0,,
skinner_jm-luger:1992,luger,author,1,,
skinner_mb:2009,skinner_mb,author,0,,
skinner_q:1978,skinner_q,author,0,,
skinner_q:1984,skinner_q,author,0,,
skinner_q:1987,skinner_q,author,0,,
skinner_q:1988,skinner_q,author,0,,
skinner_q:2016,skinner_q,author,0,,
skinner_q:2018,skinner_q,author,0,,
skipper_m-steglichpetersen:2019,skipper_m,editor,0,,
skipper_m-steglichpetersen:2019,steglichpetersen,editor,1,,
skipper_m-steglichpetersen:2019a,skipper_m,author,0,,
skipper_m-steglichpetersen:2019a,steglichpetersen,author,1,,
skipper_m:2019,skipper_m,author,0,,
skipper_r:1993,skipper_r,author,0,,
skirbek_gk:1985,skirbekk_g,editor,0,,
skirbekk_g:1983,skirbekk_g,author,0,,
skirke_c:2012,skirke_c,author,0,,
skirke_c:2016,skirke_c,author,0,,
skirke_c:2020,skirke_c,author,0,,
skirry:2003,skirry,author,0,,
skirry:2004,skirry,author,0,,
skirry:2004a,skirry,author,0,,
skirry:2005,skirry,author,0,,
skitolsky:2022,skitolsky,author,0,,
sklar_a:1964,sklar_a,author,0,,
sklar_j:2016,sklar_j,author,0,,
sklar_l:1974,sklar_l,author,0,,
sklar_l:1974a,sklar_l,author,0,,
sklar_l:1974b,sklar_l,author,0,,
sklar_l:1976,sklar_l,author,0,,
sklar_l:1977,sklar_l,author,0,,
sklar_l:1979,sklar_l,author,0,,
sklar_l:1981,sklar_l,author,0,,
sklar_l:1981a,sklar_l,author,0,,
sklar_l:1982,sklar_l,author,0,,
sklar_l:1982a,sklar_l,author,0,,
sklar_l:1985,sklar_l,author,0,,
sklar_l:1985a,sklar_l,author,0,,
sklar_l:1985b,sklar_l,author,0,,
sklar_l:1987,sklar_l,author,0,,
sklar_l:1989,sklar_l,author,0,,
sklar_l:1990,sklar_l,author,0,,
sklar_l:1990a,sklar_l,author,0,,
sklar_l:1991,sklar_l,author,0,,
sklar_l:1991a,sklar_l,author,0,,
sklar_l:1991b,sklar_l,author,0,,
sklar_l:1992,sklar_l,author,0,,
sklar_l:1993,sklar_l,author,0,,
sklar_l:1995,sklar_l,author,0,,
sklar_l:1995a,sklar_l,author,0,,
sklar_l:1998,sklar_l,author,0,,
