bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
srebro:2003,srebro,author,0,,
sreedhar:2014,sreedhar,author,0,,
sreedhar:2017,sreedhar,author,0,,
sreekumar:2002,sreekumar,author,0,,
sreenivasan:2001,sreenivasan,author,0,,
sreenivasan:2001a,sreenivasan,author,0,,
sreenivasan:2008,sreenivasan,author,0,,
sreenivasan:2009,sreenivasan,author,0,,
sreenivasan:2012,sreenivasan,author,0,,
sreenivasan:2012a,sreenivasan,author,0,,
sreenivasan:2013,sreenivasan,author,0,,
sreenivasan:2017,sreenivasan,author,0,,
sreenivasan:2020,sreenivasan,author,0,,
sreenivasan:2022,sreenivasan,author,0,,
sridharan_ns:1989,sridharan_ns,editor,0,,
sridharan_ns:1990,sridharan_ns,author,0,,
sridharan_v:2016,sridharan_v,author,0,,
srihari_r-burhans:1999,srihari_r,author,0,,
srihari_r-burhans:1999,burhans_d,author,1,,
srihari_sn-bozinovic:1987,srihari_sn,author,0,,
srihari_sn-bozinovic:1987,bozinovic_r,author,1,,
srinagesh:1978,srinagesh,author,0,,
srinivas_k:1991,srinivas_k,author,0,,
srinivas_k:1997,srinivas_k,author,0,,
srinivas_k:2003,srinivas_k,author,0,,
srinivasan_a-etal:1996,srinivasan_a,author,0,,
srinivasan_a-etal:1996,muggleton,author,1,,
srinivasan_a-etal:1996,sternberg_mje,author,2,,
srinivasan_a-etal:1996,king_rd,author,3,,
srinivasan_am:2015,srinivasan_am,author,0,,
srinivasan_am:2015a,srinivasan_am,author,0,,
srinivasan_am:2018,srinivasan_am,author,0,,
srinivasan_am:2019,srinivasan_am,author,0,,
srinivasan_v:1991,srinivasan_v,author,0,,
srinivasan_v:1992,srinivasan_v,editor,0,,
srinivasiengar:1935,srinivasiengar,author,0,,
sripada_cs-railton:2019,sripada_cs,author,0,,
sripada_cs-railton:2019,railton,author,1,,
sripada_cs-stanley:2012,sripada_cs,author,0,,
sripada_cs-stanley:2012,stanley_j,author,1,,
sripada_cs:2008,sripada_cs,author,0,,
sripada_cs:2008a,sripada_cs,author,0,,
sripada_cs:2010,sripada_cs,author,0,,
sripada_cs:2010a,sripada_cs,author,0,,
sripada_cs:2014,sripada_cs,author,0,,
sripada_cs:2015,sripada_cs,author,0,,
sripada_cs:2016,sripada_cs,author,0,,
sripada_cs:2016a,sripada_cs,author,0,,
sripada_cs:2017,sripada_cs,author,0,,
sripada_cs:2018,sripada_cs,author,0,,
srivastav_r:1995,srivastav_r,author,0,,
srivastav_v:1991,srivastav_v,author,0,,
srivastava_b-etal:2001,srivastava_b,author,0,,
srivastava_b-etal:2001,kamphampati,author,1,,
srivastava_b-etal:2001,do_mb,author,2,,
srivastava_b-etal:2001a,srivastava_b,author,0,,
srivastava_b-etal:2001a,nguyen_xl,author,1,,
srivastava_b-etal:2001a,kambhampati,author,2,,
srivastava_b-etal:2001a,do_mb,author,3,,
srivastava_b-etal:2001a,nambiar_u,author,4,,
srivastava_b-etal:2001a,nie_z,author,5,,
srivastava_b-etal:2001a,nigenda_r,author,6,,
srivastava_b-etal:2001a,zimmerman_t,author,7,,
srivastava_c:1998,srivastava_c,author,0,,
srivastava_j-etal:1995,srivastava_j,author,0,,
srivastava_j-etal:1995,connolly_te,author,1,,
srivastava_j-etal:1995,beach_lr,author,2,,
srivastava_r:2002,srivastava_r,author,0,,
srnicek_n:2011,srnicek_n,author,0,,
sroka:1988,sroka,author,0,,
srzednicki-etal:1984,srzednicki,editor,0,,
srzednicki-etal:1984,rickey,editor,1,,
srzednicki-etal:1984,czelakowski,editor,2,,
srzednicki-stachniak:1998,srzednicki,editor,0,,
srzednicki-stachniak:1998,stachniak,editor,1,,
srzednicki-wood:1992,srzednicki,editor,0,,
srzednicki-wood:1992,wood_da,editor,1,,
srzednicki:1962,srzednicki,author,0,,
srzednicki:1976,srzednicki,author,0,,
srzednicki:1976a,srzednicki,author,0,,
srzednicki:1983,srzednicki,author,0,,
srzednicki:1987,srzednicki,editor,0,,
srzednicki:1987a,srzednicki,editor,0,,
srzednicki:1990,srzednicki,author,0,,
srzednicki:1991,srzednicki,author,0,,
srzednicki:1994,srzednicki,author,0,,
srzednicki:1996,srzednicki,author,0,,
srzednicki:1997,srzednicki,author,0,,
