bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
staab-maedche:2001,staab,author,0,,
staab-maedche:2001,maedche_a,author,1,,
staab:2001,staab,author,0,,
staal:1961,staal,author,0,,
staal:1965,staal,author,0,,
staal:1973,staal,author,0,,
stabel:2010,stabel,author,0,,
stabel:2012,stabel,author,0,,
stabile_g:1999,stabile_g,author,0,,
stace:1933,stace,author,0,,
stace:1934,stace,author,0,,
stace:1934a,stace,author,0,,
stace:1939,stace,author,0,,
stace:1944,stace,author,0,,
stace:1944a,stace,author,0,,
stace:1947,stace,author,0,,
stace:1959,stace,author,0,,
stacey_g-martin:2016,stacey_g,author,0,,
stacey_g-martin:2016,martin_lu,author,1,,
stacey_g:2023,stacey_g,author,0,,
stacey_r:2016,stacey_r,author,0,,
stache_c:2022,stache_c,author,0,,
stachel:1969,stachel,author,0,,
stachel:1973,stachel,author,0,,
stachel:1973a,stachel,author,0,,
stachel:1974,stachel,author,0,,
stachel:1974a,stachel,author,0,,
stachel:1974b,stachel,author,0,,
stachel:1976,stachel,author,0,,
stachel:1983,stachel,author,0,,
stachel:1983a,stachel,author,0,,
stachel:1986,stachel,author,0,,
stachel:1990,stachel,author,0,,
stachel:1993,stachel,author,0,,
stachel:1994,stachel,author,0,,
stachel:1997,stachel,author,0,,
stachel:1999,stachel,author,0,,
stachel:1999a,stachel,author,0,,
stachel:2005,stachel,author,0,,
stachel:2006,stachel,author,0,,
stachel:2007,stachel,author,0,,
stachel:2007a,stachel,author,0,,
stachel:2009,stachel,author,0,,
stachel:2009a,stachel,author,0,,
stachel:2009b,stachel,author,0,,
stachel:2009c,stachel,author,0,,
stachel:2015,stachel,author,0,,
stachniak:1988,stachniak,author,0,,
stachniak:1989,stachniak,author,0,,
stachniak:1995,stachniak,author,0,,
stachniak:1996,stachniak,author,0,,
stachniak:1998,stachniak,author,0,,
stachow:1976,stachow,author,0,,
stachow:1977,stachow,author,0,,
stachow:1978,stachow,author,0,,
stachow:1979,stachow,author,0,,
stachow:1979a,stachow,author,0,,
stachow:1980,stachow,author,0,,
stachow:1981,stachow,author,0,,
stachow:1981a,stachow,author,0,,
stachow:1984,stachow,author,0,,
stachowiak:1986,stachowiak,editor,0,,
stachowiak:1987,stachowiak,editor,0,,
stachowiak:1989,stachowiak,editor,0,,
stachowiak:1993,stachowiak,editor,0,,
stachowiak:1993a,stachowiak,author,0,,
stachowiak:1993b,burri_a,guesteditor,0,,
stachowiak:1993b,stachowiak,author,0,,
stachowiak:1993b,freudiger_j,guesteditor,1,,
stachowiak:1995,stachowiak,editor,0,,
stachowski:1992,stachowski,author,0,,
stack_d:2016,stack_d,author,0,,
stack_gj:1971,stack_gj,author,0,,
stack_gj:1973,stack_gj,author,0,,
stack_gj:1974,stack_gj,author,0,,
stack_gj:1983,stack_gj,author,0,,
stackhouse:2001,stackhouse,author,0,,
stadler_a:1874,stadler_a,author,0,,
stadler_f-wendel:2009,stadler_f,editor,0,,
stadler_f-wendel:2009,wendel_hj,editor,1,,
stadler_f:1985,stadler_f,author,0,,
stadler_f:1991,stadler_f,author,0,,
stadler_f:1991a,stadler_f,author,0,,
stadler_f:1991b,stadler_f,author,0,,
stadler_f:1993,stadler_f,editor,0,,
stadler_f:1995,stadler_f,author,0,,
stadler_f:1996,stadler_f,author,0,,
stadler_f:1997,stadler_f,author,0,,
stadler_f:2003,stadler_f,editor,0,,
stadler_f:2003a,stadler_f,author,0,,
stadler_f:2004,stadler_f,editor,0,,
stadler_f:2004a,stadler_f,author,0,,
stadler_f:2007,stadler_f,author,0,,
stadler_f:2007a,stadler_f,author,0,,
stadler_f:2010,stadler_f,editor,0,,
stadler_f:2010a,stadler_f,author,0,,
stadler_f:2011,stadler_f,author,0,,
stadler_f:2011a,stadler_f,author,0,,
stadler_f:2014,stadler_f,author,0,,
stadler_f:2014a,stadler_f,author,0,,
stadler_f:2017,stadler_f,editor,0,,
stadler_f:2018,stadler_f,author,0,,
stadler_i:1967,stadler_i,author,0,,
stadler_i:1982,stadler_i,author,0,,
stadler_j:2017,stadler_j,author,0,,
stadler_m-etal:1999,stadler_m,author,0,,
stadler_m-etal:1999,pfaff_s,author,1,,
stadler_m-etal:1999,kruse_p,author,2,,
stadler_m-kruse:2004,stadler_m,author,0,,
stadler_m-kruse:2004,kruse_p,author,1,,
stadler_s:2025,stadler_s,author,0,,
staeckel_p-engel:1898,staeckel_p,editor,0,,
staeckel_p-engel:1898,engel_f,editor,1,,
staedtler:2018,staedtler,author,0,,
staege:2002,staege,author,0,,
staehler:2003,staehler,author,0,,
staehler:2007,staehler,author,0,,
staehler:2014,staehler,author,0,,
staemmler_t:2018,staemmler_t,author,0,,
stafecka:1993,stafecka,author,0,,
stafecka:1997,stafecka,author,0,,
stafecka:1998,stafecka,author,0,,
stafecka:2002,stafecka,author,0,,
stafecka:2004,stafecka,author,0,,
stafecka:2009,stafecka,author,0,,
stafecka:2011,stafecka,author,0,,
stafecka:2011a,stafecka,author,0,,
stafecka:2013,stafecka,author,0,,
stafecka:2014,stafecka,author,0,,
staffel:2011,staffel,author,0,,
staffel:2013,staffel,author,0,,
staffel:2015,staffel,author,0,,
staffel:2015a,staffel,author,0,,
