bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
teahan-etal:2000,teahan,author,0,,
teahan-etal:2000,wen_y,author,1,,
teahan-etal:2000,mcnab_r,author,2,,
teahan-etal:2000,witten_ih,author,3,,
teasdale_jd:1999,teasdale_jd,author,0,,
teays_w:2019,teays_w,editor,0,,
teays_w:2022,teays_w,author,0,,
tebbe_n:2017,tebbe_n,author,0,,
tebben-waterman:2016,tebben,author,0,,
tebben-waterman:2016,waterman_jp,author,1,,
tebben:2014,tebben,author,0,,
tebben:2015,tebben,author,0,,
tebbit:2005,tebbit,author,0,,
tecuci-etal:2001,tecuci,author,0,,
tecuci-etal:2001,boicu_m,author,1,,
tecuci-etal:2001,bowman_m,author,2,,
tecuci-etal:2001,marcu_d,author,3,,
tecuci-etal:2007,tecuci,author,0,,
tecuci-etal:2007,boicu_m,author,1,,
tecuci-etal:2007,cox_mt,author,2,,
tecuci-etal:2016,tecuci,editor,0,,
tecuci-etal:2016,marcu_d,editor,1,,
tecuci-etal:2016,boicu_m,editor,2,,
tecuci-etal:2016,schum_da,editor,3,,
tedder-badia:2018,tedder,author,0,,
tedder-badia:2018,badia_g,author,1,,
tedder:2020,tedder,author,0,,
tedeschi_p-zaenen:1981,tedeschi_p,editor,0,,
tedeschi_p-zaenen:1981,zaenan,editor,1,,
tedeschini:2021,tedeschini,author,0,,
teege:1994,teege,author,0,,
teehan:2010,teehan,author,0,,
teehan:2013,teehan,author,0,,
teetzel_s:2014,teetzel_s,author,0,,
tega_w-etal:2002,tega_w,editor,0,,
tega_w-etal:2002,ferrandi_g,editor,1,,
tega_w-etal:2002,malaguti_m,editor,2,,
tega_w-etal:2002,volpe,editor,3,,
tega_w-etal:2002a,tega_w,editor,0,,
tega_w-etal:2002a,ferrandi_g,editor,1,,
tega_w-etal:2002a,malaguti_m,editor,2,,
tega_w-etal:2002a,volpe,editor,3,,
tega_w:1996,tega_w,author,0,,
tega_w:1999,tega_w,editor,0,,
tegen:1936,tegen,author,0,,
teggart:1926,teggart,author,0,,
tegmark:2004,tegmark,author,0,,
tegmark:2010,tegmark,author,0,,
tegtmeier-cumpa:2010,tegtmeier,author,0,,
tegtmeier-cumpa:2010,cumpa,author,1,,
tegtmeier:1981,tegtmeier,author,0,,
tegtmeier:1990,tegtmeier,author,0,,
tegtmeier:1990a,tegtmeier,author,0,,
tegtmeier:1991,tegtmeier,author,0,,
tegtmeier:1991a,tegtmeier,author,0,,
tegtmeier:1991b,tegtmeier,author,0,,
tegtmeier:1991c,tegtmeier,author,0,,
tegtmeier:1992,tegtmeier,author,0,,
tegtmeier:1993,tegtmeier,author,0,,
tegtmeier:1995,tegtmeier,author,0,,
tegtmeier:1995a,tegtmeier,author,0,,
tegtmeier:1996,tegtmeier,author,0,,
tegtmeier:1997a,tegtmeier,author,0,,
tegtmeier:1999,tegtmeier,author,0,,
tegtmeier:2000,tegtmeier,author,0,,
tegtmeier:2000a,tegtmeier,author,0,,
tegtmeier:2000b,tegtmeier,author,0,,
tegtmeier:2000c,tegtmeier,author,0,,
tegtmeier:2000d,tegtmeier,author,0,,
tegtmeier:2003,tegtmeier,author,0,,
tegtmeier:2003a,tegtmeier,author,0,,
tegtmeier:2003b,tegtmeier,author,0,,
tegtmeier:2004,tegtmeier,author,0,,
tegtmeier:2005,tegtmeier,author,0,,
tegtmeier:2005a,tegtmeier,author,0,,
tegtmeier:2007,tegtmeier,author,0,,
tegtmeier:2007b,tegtmeier,author,0,,
tegtmeier:2008,tegtmeier,author,0,,
tegtmeier:2008a,tegtmeier,author,0,,
tegtmeier:2008c,tegtmeier,author,0,,
tegtmeier:2009,tegtmeier,author,0,,
tegtmeier:2009a,tegtmeier,author,0,,
tegtmeier:2009b,tegtmeier,author,0,,
tegtmeier:2009c,tegtmeier,author,0,,
tegtmeier:2010,tegtmeier,author,0,,
tegtmeier:2011,tegtmeier,author,0,,
tegtmeier:2012,tegtmeier,editor,0,,
tegtmeier:2012a,tegtmeier,author,0,,
tegtmeier:2013,tegtmeier,author,0,,
tegtmeier:2013a,tegtmeier,author,0,,
tegtmeier:2013b,tegtmeier,author,0,,
tegtmeier:2014,tegtmeier,author,0,,
tegtmeier:2014a,tegtmeier,author,0,,
tegtmeier:2014b,tegtmeier,author,0,,
tegtmeier:2014c,tegtmeier,author,0,,
tegtmeier:2015,tegtmeier,author,0,,
tegtmeier:2017,tegtmeier,author,0,,
tegtmeier:2017a,tegtmeier,author,0,,
tegtmeier:2017b,tegtmeier,author,0,,
tegtmeier:2017c,tegtmeier,author,0,,
tegtmeier:2018,tegtmeier,author,0,,
tegtmeier:2020,tegtmeier,author,0,,
tegtmeyer_h:2006,tegtmeyer_h,author,0,,
tegtmeyer_h:2017,tegtmeyer_h,author,0,,
teh_nj:2021,teh_nj,author,0,,
teheesen:2000,teheesen,author,0,,
teich_e-etal:1996,teich_e,author,0,,
teich_e-etal:1996,degand,author,1,,
teich_e-etal:1996,bateman_ja,author,2,,
teich_e:1999,teich_e,author,0,,
teich_m-young:1973,teich_m,editor,0,,
teich_m-young:1973,young_rom,editor,1,,
teich_wg-mahler:1990,teich_wg,author,0,,
teich_wg-mahler:1990,mahler_g,author,1,,
teichert:1992,teichert,author,0,,
teichert:1997,teichert,author,0,,
teichert:1999,teichert,author,0,,
teichert:2016,teichert,author,0,,
teichman_j-white:1995,teichman_j,editor,0,,
teichman_j-white:1995,white_g,editor,1,,
teichman_j:1967,teichman_j,author,0,,
teichman_j:1969,teichman_j,author,0,,
teichman_j:1970,teichman_j,author,0,,
teichman_j:1978,teichman_j,author,0,,
teichman_j:1979,teichman_j,author,0,,
teichman_j:1983,teichman_j,author,0,,
teichman_j:1983a,teichman_j,author,0,,
teichman_j:2001,teichman_j,author,0,,
teichmann_r:1989,teichmann_r,author,0,,
teichmann_r:1990,teichmann_r,author,0,,
teichmann_r:1992,teichmann_r,author,0,,
teichmann_r:1995,teichmann_r,author,0,,
teichmann_r:1995a,teichmann_r,author,0,,
teichmann_r:1996,teichmann_r,author,0,,
teichmann_r:1998,teichmann_r,author,0,,
teichmann_r:2000,teichmann_r,editor,0,,
teichmann_r:2000a,teichmann_r,author,0,,
teichmann_r:2004,teichmann_r,author,0,,
teichmann_r:2008,teichmann_r,author,0,,
teichmann_r:2010,teichmann_r,author,0,,
teichmann_r:2011,teichmann_r,author,0,,
teichmann_r:2014,teichmann_r,author,0,,
teichmann_r:2015a,teichmann_r,author,0,,
teichmann_r:2016,teichmann_r,editor,0,,
teichmann_r:2016a,teichmann_r,editor,0,,
teichmann_r:2016b,teichmann_r,editor,0,,
teichmann_r:2016c,teichmann_r,editor,0,,
teichmann_r:2016d,teichmann_r,author,0,,
teichmann_r:2017,teichmann_r,author,0,,
teichmann_r:2021,teichmann_r,author,0,,
teichmann_r:2022,teichmann_r,editor,0,,
teichmann_r:2022a,teichmann_r,author,0,,
teigen:2019,teigen,author,0,,
teilharddechardin:1955,teilharddechardin,author,0,,
teilharddechardin:1956,teilharddechardin,author,0,,
