bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
tian-pearl:2002,tian,author,0,,
tian-pearl:2002,pearl_j,author,1,,
tian-pearl:2002a,tian,author,0,,
tian-pearl:2002a,pearl_j,author,1,,
tian-shpitser:2010,tian,author,0,,
tian-shpitser:2010,shpitser,author,1,,
tibbetts_gr:2000,tibbetts_gr,author,0,,
tibbetts_gr:2000a,tibbetts_gr,author,0,,
tibbetts_gr:2002,tibbetts_gr,author,0,,
tibbetts_gr:2004,tibbetts_gr,author,0,,
tibbetts_gr:2005,tibbetts_gr,author,0,,
tibbetts_p:1971,tibbetts_p,author,0,,
tibbetts_p:1971a,tibbetts_p,author,0,,
tibbetts_p:1972,tibbetts_p,author,0,,
tibbetts_p:1973,tibbetts_p,author,0,,
tibbetts_p:1973a,tibbetts_p,author,0,,
tibbetts_p:1974,tibbetts_p,author,0,,
tibbetts_p:1975,tibbetts_p,author,0,,
tibbetts_p:1976,tibbetts_p,author,0,,
tibbetts_p:1980,tibbetts_p,author,0,,
tibbetts_p:1996,tibbetts_p,author,0,,
tibbetts_sg-rivera:2017,tibbetts_sg,author,0,,
tibbetts_sg-rivera:2017,rivera_jl,author,1,,
tibbetts_sg:2017,tibbetts_sg,author,0,,
tiberghien:2005,tiberghien,author,0,,
tiberius-deyoung:2022,tiberius,author,0,,
tiberius-deyoung:2022,deyoung_c,author,1,,
tiberius-swartwood:2011,tiberius,author,0,,
tiberius-swartwood:2011,swartwood_j,author,1,,
tiberius-washington:2021,tiberius,author,0,,
tiberius-washington:2021,washington_n,author,1,,
tiberius:2002,tiberius,author,0,,
tiberius:2002a,tiberius,author,0,,
tiberius:2006,tiberius,author,0,,
tiberius:2007,tiberius,author,0,,
tiberius:2008,tiberius,author,0,,
tiberius:2008a,tiberius,author,0,,
tiberius:2009,tiberius,author,0,,
tiberius:2012,tiberius,author,0,,
tiberius:2013,tiberius,author,0,,
tiberius:2013a,tiberius,author,0,,
tiberius:2013b,tiberius,author,0,,
tiberius:2013c,tiberius,author,0,,
tiberius:2014,tiberius,author,0,,
tiberius:2015,tiberius,author,0,,
tiberius:2016,tiberius,author,0,,
tiberius:2018,tiberius,author,0,,
ticha_j:1995,ticha_j,author,0,,
tichy_j:2002,tichy_j,author,0,,
tichy_m:1985,tichy_m,author,0,,
tichy_p-tichy:1999,tichy_p,author,0,,
tichy_p-tichy:1999,tichy_j,author,1,,
tichy_p:1973,tichy_p,author,0,,
tichy_p:1975,tichy_p,author,0,,
tichy_p:1978,tichy_p,author,0,,
tichy_p:1979,tichy_p,author,0,,
tichy_p:1980,tichy_p,author,0,,
tichy_p:1985,tichy_p,author,0,,
tichy_p:1986,tichy_p,author,0,,
tichy_p:1994,tichy_p,author,0,,
tichy_p:1995,tichy_p,author,0,,
tichy_p:1997,tichy_p,author,0,,
tichy_p:1998,tichy_p,author,0,,
tichy_p:2004,tichy_p,author,0,,
tick-dambrosio:1995,tick,author,0,,
tick-dambrosio:1995,dambrosio_b,author,1,,
tickle:2004,tickle,author,0,,
tidman:1994,tidman,author,0,,
tidman:1994a,tidman,author,0,,
tidman:1996,tidman,author,0,,
tiede:1999,tiede,author,0,,
tiedemann_j:1999,tiedemann_j,author,0,,
tiedemann_m-bussmann:2022,tiedemann_m,editor,0,,
tiedemann_m-bussmann:2022,bussmann_b,editor,1,,
tiedemann_p:2016,tiedemann_p,author,0,,
tiedemann_p:2017,tiedemann_p,author,0,,
tiedemann_p:2020,tiedemann_p,author,0,,
tiedemann_r:2004,tiedemann_r,author,0,,
tiedke:2011,tiedke,author,0,,
tiefenbacher_a:2016,tiefenbacher_a,author,0,,
tiefensee:2015,tiefensee,author,0,,
tiefensee:2016,tiefensee,author,0,,
tiefensee:2018,tiefensee,author,0,,
tiefensee:2019,tiefensee,author,0,,
tiehen:2011,tiehen,author,0,,
tiehen:2012,tiehen,author,0,,
tiehen:2012a,tiehen,author,0,,
tiehen:2013,tiehen,author,0,,
tiehen:2014,tiehen,author,0,,
tiehen:2014a,tiehen,author,0,,
tiehen:2014b,tiehen,author,0,,
tiehen:2015,tiehen,author,0,,
tiehen:2015a,tiehen,author,0,,
tiehen:2016,tiehen,author,0,,
tiehen:2018,tiehen,author,0,,
tieleman:1996,tieleman,author,0,,
tieleman:1996a,tieleman,author,0,,
tieleman:2003,tieleman,author,0,,
tieleman:2007,tieleman,author,0,,
tieleman:2007a,tieleman,author,0,,
tieleman:2008,tieleman,author,0,,
tieleman:2009,tieleman,author,0,,
tieleman:2014,tieleman,author,0,,
tielsch_ew:1973,tielsch_ew,author,0,,
tielsch_ew:1980,tielsch_ew,author,0,,
tielsch_ew:1987,tielsch_ew,author,0,,
tiemann-etal:2011,tiemann,author,0,,
tiemann-etal:2011,schmid_m,author,1,,
tiemann-etal:2011,bade_n,author,2,,
