bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
trabant:1981,trabant,editor,0,,
trabant:1981a,trabant,author,0,,
trabant:1983,trabant,author,0,,
trabant:2003,trabant,author,0,,
trabattoni_f:2002,trabattoni_f,author,0,,
trabattoni_f:2013,trabattoni_f,author,0,,
trabattoni_f:2015,trabattoni_f,author,0,,
trabattoni_f:2016,trabattoni_f,author,0,,
tracey_mj:2008,tracey_mj,author,0,,
trachsel_m-etal:2021,trachsel_m,editor,0,,
trachsel_m-etal:2021,gaab,editor,1,,
trachsel_m-etal:2021,billerandorno,editor,2,,
trachsel_m-etal:2021,tekin,editor,3,,
trachsel_m-etal:2021,sadler_jz,editor,4,,
trachsel_ma:2007,trachsel_ma,author,0,,
trachtenberg:2006,trachtenberg,author,0,,
tracy_d:1988,tracy_d,author,0,,
tracy_d:1999,tracy_d,author,0,,
tracy_d:1999a,tracy_d,author,0,,
tracy_d:2012,tracy_d,author,0,,
tracy_j:1993,tracy_j,author,0,,
tracy_jl-randles:2011,tracy_jl,author,0,,
tracy_jl-randles:2011,randles_d,author,1,,
tracy_t:1983,tracy_t,author,0,,
tracy_ts:1995,tracy_ts,author,0,,
tracy_ts:2006,tracy_ts,author,0,,
tracy_ts:2009,tracy_ts,author,0,,
tracy_ts:2010,tracy_ts,author,0,,
tracy_ts:2010a,tracy_ts,author,0,,
tracy_ts:2015,tracy_ts,author,0,,
tracz:2017,tracz,author,0,,
tracz:2019,tracz,author,0,,
traenkle:2021,traenkle,author,0,,
trafford:2010,trafford,author,0,,
trafford:2014,trafford,author,0,,
trafford:2015,trafford,author,0,,
tragesser_r:1973,tragesser_r,author,0,,
tragesser_r:1984,tragesser_r,author,0,,
tragesser_r:1991,tragesser_r,author,0,,
tragesser_r:1992,tragesser_r,author,0,,
tragesser_s:1989,tragesser_s,author,0,,
traiger:1978,traiger,author,0,,
traiger:1985,traiger,author,0,,
traiger:1987,traiger,author,0,,
traiger:1988,traiger,author,0,,
traiger:1994,traiger,author,0,,
traiger:2000,traiger,author,0,,
traiger:2006,traiger,editor,0,,
traiger:2008,traiger,author,0,,
traiger:2010,traiger,author,0,,
traimond:2004,traimond,author,0,,
traine_m:1982,traine_m,author,0,,
trainer_c:2010,trainer_c,author,0,,
trainor:2011,trainor,author,0,,
trajkovski-williamson:2021,trajkovski,author,0,,
trajkovski-williamson:2021,williamson_t,author,1,,
trakakis-cohen:2008,trakakis,editor,0,,
trakakis-cohen:2008,cohen_da,editor,1,,
trakakis:2005,trakakis,author,0,,
trakakis:2007,trakakis,author,0,,
trakakis:2007a,trakakis,author,0,,
trakakis:2007b,trakakis,author,0,,
trakakis:2008,trakakis,author,0,,
trakakis:2012,trakakis,author,0,,
trakakis:2014,trakakis,author,0,,
trakakis:2015,trakakis,author,0,,
trakakis:2015a,trakakis,author,0,,
trakakis:2016,trakakis,author,0,,
trakakis:2018,trakakis,author,0,,
trakakis:2023,trakakis,author,0,,
trakas_m:2012,trakas_m,author,0,,
trakhtenbrot:1987,trakhtenbrot,author,0,,
trakhtenbrot:1988,trakhtenbrot,author,0,,
tramacere-moore:2021,tramacere,author,0,,
tramacere-moore:2021,moore_r,author,1,,
trammell:1976,trammell,author,0,,
trampota-etal:2013,trampota,editor,0,,
trampota-etal:2013,sensen,editor,1,,
trampota-etal:2013,timmermann_j,editor,2,,
trampota:2013,trampota,author,0,,
tranchini_l-cobreros:2017,tranchini_l,author,0,,
tranchini_l-cobreros:2017,cobreros,author,1,,
tranchini_l:2009,tranchini_l,author,0,,
tranchini_l:2010,tranchini_l,author,0,,
tranchini_l:2013,tranchini_l,author,0,,
tranel_d:2000,tranel_d,author,0,,
trang_nv:1976,trang_nv,author,0,,
tranor:2013,tranor,author,0,,
tranow-etal:2016,tranow,author,0,,
tranow-etal:2016,beckers_t,author,1,,
tranow-etal:2016,becker_d,author,2,,
tranoy_a:1997,tranoy_a,author,0,,
tranoy_ke:1963,tranoy_ke,author,0,,
tranoy_ke:1975,tranoy_ke,author,0,,
tranoy_ke:1980,tranoy_ke,author,0,,
tranoy_ke:1987,tranoy_ke,author,0,,
tranoy_ke:1987,lehrer_k,guesteditor,0,,
tranphucduoc:1968,tranphucduoc,author,0,,
trapp_r-etal:1987,trapp_r,author,0,,
trapp_r-etal:1987,yingling_jm,author,1,,
trapp_r-etal:1987,wanner_j,author,2,,
trapp_rw:1985,trapp_rw,author,0,,
trapp_rw:1988,trapp_rw,author,0,,
trapp_rw:1989,trapp_rw,author,0,,
trapp_rw:1997,trapp_rw,author,0,,
trapp_rw:1997a,trapp_rw,author,0,,
trapp_rw:1998,trapp_rw,author,0,,
trappe:1995,trappe,author,0,,
trappe:2004,trappe,author,0,,
trappe:2020,trappe,author,0,,
trask:1996,trask,author,0,,
trau:1988,trau,author,0,,
traugott-etal:1986,traugott,editor,0,,
traugott-etal:1986,termeulen_a,editor,1,,
traugott-etal:1986,reilly_j,editor,2,,
traugott-etal:1986,ferguson_ca,editor,3,,
traum-allen:1993,traum,author,0,,
traum-allen:1993,allen_jf,author,1,,
traum-andersen:1999,traum,author,0,,
traum-andersen:1999,anderson_cag,author,1,,
traum-etal:1996,traum,author,0,,
traum-etal:1996,allen_jf,author,1,,
traum-etal:1996,heeman,author,2,,
traum-etal:1996,hwang_ch,author,3,,
traum-etal:1996,martin_ng,author,4,,
traum-etal:1996,poesio,author,5,,
traum-etal:1996,schubert_lk,author,6,,
traum-etal:2003,traum,author,0,,
traum-etal:2003,fleishman_m,author,1,,
traum-etal:2003,hovy,author,2,,
traum-nakatani:1999,traum,author,0,,
traum-nakatani:1999,nakatani,author,1,,
traum:1994,traum,author,0,,
traum:1995,traum,author,0,,
traum:1997,traum,editor,0,,
traum:1999,traum,author,0,,
traum:1999a,traum,author,0,,
traunmueller_h:2000,traunmueller_h,author,0,,
trautman_a:1966,trautman_a,author,0,,
trautman_a:1973,trautman_a,author,0,,
trautwein:2003,trautwein,author,0,,
travanini_c:2020,travanini_c,author,0,,
travelletti_d:2003,travelletti_d,author,0,,
travelletti_d:2011,travelletti_d,author,0,,
travemassuyes-etal:2003,travemassuyes,author,0,,
travemassuyes-etal:2003,ironi_l,author,1,,
travemassuyes-etal:2003,dague,author,2,,
traver:2002,traver,author,0,,
traver:2002a,traver,author,0,,
traverso_e:2004,traverso_e,author,0,,
traverso_p-spalazzi:1995,traverso_p,author,0,,
traverso_p-spalazzi:1995,spalazzi_l,author,1,,
travis_c:1972,travis_c,author,0,,
travis_c:1973,travis_c,author,0,,
travis_c:1975,travis_c,author,0,,
travis_c:1977,travis_c,author,0,,
travis_c:1983,travis_c,author,0,,
travis_c:1984,jacob_p,guesteditor,0,,
travis_c:1984,travis_c,author,0,,
travis_c:1984a,travis_c,author,0,,
travis_c:1985,travis_c,author,0,,
travis_c:1985a,travis_c,author,0,,
travis_c:1986,travis_c,editor,0,,
travis_c:1990,travis_c,author,0,,
travis_c:1991,travis_c,author,0,,
travis_c:1992,travis_c,author,0,,
travis_c:1994,travis_c,author,0,,
travis_c:1994a,travis_c,author,0,,
travis_c:1995,travis_c,author,0,,
travis_c:1995a,travis_c,author,0,,
travis_c:1996,travis_c,author,0,,
travis_c:1997,travis_c,author,0,,
travis_c:1998,brandl,guesteditor,0,,
travis_c:1998,travis_c,author,0,,
travis_c:1998,sullivan_pm,guesteditor,1,,
travis_c:2000,travis_c,author,0,,
travis_c:2000a,travis_c,author,0,,
travis_c:2002a,travis_c,author,0,,
travis_c:2004,travis_c,author,0,,
travis_c:2004a,travis_c,author,0,,
travis_c:2005,travis_c,author,0,,
travis_c:2005a,travis_c,author,0,,
travis_c:2006,travis_c,author,0,,
travis_c:2006a,travis_c,author,0,,
travis_c:2006b,travis_c,author,0,,
travis_c:2007,travis_c,author,0,,
travis_c:2008,travis_c,author,0,,
travis_c:2008a,travis_c,author,0,,
travis_c:2009,travis_c,author,0,,
travis_c:2009a,travis_c,author,0,,
travis_c:2011,travis_c,author,0,,
travis_c:2011a,travis_c,author,0,,
travis_c:2011c,travis_c,author,0,,
travis_c:2011d,travis_c,author,0,,
travis_c:2011e,travis_c,author,0,,
travis_c:2012,travis_c,author,0,,
travis_c:2013a,travis_c,author,0,,
travis_c:2013e,travis_c,author,0,,
travis_c:2014,travis_c,author,0,,
travis_c:2014a,travis_c,author,0,,
travis_c:2015,travis_c,author,0,,
travis_c:2017,travis_c,author,0,,
travis_c:2017,carston,guesteditor,0,,
travis_c:2017,pritchard_t,guesteditor,1,,
travis_c:2017,textor,guesteditor,2,,
travis_c:2017a,travis_c,author,0,,
travis_c:2018,travis_c,author,0,,
travis_c:2018a,travis_c,author,0,,
travis_c:2018b,travis_c,author,0,,
travis_c:2018c,travis_c,author,0,,
travis_c:2018d,travis_c,author,0,,
travis_c:2018e,travis_c,author,0,,
travis_c:2018g,travis_c,author,0,,
travis_c:2018h,travis_c,author,0,,
travis_c:2018i,travis_c,author,0,,
travis_c:2018j,travis_c,author,0,,
travis_c:2018k,travis_c,author,0,,
travis_c:2019,travis_c,author,0,,
travis_c:2022,travis_c,author,0,,
travis_l:2005,travis_l,author,0,,
travis_t:2013,travis_t,author,0,,
trawny:1998,trawny,author,0,,
trawny:2008,trawny,author,0,,
trawny:2015,trawny,author,0,,
trawny:2015a,trawny,author,0,,
trawny:2016,trawny,author,0,,
trawny:2018,trawny,author,0,,
trawny:2018a,trawny,author,0,,
traxler:2016,traxler,author,0,,
traylor:2014,traylor,author,0,,
traynor:2013,traynor,author,0,,
traynor:2014,traynor,author,0,,
treanor_b:2006,treanor_b,author,0,,
treanor_b:2015,treanor_b,author,0,,
treanor_n:2006,treanor_n,author,0,,
treash_g:1981,treash_g,author,0,,
treash_g:1995,treash_g,author,0,,
trebels:1967,trebels,author,0,,
trebilcock-elliott:2001,trebilcock,author,0,,
trebilcock-elliott:2001,elliott_st,author,1,,
treblicot:1979,treblicot,author,0,,
treblicot:1982,treblicot,author,0,,
tredanaro:2018,tredanaro,author,0,,
treder_hj:1966,treder_hj,author,0,,
treder_hj:1970,treder_hj,author,0,,
treder_hj:1981,treder_hj,author,0,,
treder_hj:1982,treder_hj,author,0,,
tredwell:1962,tredwell,author,0,,
treffel:2004,treffel,author,0,,
trefil:2015,trefil,author,0,,
trego:2012,trego,author,0,,
trego:2013,trego,author,0,,
trego:2018,trego,author,0,,
trego:2021,trego,editor,0,,
treherne:1975,treherne,author,0,,
treiber_h:2024,treiber_h,author,0,,
treier_dj:2007,treier_dj,author,0,,
treiger:2016,treiger,author,0,,
treisman_a:1996,treisman_a,author,0,,
treisman_a:1999,treisman_a,author,0,,
treisman_a:2009,treisman_a,author,0,,
treisman_m:1999,treisman_m,author,0,,
trejomathys:2015,trejomathys,author,0,,
treloar_jl:2002,treloar_jl,author,0,,
tremain_s:2017,tremain_s,author,0,,
tremain_s:2018,tremain_s,author,0,,
tremain_s:2021,tremain_s,author,0,,
trembath:2020,trembath,author,0,,
tremblay_f:2023,tremblay_f,author,0,,
tremlett:2016,tremlett,author,0,,
tremlin_t:2015,tremlin_t,author,0,,
tremmel:2012,tremmel,author,0,,
tremmel:2016,tremmel,author,0,,
tremoliere-etal:2018,tremoliere,author,0,,
tremoliere-etal:2018,deneys_w,author,1,,
tremoliere-etal:2018,bonnefon,author,2,,
tremoulet:2011,tremoulet,author,0,,
trenn:1983,trenn,author,0,,
trentani:2018,trentani,author,0,,
trentin-etal:1998,trentin,author,0,,
trentin-etal:1998,bengio_y,author,1,,
trentin-etal:1998,furlanello,author,2,,
trentin-etal:1998,demori_r,author,3,,
trentman:1965,trentman,author,0,,
trentman:1966,trentman,author,0,,
trentman:1966a,trentman,author,0,,
trentman:1967,trentman,author,0,,
trentman:1968,trentman,author,0,,
trentman:1968a,trentman,author,0,,
trentman:1976,trentman,author,0,,
trentman:1982,trentman,author,0,,
trentman:1990,trentman,author,0,,
trepanier_e:1963,trepanier_e,author,0,,
trerise:2008,trerise,author,0,,
trerise:2010,trerise,author,0,,
tresan:2006,tresan,author,0,,
tresan:2010,tresan,author,0,,
tresan:2014,tresan,author,0,,
tresan:2015,tresan,author,0,,
treschow-etal:2007,treschow,editor,0,,
treschow-etal:2007,otten_w,editor,1,,
treschow-etal:2007,hannam_w,editor,2,,
treschow:2007,treschow,author,0,,
tresnie_c:2024,tresnie_c,author,0,,
tress_dm:2005,tress_dm,author,0,,
trestman:2012,trestman,author,0,,
trestman:2018,trestman,author,0,,
tretter:1997,tretter,author,0,,
trettin:1994,trettin,author,0,,
trettin:1997,trettin,author,0,,
trettin:2000,trettin,author,0,,
trettin:2000a,trettin,author,0,,
trettin:2001,trettin,author,0,,
trettin:2002,trettin,author,0,,
trettin:2002a,trettin,author,0,,
trettin:2003,trettin,author,0,,
trettin:2003a,trettin,author,0,,
trettin:2003b,trettin,author,0,,
trettin:2004,trettin,author,0,,
trettin:2004a,trettin,author,0,,
trettin:2005,trettin,editor,0,,
trettin:2007,trettin,author,0,,
treur:1994,treur,author,0,,
trevarthen-reddy:2007,trevarthen,author,0,,
trevarthen-reddy:2007,reddy_v,author,1,,
trevisan_a:1963,trevisan_a,author,0,,
trevorroper_hr:1963,trevorroper_hr,author,0,,
trezise:2013,trezise,author,0,,
tri_lt:1959,tri_lt,author,0,,
triandafyllidou:2022,triandafyllidou,editor,0,,
trianosky:1978,trianosky,author,0,,
trias:2004,trias,author,0,,
tributsch:2006,tributsch,author,0,,
tricard:2023,tricard,author,0,,
trick_l-etal:2009,trick_l,author,0,,
trick_l-etal:2009,hollinsworth_h,author,1,,
trick_l-etal:2009,brodeur_da,author,2,,
tricot_f:1983,tricot_f,author,0,,
triffet-green:1996,triffet,author,0,,
triffet-green:1996,green_hs,author,1,,
triffett:2016,triffett,author,0,,
trifogli-deleemans:2007,trifogli,author,0,,
trifogli-deleemans:2007,deleemans,author,1,,
trifogli-deleemans:2010,trifogli,author,0,,
trifogli-deleemans:2010,deleemans,author,1,,
trifogli-deleemans:2012,trifogli,author,0,,
trifogli-deleemans:2012,deleemans,author,1,,
trifogli:1990,trifogli,author,0,,
trifogli:1993,trifogli,author,0,,
trifogli:1994,trifogli,author,0,,
trifogli:1994a,trifogli,author,0,,
trifogli:1995,trifogli,author,0,,
trifogli:1997,trifogli,author,0,,
trifogli:1997a,trifogli,author,0,,
trifogli:1998,trifogli,author,0,,
trifogli:1998a,trifogli,author,0,,
trifogli:2000,trifogli,author,0,,
trifogli:2002,trifogli,author,0,,
trifogli:2002a,trifogli,author,0,,
trifogli:2004,trifogli,author,0,,
trifogli:2007,trifogli,author,0,,
trifogli:2007a,trifogli,author,0,,
trifogli:2007b,trifogli,author,0,,
trifogli:2010,trifogli,author,0,,
trifogli:2021,trifogli,author,0,,
trifogli:2022,trifogli,author,0,,
trifonova_t:2017,trifonova_t,editor,0,,
trifonova_t:2022,trifonova_t,editor,0,,
trigano:2004,trigano,author,0,,
trigano:2012,trigano,author,0,,
trigeaud:1997,trigeaud,author,0,,
trigg_ab:2017,trigg_ab,author,0,,
trigg_jd:2011,trigg_jd,author,0,,
trigg_r:1971,trigg_r,author,0,,
trigg_r:1978,trigg_r,author,0,,
trigg_r:1984,trigg_r,author,0,,
trigg_r:1992,trigg_r,author,0,,
trigg_r:1997,trigg_r,author,0,,
trigg_r:2002,trigg_r,author,0,,
trigg_r:2004,trigg_r,author,0,,
trigg_r:2010,trigg_r,author,0,,
trillas-etal:2000,trillas,author,0,,
trillas-etal:2000,cubillo_s,author,1,,
trillas-etal:2000,castieira_e,author,2,,
trillhaas:1975,trillhaas,author,0,,
trincado_e-santosredondo:2017,trincado_e,author,0,,
trincado_e-santosredondo:2017,santosredondo,author,1,,
trincia:2012,trincia,author,0,,
trinh-crnic:2011,trinh,author,0,,
trinh-crnic:2011,crnic_l,author,1,,
trinh:2011,trinh,author,0,,
tripathi:1978,tripathi,author,0,,
tripathi:1982,tripathi,author,0,,
tripathy_sp-etal:2011,tripathy_sp,author,0,,
tripathy_sp-etal:2011,ogmen_h,author,1,,
tripathy_sp-etal:2011,narasimhan,author,2,,
triplett_ra:2017,triplett_ra,editor,0,,
triplett_t-devries:2006,triplett_t,author,0,,
triplett_t-devries:2006,devries_wa,author,1,,
triplett_t-devries:2007,triplett_t,author,0,,
triplett_t-devries:2007,devries_wa,author,1,,
triplett_t:2006,triplett_t,author,0,,
triplett_t:2007,triplett_t,author,0,,
triplett_t:2014,triplett_t,author,0,,
tripodi_p:2011,tripodi_p,author,0,,
tripodi_v:2015,tripodi_v,author,0,,
trippett:2014,trippett,author,0,,
trisel_ba:2012,trisel_ba,author,0,,
tritten:2012,tritten,author,0,,
tritten:2017,tritten,author,0,,
trivedi:2008,trivedi,author,0,,
trivedi:2008a,trivedi,author,0,,
trivedi:2011,trivedi,author,0,,
trivedi:2011a,trivedi,author,0,,
trivigno:2009,trivigno,author,0,,
trivigno:2011,trivigno,author,0,,
