bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
tu_cc-etal:2015,tu_cc,author,0,,
tu_cc-etal:2015,hsiao_my,author,1,,
tu_cc-etal:2015,wang_l,author,2,,
tuana-cowling:1994,tuana,author,0,,
tuana-cowling:1994,cowling_w,author,1,,
tuana-shrage:2003,tuana,author,0,,
tuana-shrage:2003,shrage,author,1,,
tuana:1994,tuana,editor,0,,
tuana:1994a,tuana,author,0,,
tuana:1996,tuana,author,0,,
tuana:2012,tuana,author,0,,
tuana:2016,tuana,author,0,,
tuana:2017,tuana,author,0,,
tuana:2023,tuana,author,0,,
tubali_s:2023,tubali_s,author,0,,
tubbs_n:2009,tubbs_n,author,0,,
tubbs_n:2017,tubbs_n,author,0,,
tubert:2010,tubert,author,0,,
tubert:2011,tubert,author,0,,
tubert:2016,tubert,author,0,,
tuboly_at:2014,tuboly_at,author,0,,
tuboly_at:2016,tuboly_at,author,0,,
tuboly_at:2017,tuboly_at,author,0,,
tuboly_at:2020,tuboly_at,author,0,,
tuboly_at:2020a,tuboly_at,author,0,,
tuck:1979,tuck,author,0,,
tuck:1988,tuck,author,0,,
tuck:1998,tuck,author,0,,
tuck:2007,tuck,author,0,,
tuck:2017,tuck,author,0,,
tucker_a-debellis:2015,tucker_a,editor,0,,
tucker_a-debellis:2015,debellis_gp,editor,1,,
tucker_a:2003,tucker_a,author,0,,
tucker_a:2004,tucker_a,author,0,,
tucker_a:2008,tucker_a,editor,0,,
tucker_a:2008a,tucker_a,author,0,,
tucker_a:2008b,tucker_a,author,0,,
tucker_a:2008c,tucker_a,author,0,,
tucker_a:2012,tucker_a,author,0,,
tucker_a:2012a,tucker_a,author,0,,
tucker_a:2014,tucker_a,author,0,,
tucker_a:2014a,tucker_a,author,0,,
tucker_c:2006,tucker_c,author,0,,
tucker_c:2009,tucker_c,author,0,,
tucker_c:2009a,tucker_c,author,0,,
tucker_c:2010,tucker_c,author,0,,
tucker_c:2010a,tucker_c,author,0,,
tucker_c:2012,tucker_c,author,0,,
tucker_c:2012a,tucker_c,author,0,,
tucker_c:2013,tucker_c,editor,0,,
tucker_c:2013a,tucker_c,author,0,,
tucker_c:2014,tucker_c,author,0,,
tucker_c:2014a,tucker_c,author,0,,
tucker_c:2014b,tucker_c,author,0,,
tucker_c:2016,tucker_c,author,0,,
tucker_c:2017,tucker_c,author,0,,
tucker_c:2018,tucker_c,author,0,,
tucker_c:2024,tucker_c,author,0,,
tucker_d-thomason:2011,tucker_d,author,0,,
tucker_d-thomason:2011,thomason_rh,author,1,,
tucker_d:2010,tucker_d,author,0,,
tucker_d:2013,tucker_d,author,0,,
tucker_d:2018,tucker_d,author,0,,
tucker_dfb:1994,tucker_dfb,author,0,,
tucker_e:2011,tucker_e,author,0,,
tucker_j-zucker:2000,tucker_j,author,0,,
tucker_j-zucker:2000,zucker_ji,author,1,,
tucker_j-zucker:2002,tucker_j,author,0,,
tucker_j-zucker:2002,zucker_ji,author,1,,
