bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
tzamalikos:2021,tzamalikos,author,0,,
tzavaras_a-papagounos:1990,tzavaras_a,author,0,,
tzavaras_a-papagounos:1990,papagounos_g,author,1,,
tzelgov-etal:2015,tzelgov,author,0,,
tzelgov-etal:2015,ganorstern,author,1,,
tzelgov-etal:2015,kallai_ay,author,2,,
tzelgov-etal:2015,pinhas_m,author,3,,
tzinman_r:2016,tzinman_r,author,0,,
tzouvaras:1996,tzouvaras,author,0,,
tzouvaras:1998,tzouvaras,author,0,,
tzouvaras:1998a,tzouvaras,author,0,,
tzouvaras:2006,tzouvaras,author,0,,
tzupnick_il:1976,tzupnick_il,author,0,,
