bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ucciani:2004,ucciani,author,0,,
uchenko:1929,uchenko,author,0,,
uchenko:1931,uchenko,author,0,,
uchida:1998,uchida,author,0,,
uchii:1974,uchii,author,0,,
uchii:1977,uchii,author,0,,
uchii:1990,uchii,author,0,,
uckelman-chan:2016,uckelman,author,0,,
uckelman-chan:2016,chan_ph,author,1,,
uckelman-etal:2014,uckelman,author,0,,
uckelman-etal:2014,alama,author,1,,
uckelman-etal:2014,knoks_a,author,2,,
uckelman-johnston:2010a,uckelman,author,0,,
uckelman-johnston:2010a,johnston_s,author,1,,
uckelman-lagerlund:2016,uckelman,author,0,,
uckelman-lagerlund:2016,lagerlund,author,1,,
uckelman:2009a,uckelman,author,0,,
uckelman:2010,uckelman,author,0,,
uckelman:2012,uckelman,author,0,,
uckelman:2012b,uckelman,author,0,,
uckelman:2013,uckelman,author,0,,
uckelman:2013a,uckelman,author,0,,
uckelman:2014,uckelman,author,0,,
uckelman:2015,uckelman,author,0,,
uckelman:2015a,uckelman,author,0,,
uckelman:2016,uckelman,author,0,,
uckelman:2016a,uckelman,author,0,,
uckelman:2018,uckelman,author,0,,
uckelman:2021,uckelman,author,0,,
