bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
uebel-limbecklilienau:2021,uebel,editor,0,,
uebel-limbecklilienau:2021,limbecklilienau,editor,1,,
uebel:1991,uebel,editor,0,,
uebel:1991a,uebel,author,0,,
uebel:1991b,uebel,author,0,,
uebel:1992,uebel,author,0,,
uebel:1993,uebel,author,0,,
uebel:1994,uebel,author,0,,
uebel:1994a,uebel,author,0,,
uebel:1995,uebel,author,0,,
uebel:1995a,uebel,author,0,,
uebel:1996,uebel,author,0,,
uebel:1996a,uebel,author,0,,
uebel:1996b,uebel,author,0,,
uebel:1997,uebel,author,0,,
uebel:1998,uebel,author,0,,
uebel:1999,uebel,author,0,,
uebel:2003,uebel,author,0,,
uebel:2003a,uebel,author,0,,
uebel:2005,uebel,author,0,,
uebel:2006,uebel,author,0,,
uebel:2007,uebel,author,0,,
uebel:2007a,uebel,author,0,,
uebel:2007b,uebel,author,0,,
uebel:2008,uebel,author,0,,
uebel:2008a,uebel,author,0,,
uebel:2008b,uebel,author,0,,
uebel:2009,uebel,author,0,,
uebel:2009a,uebel,author,0,,
uebel:2010,uebel,author,0,,
uebel:2010a,uebel,author,0,,
uebel:2010b,uebel,author,0,,
uebel:2010c,uebel,author,0,,
uebel:2010d,uebel,author,0,,
uebel:2011a,uebel,author,0,,
uebel:2011b,uebel,author,0,,
uebel:2012,uebel,author,0,,
uebel:2012a,uebel,author,0,,
uebel:2012b,uebel,author,0,,
uebel:2013,uebel,author,0,,
uebel:2014,uebel,author,0,,
uebel:2014a,uebel,author,0,,
uebel:2015,uebel,author,0,,
uebel:2015a,uebel,author,0,,
uebel:2015b,uebel,author,0,,
uebel:2016,uebel,author,0,,
uebel:2016a,uebel,author,0,,
uebel:2017a,uebel,author,0,,
uebel:2017b,uebel,author,0,,
uebel:2017c,uebel,author,0,,
uebel:2020,uebel,author,0,,
uebel:2021,uebel,author,0,,
uebele:1911,uebele,author,0,,
ueberweg:1863,ueberweg,author,0,,
ueberweg:1864,ueberweg,author,0,,
ueberweg:1866,ueberweg,author,0,,
ueberweg:1867,ueberweg,author,0,,
ueberweg:1924,ueberweg,author,0,,
ueberweg:1924a,ueberweg,author,0,,
ueberweg:1926,ueberweg,author,0,,
ueberweg:1927,ueberweg,author,0,,
ueberweg:1927a,ueberweg,author,0,,
uecerler:2008,uecerler,author,0,,
ueda_t:2015,ueda_t,author,0,,
uedo_t:2015,uedo_t,author,0,,
uegaki_w:2012,uegaki_w,author,0,,
uehara-belgrano:2020,uehara,author,0,,
uehara-belgrano:2020,belgrano_e,author,1,,
uehlein:1982,uehlein,author,0,,
uehlein:2017,uehlein,author,0,,
uemov:1970,uemov,author,0,,
uemura:2015,uemura,author,0,,
ueno:1959,ueno,author,0,,
uenueguertabour:2023,uenueguertabour,author,0,,
