bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ulanowicz:2003,ulanowicz,author,0,,
ulary_g:1999,ulary_g,author,0,,
ulbricht_o:1998,ulbricht_o,author,0,,
ulbricht_s:2022,ulbricht_s,author,0,,
uldall:2005,uldall,author,0,,
ule:1990,ule,author,0,,
ule:1997,ule,author,0,,
ule:2002,ule,author,0,,
ule:2004,ule,author,0,,
ule:2022,ule,author,0,,
uleman_jk:1995,uleman_jk,author,0,,
uleman_jk:2004,uleman_jk,author,0,,
uleman_jk:2010,uleman_jk,author,0,,
uleman_jk:2013,uleman_jk,author,0,,
uleman_jk:2016,uleman_jk,author,0,,
uleman_jk:2018,uleman_jk,author,0,,
uleman_js:1987,uleman_js,author,0,,
ulhasmacneill:2009,ulhasmacneill,author,0,,
uliassi_ec-chacon:1976,uliassi_ec,author,0,,
uliassi_ec-chacon:1976,chacon_rj,author,1,,
ulicka:1998,ulicka,author,0,,
ulicka:2002,ulicka,author,0,,
ulishney_ml:2023,ulishney_ml,author,0,,
ulishney_p:2023,ulishney_p,author,0,,
ulkan:2003,ulkan,author,0,,
uller_c:2009,uller_c,author,0,,
uller_t-helanterae:2017,uller_t,author,0,,
uller_t-helanterae:2017,helanterae,author,1,,
ullian-goodman:1975,ullian,author,0,,
ullian-goodman:1975,goodman_n,author,1,,
ullian:1961,ullian,author,0,,
ullian:1961a,ullian,author,0,,
ullian:1972,ullian,author,0,,
ullian:1973,ullian,author,0,,
ullian:1984,ullian,author,0,,
ullian:1994,ullian,author,0,,
ullman_m:1987,ullman_m,author,0,,
ullman_s:1980,ullman_s,author,0,,
ullmann_c:1975,ullmann_c,author,0,,
ullmannmargalit-etal:2017,ullmannmargalit,author,0,,
ullmannmargalit-etal:2017,margalit,author,1,,
ullmannmargalit-etal:2017,sunstein,author,2,,
ullmannmargalit:1973,ullmannmargalit,author,0,,
ullmannmargalit:1986,ullmannmargalit,editor,0,,
ullmannmargalit:1986a,ullmannmargalit,editor,0,,
ullmannmargalit:1986b,ullmannmargalit,author,0,,
ullmannmargalit:1988,ullmannmargalit,editor,0,,
ullmannmargalit:1992,ullmannmargalit,editor,0,,
ullmannmargalit:1993,ullmannmargalit,author,0,,
ullmannmargalit:2000,ullmannmargalit,editor,0,,
ullmannmargalit:2000a,ullmannmargalit,author,0,,
ullmannmargalit:2000b,ullmannmargalit,author,0,,
ullmannmargalit:2006,ullmannmargalit,author,0,,
ullrich_d-byrd:1977,ullrich_d,author,0,,
ullrich_d-byrd:1977,byrd_me,author,1,,
ullrich_l:1963,ullrich_l,author,0,,
ulmann_j:1993,ulmann_j,author,0,,
ulmen:1998,ulmen,author,0,,
ulmer_g:1989,ulmer_g,author,0,,
ulrich_d:1983,ulrich_d,author,0,,
ulrich_d:1989,ulrich_d,author,0,,
ulrich_d:2016,ulrich_d,author,0,,
ulrich_p:2014,ulrich_p,author,0,,
ulrich_p:2023,ulrich_p,author,0,,
ulrich_r:2019,ulrich_r,author,0,,
ulrich_w:1972,ulrich_w,author,0,,
ulrichs_lt:2010,ulrichs_lt,author,0,,
ulrichs_lt:2012,ulrichs_lt,author,0,,
ulrichs_lt:2013,ulrichs_lt,author,0,,
