bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
urbach_b:1927,urbach_b,author,0,,
urbach_b:1927a,urbach_b,author,0,,
urbach_p:1978,urbach_p,author,0,,
urbach_p:1985,urbach_p,author,0,,
urbach_p:1989,urbach_p,author,0,,
urban_c:2004,urban_c,author,0,,
urban_hb:2016,urban_hb,author,0,,
urban_l:1964,urban_l,author,0,,
urban_m:2013,urban_m,author,0,,
urban_p-pucker:1979,urban_p,author,0,,
urban_p-pucker:1979,pucker_n,author,1,,
urban_wm:1909,urban_wm,author,0,,
urban_wm:1917,urban_wm,author,0,,
urban_wm:1927,urban_wm,author,0,,
urban_wm:1938,urban_wm,author,0,,
urban_wm:1938a,urban_wm,author,0,,
urban_wm:1941,urban_wm,author,0,,
urban_wm:1949,urban_wm,author,0,,
urbanas:1992,urbanas,author,0,,
urbaniak-haemaeri:2012,urbaniak,author,0,,
urbaniak-haemaeri:2012,haemaeri,author,1,,
urbaniak:2008,urbaniak,author,0,,
urbaniak:2008a,urbaniak,author,0,,
urbaniak:2009,urbaniak,author,0,,
urbaniak:2011,urbaniak,author,0,,
urbaniak:2012,urbaniak,author,0,,
urbaniak:2012a,urbaniak,author,0,,
urbaniak:2014,urbaniak,author,0,,
urbaniak:2014a,urbaniak,author,0,,
urbaniulivi:2004,urbaniulivi,author,0,,
urbanski:2001,urbanski,author,0,,
urbanski:2002,urbanski,author,0,,
urbanski:2004,urbanski,author,0,,
urbanski:2011,urbanski,author,0,,
urbas_i:1988,urbas_i,author,0,,
urbas_i:1996,urbas_i,author,0,,
urbich_j-zimmer:2020,urbich_j,editor,0,,
urbich_j-zimmer:2020,zimmer_j,editor,1,,
urbinati_n:2002,urbinati_n,author,0,,
urbinati_n:2013,urbinati_n,author,0,,
urchs:1994,scheffler_u,guesteditor,0,,
urchs:1994,urchs,author,0,,
urchs:1994,urchs,guesteditor,1,,
urchs:1994a,urchs,author,0,,
urchs:1994b,urchs,author,0,,
urchs:1994c,urchs,author,0,,
urchs:1994d,urchs,author,0,,
urchs:1995,urchs,author,0,,
urchs:1996,urchs,author,0,,
urchs:1997,urchs,author,0,,
urchs:1997a,urchs,author,0,,
urchs:1998,urchs,author,0,,
urchs:1999,urchs,author,0,,
urchs:2000,urchs,author,0,,
urchs:2001,urchs,author,0,,
urchs:2001a,urchs,author,0,,
urchs:2001b,urchs,author,0,,
urchs:2001c,urchs,author,0,,
urchs:2006,urchs,author,0,,
urchs:2014,urchs,author,0,,
ure_m:2016,ure_m,author,0,,
urfalino:2012,urfalino,author,0,,
uriagereka:1998,uriagereka,author,0,,
uribeetxebarria:1995,uribeetxebarria,author,0,,
urkia:2006,urkia,author,0,,
urmson_c-etal:2009,urmson_c,author,0,,
urmson_c-etal:2009,baker_ch,author,1,,
urmson_c-etal:2009,dolan_jm,author,2,,
urmson_c-etal:2009,rybski,author,3,,
urmson_c-etal:2009,salesky_b,author,4,,
urmson_c-etal:2009,whittaker_w,author,5,,
urmson_c-etal:2009,ferguson_d,author,6,,
urmson_c-etal:2009,darms_m,author,7,,
urmson_jo-etal:1969,urmson_jo,author,0,,
urmson_jo-etal:1969,quine,author,1,,
urmson_jo-etal:1969,hampshire,author,2,,
urmson_jo:1947,urmson_jo,author,0,,
urmson_jo:1952,urmson_jo,author,0,,
urmson_jo:1953,urmson_jo,author,0,,
urmson_jo:1956,urmson_jo,author,0,,
urmson_jo:1956a,urmson_jo,author,0,,
urmson_jo:1958,urmson_jo,author,0,,
urmson_jo:1962,urmson_jo,author,0,,
urmson_jo:1965,urmson_jo,author,0,,
urmson_jo:1967,urmson_jo,author,0,,
urmson_jo:1967a,urmson_jo,author,0,,
urmson_jo:1967b,urmson_jo,author,0,,
urmson_jo:1968,urmson_jo,author,0,,
urmson_jo:1968a,urmson_jo,author,0,,
urmson_jo:1969,urmson_jo,author,0,,
urmson_jo:1970,urmson_jo,author,0,,
urmson_jo:1970a,urmson_jo,author,0,,
urmson_jo:1970b,urmson_jo,author,0,,
urmson_jo:1971,urmson_jo,author,0,,
urmson_jo:1972,urmson_jo,author,0,,
urmson_jo:1973,urmson_jo,author,0,,
urmson_jo:1975,urmson_jo,author,0,,
urmson_jo:1976,urmson_jo,author,0,,
urmson_jo:1977,urmson_jo,author,0,,
urmson_jo:1978,urmson_jo,author,0,,
urmson_jo:1984,urmson_jo,author,0,,
urmson_jo:1985,urmson_jo,author,0,,
urmson_jo:1986,urmson_jo,author,0,,
urmson_jo:1988,urmson_jo,author,0,,
urquhart:1972,urquhart,author,0,,
urquhart:1973,urquhart,author,0,,
urquhart:1981,urquhart,author,0,,
urquhart:1983,urquhart,author,0,,
urquhart:1984,urquhart,author,0,,
urquhart:1986,urquhart,author,0,,
urquhart:1987,urquhart,author,0,,
urquhart:1988,urquhart,author,0,,
urquhart:1989,urquhart,author,0,,
urquhart:1990,urquhart,author,0,,
urquhart:1990a,urquhart,author,0,,
urquhart:1993,urquhart,author,0,,
urquhart:1994,urquhart,author,0,,
urquhart:1995,urquhart,author,0,,
urquhart:2000,urquhart,author,0,,
urquhart:2001,urquhart,author,0,,
urquhart:2002,urquhart,author,0,,
urquhart:2003,urquhart,author,0,,
urquhart:2004,urquhart,author,0,,
urquhart:2004a,urquhart,author,0,,
urquhart:2008,urquhart,author,0,,
urquhart:2008a,urquhart,author,0,,
urquhart:2008b,urquhart,author,0,,
urquhart:2009,urquhart,author,0,,
urquhart:2009a,urquhart,author,0,,
urquhart:2010,urquhart,author,0,,
urquhart:2010a,urquhart,author,0,,
urquhart:2010b,urquhart,author,0,,
urquhart:2012,urquhart,author,0,,
urquhart:2013,urquhart,author,0,,
urquhart:2015,urquhart,author,0,,
urquhart:2016,urquhart,author,0,,
urquhart:2020,urquhart,author,0,,
urquiza_jl:1963,urquiza_jl,author,0,,
urricelqui_l:2017,urricelqui_l,author,0,,
urricelqui_l:2018,urricelqui_l,author,0,,
urrutiaelejalde:2008,urrutiaelejalde,author,0,,
ursic:1998,ursic,author,0,,
ursic:2000,ursic,author,0,,
ursic:2002,ursic,author,0,,
ursic:2004,ursic,author,0,,
ursua:1996,ursua,author,0,,
urtin:1954,urtin,author,0,,
urton:2009,urton,author,0,,
