bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
vaahtera_t:2022,vaahtera_t,author,0,,
vaaja_t:2011,vaaja_t,author,0,,
vaassen:2016,vaassen,author,0,,
vaccarezza_ms:2018,vaccarezza_ms,author,0,,
vaccarezza_ms:2018a,vaccarezza_ms,author,0,,
vacek_e:1986,vacek_e,author,0,,
vacek_e:1987,vacek_e,author,0,,
vacek_m:2017,vacek_m,author,0,,
vadas:1987,vadas,author,0,,
vadee:2000,vadee,author,0,,
vadekar:1976,vadekar,author,0,,
vaden:2001,vaden,author,0,,
vaeaenaenen-westerstahl:2002,vaeaenaenen,author,0,,
vaeaenaenen-westerstahl:2002,westerstahl,author,1,,
vaeaenaenen:1979,vaeaenaenen,author,0,,
vaeaenaenen:1982,vaeaenaenen,author,0,,
vaeaenaenen:1985,vaeaenaenen,author,0,,
vaeaenaenen:1995,vaeaenaenen,author,0,,
vaeaenaenen:1997,vaeaenaenen,author,0,,
vaeaenaenen:2001,vaeaenaenen,author,0,,
vaeaenaenen:2004,vaeaenaenen,author,0,,
vaeaenaenen:2007,vaeaenaenen,author,0,,
vaeaenaenen:2012,vaeaenaenen,author,0,,
vaeaenaenen:2015,vaeaenaenen,author,0,,
vaeaenaenen:2015a,vaeaenaenen,author,0,,
vaeaenaenen:2015b,vaeaenaenen,author,0,,
vaehaemaa_m:2019,vaehaemaa_m,author,0,,
vaesen:2011,vaesen,author,0,,
vaesen:2011a,vaesen,author,0,,
vaesen:2013,vaesen,author,0,,
vaeyrynen_k:2018,vaeyrynen_k,author,0,,
vaeyrynen_p:2006,vaeyrynen_p,author,0,,
vaeyrynen_p:2008,vaeyrynen_p,author,0,,
vaeyrynen_p:2009,vaeyrynen_p,author,0,,
vaeyrynen_p:2009a,vaeyrynen_p,author,0,,
vaeyrynen_p:2009b,vaeyrynen_p,author,0,,
vaeyrynen_p:2011,vaeyrynen_p,author,0,,
vaeyrynen_p:2011a,vaeyrynen_p,author,0,,
vaeyrynen_p:2011b,vaeyrynen_p,author,0,,
vaeyrynen_p:2012,vaeyrynen_p,author,0,,
vaeyrynen_p:2013,vaeyrynen_p,author,0,,
vaeyrynen_p:2013a,vaeyrynen_p,author,0,,
vaeyrynen_p:2013b,vaeyrynen_p,author,0,,
vaeyrynen_p:2014,vaeyrynen_p,author,0,,
vaeyrynen_p:2014a,vaeyrynen_p,author,0,,
vaeyrynen_p:2018,vaeyrynen_p,author,0,,
vaeyrynen_p:2018a,vaeyrynen_p,author,0,,
vaeyrynen_p:2018b,vaeyrynen_p,author,0,,
vagelli_m:2020,vagelli_m,author,0,,
vagelpohl:2008,vagelpohl,author,0,,
vagelpohl:2010,vagelpohl,author,0,,
vagelpohl:2015,vagelpohl,author,0,,
vaggi-groenewegen:2003,vaggi,author,0,,
vaggi-groenewegen:2003,groenewegen_p,author,1,,
vagh:1995,vagh,author,0,,
vaglio_j:1945,vaglio_j,author,0,,
vaha:2014,vaha,author,0,,
vahid:1994,vahid,author,0,,
vahid:1998,vahid,author,0,,
vahid:1999,vahid,author,0,,
vahid:2001,vahid,author,0,,
vahid:2002,vahid,author,0,,
vahid:2003,vahid,author,0,,
vahid:2003a,vahid,author,0,,
vahid:2005,vahid,author,0,,
vahid:2006,vahid,author,0,,
vahid:2006a,vahid,author,0,,
vahid:2007,vahid,author,0,,
vahid:2008,vahid,author,0,,
vahid:2008a,vahid,author,0,,
vahid:2009,vahid,author,0,,
vahid:2009a,vahid,author,0,,
vahid:2009b,vahid,author,0,,
vahid:2011,vahid,author,0,,
vahid:2011a,vahid,author,0,,
vahid:2011b,vahid,author,0,,
vahid:2012,vahid,author,0,,
vahid:2014,vahid,author,0,,
vahid:2014a,vahid,author,0,,
vahid:2015,vahid,author,0,,
vahid:2016,vahid,author,0,,
vahid:2017,vahid,author,0,,
vahid:2018,vahid,author,0,,
vahland:1999,vahland,author,0,,
vaid:2001,vaid,author,0,,
vaida:2014,vaida,author,0,,
vaidhyanathan:2017,vaidhyanathan,author,0,,
