bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
vrahimis_a:2012,vrahimis_a,author,0,,
vrahimis_a:2013,vrahimis_a,author,0,,
vrahimis_a:2013a,vrahimis_a,author,0,,
vrahimis_a:2015,vrahimis_a,author,0,,
vrahimis_a:2022,vrahimis_a,author,0,,
vranas:2000,vranas,author,0,,
vranas:2004,vranas,author,0,,
vranas:2005,vranas,author,0,,
vranas:2005a,vranas,author,0,,
vranas:2007,vranas,author,0,,
vranas:2009,vranas,author,0,,
vranas:2010,vranas,author,0,,
vranas:2010a,vranas,author,0,,
vranas:2011,vranas,author,0,,
vranas:2016,vranas,author,0,,
vranas:2017,vranas,author,0,,
vranas:2018,vranas,author,0,,
vranicki_p:1979,vranicki_p,author,0,,
vrcan_s:1979,vrcan_s,author,0,,
vredenburgh:2021,vredenburgh,author,0,,
vreeswijk:1991,vreeswijk,author,0,,
vreeswijk:1991a,vreeswijk,author,0,,
vreeswijk:1993,vreeswijk,author,0,,
vreeswijk:1997,vreeswijk,author,0,,
vreeswijk:2005,vreeswijk,author,0,,
vrendenduin:1953,vrendenduin,author,0,,
vrijen:2006,vrijen,author,0,,
vrijenhoek_r:1995,vrijenhoek_r,author,0,,
vrolijk_a-hogendijk:2007,vrolijk_a,editor,0,,
vrolijk_a-hogendijk:2007,hogendijk_jp,editor,1,,
vromen_j:2003,vromen_j,author,0,,
vromen_j:2009,vromen_j,author,0,,
vromen_j:2012,vromen_j,author,0,,
vromen_j:2021,vromen_j,author,0,,
vromen_s:1989,vromen_s,author,0,,
vrousalis:2011,vrousalis,author,0,,
vrousalis:2016,vrousalis,author,0,,
vrousalis:2018,vrousalis,author,0,,
vrousalis:2022,vrousalis,author,0,,
vrtacic:1965,vrtacic,author,0,,
