bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
weale:1979,weale,author,0,,
weale:1985,weale,author,0,,
weale:1988,weale,author,0,,
weale:2004,weale,author,0,,
weale:2013,weale,author,0,,
weale:2019,weale,author,0,,
wear_a:1990,wear_a,author,0,,
wear_sk:2021,wear_sk,author,0,,
wearden_jh:2001,wearden_jh,author,0,,
wearing_c:2012,wearing_c,author,0,,
wearing_j:2023,wearing_j,author,0,,
weart:1983,weart,author,0,,
weary-etal:1989,weary,author,0,,
weary-etal:1989,stanley_ma,author,1,,
weary-etal:1989,harvey_jh,author,2,,
weatherall_d:2002,weatherall_d,author,0,,
weatherall_jo-gilbert:2016,weatherall_jo,author,0,,
weatherall_jo-gilbert:2016,gilbert_m,author,1,,
weatherall_jo:2015,weatherall_jo,author,0,,
weatherall_jo:2016,weatherall_jo,author,0,,
weatherall_jo:2017,weatherall_jo,author,0,,
weatherall_jo:2017a,weatherall_jo,author,0,,
weatherall_jo:2017b,weatherall_jo,author,0,,
weatherall_jo:2019,weatherall_jo,author,0,,
weatherall_jo:2019a,weatherall_jo,author,0,,
weatherall_jo:2021,weatherall_jo,author,0,,
weatherall_p:1996,weatherall_p,author,0,,
weatherby:2016,weatherby,author,0,,
weatherford:1982,weatherford,author,0,,
weatherson:1999,weatherson,author,0,,
weatherson:2000,weatherson,author,0,,
weatherson:2001,weatherson,author,0,,
weatherson:2001a,weatherson,author,0,,
weatherson:2002a,weatherson,author,0,,
weatherson:2003a,weatherson,author,0,,
weatherson:2003b,weatherson,author,0,,
weatherson:2003c,weatherson,author,0,,
weatherson:2003d,weatherson,author,0,,
weatherson:2003e,weatherson,author,0,,
weatherson:2004,weatherson,author,0,,
weatherson:2004a,weatherson,author,0,,
weatherson:2004b,weatherson,author,0,,
weatherson:2005,weatherson,author,0,,
weatherson:2005a,weatherson,author,0,,
weatherson:2005b,weatherson,author,0,,
weatherson:2005c,weatherson,author,0,,
weatherson:2006,weatherson,author,0,,
weatherson:2006a,weatherson,author,0,,
weatherson:2006c,weatherson,author,0,,
weatherson:2007,weatherson,author,0,,
weatherson:2007a,weatherson,author,0,,
