bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
whalen_be:2018,whalen_be,author,0,,
whalen_pj:2008,whalen_pj,author,0,,
whalen_te:2008,whalen_te,author,0,,
whaley_j:1998,whaley_j,author,0,,
whalley_e-belknap:2017,whalley_e,author,0,,
whalley_e-belknap:2017,belknap_j,author,1,,
whallon:1943,whallon,author,0,,
whaples_r-parker:2013,whaples_r,editor,0,,
whaples_r-parker:2013,parker_ra,editor,1,,
whatley:1986,whatley,author,0,,
wheatland:2018,wheatland,author,0,,
wheatley:1959,wheatley,author,0,,
wheatley:1962,wheatley,author,0,,
wheatley:1963,wheatley,author,0,,
wheatley:1964,wheatley,author,0,,
wheatley:1964a,wheatley,author,0,,
wheatley:1969,wheatley,author,0,,
wheatley:1973,wheatley,author,0,,
wheeler_am:1961,wheeler_am,author,0,,
wheeler_am:1977,wheeler_am,author,0,,
wheeler_am:1977a,wheeler_am,author,0,,
wheeler_d:2018,wheeler_d,author,0,,
wheeler_dw-carpenter:1995,wheeler_dw,author,0,,
wheeler_dw-carpenter:1995,carpenter_b,author,1,,
wheeler_dw:1988,wheeler_dw,author,0,,
wheeler_gr-barahona:2012,wheeler_gr,author,0,,
wheeler_gr-barahona:2012,barahona_p,author,1,,
wheeler_gr-scheines:2011,wheeler_gr,author,0,,
wheeler_gr-scheines:2011,scheines_r,author,1,,
wheeler_gr-scheines:2013,wheeler_gr,author,0,,
wheeler_gr-scheines:2013,scheines_r,author,1,,
wheeler_gr-williamson:2011,wheeler_gr,author,0,,
wheeler_gr-williamson:2011,williamson_jon,author,1,,
wheeler_gr:2005,wheeler_gr,author,0,,
wheeler_gr:2012,wheeler_gr,author,0,,
wheeler_gr:2012a,wheeler_gr,author,0,,
wheeler_gr:2013,wheeler_gr,author,0,,
wheeler_gr:2014,wheeler_gr,author,0,,
wheeler_gr:2017,wheeler_gr,author,0,,
wheeler_gr:2021,wheeler_gr,author,0,,
wheeler_ja-zurek:1983,wheeler_ja,editor,0,,
wheeler_ja-zurek:1983,zurek,editor,1,,
wheeler_ja:1966,wheeler_ja,author,0,,
wheeler_ja:1968,wheeler_ja,author,0,,
wheeler_ja:1973,wheeler_ja,author,0,,
wheeler_ja:1974,wheeler_ja,author,0,,
wheeler_ja:1977,wheeler_ja,author,0,,
wheeler_ja:1988,wheeler_ja,author,0,,
wheeler_ja:1990,wheeler_ja,author,0,,
wheeler_ja:1994,wheeler_ja,author,0,,
wheeler_m-atkinson:2001,wheeler_m,author,0,,
wheeler_m-atkinson:2001,atkinson_ap,author,1,,
wheeler_m-dipaolo:2015,wheeler_m,author,0,,
wheeler_m-dipaolo:2015,dipaolo_e,author,1,,
wheeler_m:2003,wheeler_m,author,0,,
wheeler_m:2005,wheeler_m,author,0,,
wheeler_m:2007,wheeler_m,author,0,,
wheeler_m:2007a,wheeler_m,author,0,,
wheeler_m:2009,wheeler_m,author,0,,
wheeler_m:2009a,wheeler_m,author,0,,
wheeler_m:2011,wheeler_m,author,0,,
wheeler_m:2011b,wheeler_m,author,0,,
wheeler_m:2013,wheeler_m,author,0,,
wheeler_m:2013a,wheeler_m,author,0,,
wheeler_m:2014,wheeler_m,author,0,,
wheeler_m:2019,wheeler_m,author,0,,
wheeler_mr:1999,wheeler_mr,author,0,,
wheeler_mr:1999a,wheeler_mr,author,0,,
wheeler_mr:2004,wheeler_mr,author,0,,
wheeler_mr:2011,wheeler_mr,author,0,,
wheeler_rm:2007,wheeler_rm,author,0,,
wheeler_wm:1927,wheeler_wm,author,0,,
wheelwright_p:1967,wheelwright_p,author,0,,
whelan_fg:1980,whelan_fg,author,0,,
whelan_fg:1983,whelan_fg,author,0,,
whelan_fg:1983a,whelan_fg,author,0,,
whelan_fg:2014,whelan_fg,author,0,,
whelan_fg:2014a,whelan_fg,author,0,,
whelan_r:1988,whelan_r,author,0,,
whelan_r:1993,whelan_r,author,0,,
whelan_r:1999,whelan_r,author,0,,
whelpton:2002,whelpton,author,0,,
whetham:2013,whetham,author,0,,
whetham:2016,whetham,author,0,,
whetnall:1932,whetnall,author,0,,
