bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
wians-polansky:2017,wians,editor,0,,
wians-polansky:2017,polansky,editor,1,,
wians-polansky:2017a,wians,author,0,,
wians-polansky:2017a,polansky,author,1,,
wians:1990,wians,author,0,,
wians:1992,wians,author,0,,
wians:1992a,wians,author,0,,
wians:1995,wians,author,0,,
wians:1996,wians,editor,0,,
wians:1997,wians,author,0,,
wians:2017,wians,author,0,,
wiatr:1979,wiatr,editor,0,,
wiatr:1979a,wiatr,author,0,,
wichert_r-nussbaum:2017,wichert_r,author,0,,
wichert_r-nussbaum:2017,nussbaum_mc,author,1,,
wichmann_h:1994,wichmann_h,author,0,,
wichmann_h:1995,wichmann_h,author,0,,
wichmann_h:1998,wichmann_h,author,0,,
wichmann_o:1917,wichmann_o,author,0,,
wichmann_o:1958,wichmann_o,author,0,,
wick_ma-thompson:1992,wick_ma,author,0,,
wick_ma-thompson:1992,thompson_wb,author,1,,
wick_wa:1951,wick_wa,author,0,,
wicker:2009,wicker,author,0,,
wickes:1994,wickes,author,0,,
wickham:2011,wickham,author,0,,
wicki_m:2016,wicki_m,author,0,,
wicklein:1991,wicklein,author,0,,
wickramasinghe:2011,wickramasinghe,author,0,,
wicks_rl:1993,wicks_rl,author,0,,
wicks_rl:1993a,wicks_rl,author,0,,
wicks_rl:2001,wicks_rl,author,0,,
wicks_rl:2003,wicks_rl,author,0,,
wicks_rl:2006,wicks_rl,author,0,,
wicks_rl:2007,wicks_rl,author,0,,
wicks_rl:2008,wicks_rl,author,0,,
wicks_rl:2008a,wicks_rl,author,0,,
wicks_rl:2009,wicks_rl,author,0,,
wicks_rl:2009a,wicks_rl,author,0,,
wicks_rl:2009b,wicks_rl,author,0,,
wicks_rl:2012,wicks_rl,author,0,,
wicks_rl:2014,wicks_rl,author,0,,
wicks_rl:2019,wicks_rl,author,0,,
wicks_rl:2020,wicks_rl,editor,0,,
widder_j:2000,widder_j,author,0,,
widder_n:2013,widder_n,author,0,,
widdows_d:2003,widdows_d,author,0,,
widdows_h-marway:2015,widdows_h,editor,0,,
widdows_h-marway:2015,marway_h,editor,1,,
widdows_h:2009,widdows_h,author,0,,
widdows_h:2013,widdows_h,author,0,,
widdows_h:2018,widdows_h,author,0,,
widdowson_hg:1996,widdowson_hg,author,0,,
widen_sc:2016,widen_sc,author,0,,
wider_k:1989,wider_k,author,0,,
wider_k:2006,wider_k,author,0,,
wider_pf:2016,wider_pf,author,0,,
widerker-goetz:2013,widerker,author,0,,
widerker-goetz:2013,goetz_s,author,1,,
widerker-schnall:2015,widerker,author,0,,
widerker-schnall:2015,schnall_im,author,1,,
widerker:1977,widerker,author,0,,
widerker:1981,widerker,author,0,,
widerker:1987,widerker,author,0,,
widerker:1987a,widerker,author,0,,
widerker:1989,widerker,author,0,,
widerker:1989a,widerker,author,0,,
widerker:1991,widerker,author,0,,
widerker:1992,widerker,author,0,,
widerker:1996,widerker,author,0,,
widerker:2000,widerker,author,0,,
widerker:2002,widerker,author,0,,
widerker:2002a,widerker,author,0,,
widerker:2005,widerker,author,0,,
widerker:2006,widerker,author,0,,
widerker:2009,widerker,author,0,,
widerker:2011,widerker,author,0,,
widerker:2016,widerker,author,0,,
widerquist-mccall:2015,widerquist,author,0,,
widerquist-mccall:2015,mccall_gs,author,1,,
widerquist-mccall:2017,widerquist,author,0,,
widerquist-mccall:2017,mccall_gs,author,1,,
widerquist:2011,widerquist,author,0,,
widerquist:2016,widerquist,author,0,,
widloecher:2012,widloecher,author,0,,
widmann:1994,widmann,author,0,,
