bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
wrathall-lambeth:2011,wrathall,author,0,,
wrathall-lambeth:2011,lambeth_m,author,1,,
wrathall-murphey:2013,wrathall,author,0,,
wrathall-murphey:2013,murphey_m,author,1,,
wrathall:1999,wrathall,author,0,,
wrathall:1999a,wrathall,author,0,,
wrathall:1999c,wrathall,author,0,,
wrathall:2000,wrathall,author,0,,
wrathall:2002,wrathall,author,0,,
wrathall:2003,wrathall,author,0,,
wrathall:2004,wrathall,author,0,,
wrathall:2004a,wrathall,author,0,,
wrathall:2005,wrathall,author,0,,
wrathall:2006,wrathall,author,0,,
wrathall:2006a,wrathall,author,0,,
wrathall:2007,wrathall,author,0,,
wrathall:2007a,wrathall,author,0,,
wrathall:2013,wrathall,editor,0,,
wrathall:2013a,wrathall,author,0,,
wrathall:2019,wrathall,author,0,,
wrathall:2021,wrathall,editor,0,,
wray_do:1987,wray_do,author,0,,
wray_kb:2002,wray_kb,author,0,,
wray_kb:2002a,wray_kb,author,0,,
wray_kb:2005,wray_kb,author,0,,
wray_kb:2006,wray_kb,author,0,,
wray_kb:2009,wray_kb,author,0,,
wray_kb:2011,wray_kb,author,0,,
wray_kb:2012,wray_kb,author,0,,
wray_kb:2013,wray_kb,author,0,,
wray_kb:2013a,wray_kb,author,0,,
wray_kb:2014,wray_kb,author,0,,
wray_kb:2015,wray_kb,author,0,,
wray_kb:2015a,wray_kb,author,0,,
wray_kb:2017,wray_kb,author,0,,
wray_kb:2017a,wray_kb,author,0,,
wray_kb:2018,wray_kb,author,0,,
wray_kb:2018a,wray_kb,author,0,,
wray_kb:2018b,wray_kb,author,0,,
wray_kb:2018c,wray_kb,author,0,,
wray_kb:2020,wray_kb,author,0,,
wray_kb:2021,wray_kb,editor,0,,
wray_kb:2021a,wray_kb,editor,0,,
wray_kb:2024,wray_kb,editor,0,,
wreen:1983,wreen,author,0,,
wreen:1984,wreen,author,0,,
wreen:1985,wreen,author,0,,
wreen:1985a,wreen,author,0,,
wreen:1986,wreen,author,0,,
wreen:1986a,wreen,author,0,,
wreen:1989,wreen,author,0,,
wreen:1989a,wreen,author,0,,
wreen:1989b,wreen,author,0,,
wreen:2003,wreen,author,0,,
wreen:2005,wreen,author,0,,
wreen:2005b,wreen,author,0,,
wreen:2007,wreen,author,0,,
wreen:2010,wreen,author,0,,
wreen:2013,wreen,author,0,,
wreen:2015,wreen,author,0,,
wreen:2017,wreen,author,0,,
wreen:2017a,wreen,author,0,,
wreen:2019,wreen,author,0,,
wren_a:2006,wren_a,author,0,,
wren_c-wren:2003,wren_c,author,0,,
wren_c-wren:2003,wren_te,author,1,,
wrenn_c:2016,wrenn_c,author,0,,
wrenn_cb:2004,wrenn_cb,author,0,,
wrenn_cb:2006,wrenn_cb,author,0,,
wrenn_cb:2007,wrenn_cb,author,0,,
wrenn_cb:2010,wrenn_cb,author,0,,
wrenn_cb:2011,wrenn_cb,author,0,,
wrenn_cb:2014,wrenn_cb,author,0,,
wrenn_cb:2017,wrenn_cb,author,0,,
wrenn_cb:2017a,wrenn_cb,author,0,,
wrenn_cb:2020,wrenn_cb,author,0,,
wrenn_mv:2018,wrenn_mv,author,0,,
wriedt:2003,wriedt,author,0,,
wriedt:2009,wriedt,author,0,,
wright_a:1990,wright_a,author,0,,
wright_a:2017,wright_a,author,0,,
wright_as:2017,wright_as,author,0,,
wright_at:2018,wright_at,author,0,,
wright_at:2021,wright_at,author,0,,
wright_b:2011,wright_b,author,0,,
wright_b:2012,wright_b,author,0,,
wright_b:2014,wright_b,author,0,,
wright_c-etal:1998,wright_c,editor,0,,
wright_c-etal:1998,smith_bc,editor,1,,
wright_c-etal:1998,macdonald_c,editor,2,,
wright_c-hale:1992,wright_c,author,0,,
wright_c-hale:1992,hale_b,author,1,,
wright_c-sudbury:1977,wright_c,author,0,,
