bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
wu_d:1995,wu_d,author,0,,
wu_d:1996,wu_d,author,0,,
wu_d:1997,wu_d,author,0,,
wu_js:1998,wu_js,author,0,,
wu_ke:2018,wu_ke,author,0,,
wu_kj:1972,wu_kj,author,0,,
wu_kj:1973,wu_kj,author,0,,
wu_kj:1975,wu_kj,author,0,,
wu_kj:1975a,wu_kj,author,0,,
wu_kj:1979,wu_kj,author,0,,
wu_kj:1988,wu_kj,author,0,,
wu_r:2017,wu_r,author,0,,
wu_ro:2016,wu_ro,author,0,,
wu_t:2014,wu_t,author,0,,
wu_t:2018,wu_t,author,0,,
wu_tt:2010,wu_tt,author,0,,
wu_w:2008,wu_w,author,0,,
wu_w:2011,wu_w,author,0,,
wu_w:2011a,wu_w,author,0,,
wu_w:2011b,wu_w,author,0,,
wu_w:2013,wu_w,author,0,,
wu_w:2013a,wu_w,author,0,,
wu_w:2013b,wu_w,author,0,,
wu_w:2014,wu_w,author,0,,
wu_w:2014a,wu_w,author,0,,
wu_w:2017,wu_w,author,0,,
wu_w:2017a,wu_w,author,0,,
wu_w:2018a,wu_w,author,0,,
wu_w:2018b,wu_w,author,0,,
wu_w:2019,wu_w,author,0,,
wu_w:2021,wu_w,author,0,,
wu_w:2023,wu_w,author,0,,
wu_w:2023a,wu_w,author,0,,
wu_x:2000,wu_x,author,0,,
wu_y:1994,wu_y,author,0,,
wu_zb-etal:1992,wu_zb,author,0,,
wu_zb-etal:1992,hsu_ls,author,1,,
wu_zb-etal:1992,tan_cl,author,2,,
wubnig:1969,wubnig,author,0,,
wubnig:1991,wubnig,author,0,,
wuchterl:1984,wuchterl,author,0,,
wuehle_m:2017,wuehle_m,author,0,,
wuehle_m:2023,wuehle_m,author,0,,
wuehle_m:2025,wuehle_m,author,0,,
wuehrer_k:1964,wuehrer_k,author,0,,
wuendisch:2014,wuendisch,author,0,,
wuendisch:2017,wuendisch,author,0,,
wuerbel_e-etal:2000,wuerbel_e,author,0,,
wuerbel_e-etal:2000,jeansoulin_r,author,1,,
wuerbel_e-etal:2000,papini,author,2,,
wuergler_j:2017,wuergler_j,author,0,,
wuersdoerfer_jr:2001,wuersdoerfer_jr,author,0,,
wuerth:2006,wuerth,author,0,,
