bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
xia_x-wu:1996,xia_x,author,0,,
xia_x-wu:1996,wu_d,author,1,,
xia_y-etal:1997,xia_y,author,0,,
xia_y-etal:1997,iyengar_ss,author,1,,
xia_y-etal:1997,brenner_ne,author,2,,
xia_y-etal:2000,xia_y,author,0,,
xia_y-etal:2000,palmer_ms,author,1,,
xia_y-etal:2000,joshi_ak,author,2,,
xian_z:1995,xian_z,author,0,,
xiang_y:1996,xiang_y,author,0,,
xiang_yu:2018,xiang_yu,author,0,,
xiao_e-bicchieri:2012,xiao_e,author,0,,
xiao_e-bicchieri:2012,bicchieri,author,1,,
xiao_y:2015,xiao_y,author,0,,
xiaofeng:2022,xiaofeng,author,0,,
xiaoping:2018,xiaoping,author,0,,
xiaoping:2022,xiaoping,author,0,,
xie_ss:2009,xie_ss,author,0,,
xie_z:2011,xie_z,author,0,,
xifaras:2003,xifaras,author,0,,
xifaras:2004,xifaras,author,0,,
xin_l:2019,xin_l,author,0,,
xiong-etal:1992,xiong,author,0,,
xiong-etal:1992,sadeh,author,1,,
xiong-etal:1992,sycara,author,2,,
xiropaidis:2006,xiropaidis,author,0,,
