bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ye_f:2010,ye_f,author,0,,
ye_f:2011,ye_f,author,0,,
ye_f:2011a,ye_f,author,0,,
ye_f:2017,ye_f,author,0,,
ye_f:2023,ye_f,author,0,,
ye_r:2015,ye_r,author,0,,
ye_r:2016,ye_r,author,0,,
ye_ru-fitting:2002,ye_ru,author,0,,
ye_ru-fitting:2002,fitting_m,author,1,,
ye_z:2017,ye_z,editor,0,,
ye_z:2017a,ye_z,author,0,,
ye_z:2017b,ye_z,author,0,,
yeakel:2016,yeakel,author,0,,
yeap_wk-jeffreys:1999,yeap_wk,author,0,,
yeap_wk-jeffreys:1999,jeffries_me,author,1,,
yeap_wk:1988,yeap_wk,author,0,,
yeap_wk:1998,yeap_wk,author,0,,
yearley_lh:2003,yearley_lh,author,0,,
yee_g:2002,yee_g,author,0,,
yegenoglu:2011,yegenoglu,author,0,,
yeh-mellish:1997,yeh,author,0,,
yeh-mellish:1997,mellish,author,1,,
yehezkel:2005,yehezkel,author,0,,
yehezkel:2008,yehezkel,author,0,,
yehezkel:2008a,yehezkel,author,0,,
yehezkel:2013,yehezkel,author,0,,
yehezkel:2016,yehezkel,author,0,,
yehezkel:2017,yehezkel,author,0,,
yehezkel:2022,yehezkel,author,0,,
yehezkely:2017,yehezkely,author,0,,
yelland:2000,yelland,author,0,,
yelle_b:2016,yelle_b,author,0,,
yelle_ra:2016,yelle_ra,author,0,,
yelle_ra:2018,yelle_ra,author,0,,
yellen_j:2016,yellen_j,author,0,,
yem:1961,yem,author,0,,
yemini-cohen:1979,yemini,author,0,,
yemini-cohen:1979,cohen_daa,author,1,,
yen_j-etal:1991,yen_j,author,0,,
yen_j-etal:1991,juang_hl,author,1,,
yen_j-etal:1991,macgregor_rm,author,2,,
yen_j-etal:1991a,yen_j,author,0,,
yen_j-etal:1991a,neches,author,1,,
yen_j-etal:1991a,macgregor_rm,author,2,,
yen_pv:1969,yen_pv,author,0,,
yenor:2016,yenor,author,0,,
yeo_bt-etal:2015,yeo_bt,author,0,,
yeo_bt-etal:2015,krienen_fm,author,1,,
yeo_bt-etal:2015,eickhoff_sb,author,2,,
yeo_bt-etal:2015,yaakub_sn,author,3,,
yeo_bt-etal:2015,fox_pt,author,4,,
yeo_bt-etal:2015,buckner_rl,author,5,,
yeo_bt-etal:2015,asplund,author,6,,
yeo_bt-etal:2015,chee_m,author,7,,
yeo_kk:2015,yeo_kk,author,0,,
yeo_rr:1986,yeo_rr,author,0,,
yeo_rr:2010,yeo_rr,author,0,,
yeo_rs:2014,yeo_rs,author,0,,
yeo_rs:2015,yeo_rs,author,0,,
yeo_sl:2020,yeo_sl,author,0,,
yeoh:2021,yeoh,author,0,,
yeoman_r:2018,yeoman_r,author,0,,
yeomans_c:2006,yeomans_c,author,0,,
yeomans_c:2011,yeomans_c,author,0,,
yeomans_c:2015,yeomans_c,author,0,,
yeomans_c:2017,yeomans_c,author,0,,
yeomans_c:2017a,yeomans_c,author,0,,
yeomans_c:2023,yeomans_c,author,0,,
yeomans_d-etal:2014,yeomans_d,author,0,,
yeomans_d-etal:2014,kelly_jm,author,1,,
yeomans_d-etal:2014,salmon_f,author,2,,
yerly_c:2010,yerly_c,author,0,,
yersin_v:2011,yersin_v,author,0,,
yesley:2002,yesley,author,0,,
yessininvolpin:1970,yessininvolpin,author,0,,
yetterchappell_h-chappell:2013,yetterchappell_h,author,0,,
yetterchappell_h-chappell:2013,chappell_yr,author,1,,
yetterchappell_h:2013,yetterchappell_h,author,0,,
yetterchappell_h:2016,yetterchappell_h,author,0,,
yetterchappell_h:2017,yetterchappell_h,author,0,,
yetterchappell_h:2017a,yetterchappell_h,author,0,,
yetterchappell_h:2017b,yetterchappell_h,author,0,,
