bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ylikoski-kuorikoski:2010,ylikoski,author,0,,
ylikoski-kuorikoski:2010,kuorikoski,author,1,,
ylikoski:2007,ylikoski,author,0,,
ylikoski:2012,ylikoski,author,0,,
ylikoski:2013,ylikoski,author,0,,
ylikoski:2014,ylikoski,author,0,,
ylikoski:2017,ylikoski,author,0,,
ylikoski:2017a,ylikoski,author,0,,
yliraudanjoki:2008,yliraudanjoki,author,0,,
ylivakkuri-hawthorne:2018,ylivakkuri,author,0,,
ylivakkuri-hawthorne:2018,hawthorne_jo,author,1,,
ylivakkuri-mccullagh:2019,ylivakkuri,editor,0,,
ylivakkuri-mccullagh:2019,mccullagh_m,editor,1,,
ylivakkuri:2010,ylivakkuri,author,0,,
ylivakkuri:2013,ylivakkuri,author,0,,
ylivakkuri:2013a,ylivakkuri,author,0,,
ylivakkuri:2016,ylivakkuri,author,0,,
ylivakkuri:2018,ylivakkuri,author,0,,
