bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
zlatev:2007,zlatev,author,0,,
zlotkin-rosenschein:1989,zlotkin,author,0,,
zlotkin-rosenschein:1989,rosenschein_js,author,1,,
zlotkin-rosenschein:1993,zlotkin,author,0,,
zlotkin-rosenschein:1993,rosenschein_js,author,1,,
zlotkin-rosenschein:1996,zlotkin,author,0,,
zlotkin-rosenschein:1996,rosenschein_js,author,1,,
zlotkin-rosenschein:1996a,zlotkin,author,0,,
zlotkin-rosenschein:1996a,rosenschein_js,author,1,,
zlotnik:1997,zlotnik,author,0,,
