bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
zwaan-madden:2005,zwaan,author,0,,
zwaan-madden:2005,madden_cj,author,1,,
zwahlen_r:2009,zwahlen_r,author,0,,
zwahlen_s:2017,zwahlen_s,author,0,,
zwart_h:2022,zwart_h,author,0,,
zwart_pj:1972,zwart_pj,author,0,,
zwart_sd:2001,zwart_sd,author,0,,
zwart_sd:2005,zwart_sd,author,0,,
zwart_sd:2021,zwart_sd,author,0,,
zwarthoed:2016,zwarthoed,author,0,,
zwarts_f:1996,zwarts_f,author,0,,
zwarts_f:1998,zwarts_f,author,0,,
zwarts_j-verkuyl:1994,zwarts_j,author,0,,
zwarts_j-verkuyl:1994,verkuyl,author,1,,
zwarts_j-winter:2000,zwarts_j,author,0,,
zwarts_j-winter:2000,winter_y,author,1,,
zwarts_j:1995,zwarts_j,author,0,,
zwarts_j:2005,zwarts_j,author,0,,
zweber:2016,zweber,author,0,,
zweig_a:1958,zweig_a,author,0,,
zweig_a:1971,zweig_a,author,0,,
zweig_a:1974,zweig_a,author,0,,
zweig_a:2009,zweig_a,author,0,,
zweig_e:2009,zweig_e,author,0,,
zweiling_k:1956,zweiling_k,author,0,,
zwenger_t:2011,zwenger_t,author,0,,
zwenger_t:2016,zwenger_t,author,0,,
zwermann:1901,zwermann,author,0,,
zwicky_a-pullum:1982,zwicky_a,author,0,,
zwicky_a-pullum:1982,pullum,author,1,,
zwicky_a-sadock:1975,zwicky_a,author,0,,
zwicky_a-sadock:1975,sadock,author,1,,
zwicky_a:1971,zwicky_a,author,0,,
zwicky_a:1973,zwicky_a,author,0,,
zwicky_a:1976,zwicky_a,editor,0,,
zwicky_a:1976a,zwicky_a,author,0,,
zwicky_a:1977,zwicky_a,author,0,,
zwicky_a:1977a,zwicky_a,author,0,,
zwicky_a:1981,zwicky_a,author,0,,
zwicky_a:1986,zwicky_a,editor,0,,
zwicky_a:1986a,zwicky_a,author,0,,
zwicky_a:1989,zwicky_a,author,0,,
zwicky_j:2013,zwicky_j,author,0,,
zwicky_j:2022,zwicky_j,author,0,,
zwiebach_b:1991,zwiebach_b,author,0,,
zwier-etal:2022,zwier,author,0,,
zwier-etal:2022,weddle_d,author,1,,
zwier-etal:2022,knepper,author,2,,
zwier:2011,zwier,author,0,,
zwierlein:2001,zwierlein,editor,0,,
zwirn:2008,zwirn,author,0,,
zwitter:2020,zwitter,author,0,,
zwolinski_m-ferguson:2022,zwolinski_m,editor,0,,
zwolinski_m-ferguson:2022,ferguson_b,editor,1,,
zwolinski_m-schmidtz:2013,zwolinski_m,author,0,,
zwolinski_m-schmidtz:2013,schmidtz,author,1,,
zwolinski_m-schmidtz:2015,zwolinski_m,author,0,,
zwolinski_m-schmidtz:2015,schmidtz,author,1,,
zwolinski_m:2009,zwolinski_m,author,0,,
zwolinski_m:2018,zwolinski_m,author,0,,
zwolinski_m:2018a,zwolinski_m,author,0,,
