bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
zycinski:1989,zycinski,author,0,,
zygmunt:1995,zygmunt,editor,0,,
zygmunt:2008,zygmunt,author,0,,
zylberman:2014,zylberman,author,0,,
zylberman:2016,zylberman,author,0,,
zylberman:2016a,zylberman,author,0,,
zylberman:2018,zylberman,author,0,,
zylberman:2023,zylberman,author,0,,
zylstra:2014,zylstra,author,0,,
zylstra:2018,zylstra,author,0,,
zylstra:2019,zylstra,author,0,,
zylstra:2020,zylstra,author,0,,
zymner:1991,zymner,author,0,,
zymner:2014,zymner,author,0,,
zynda_l:1996,zynda_l,author,0,,
zynda_l:2016,zynda_l,author,0,,
zysow:2016,zysow,author,0,,
zysset_a:2016,zysset_a,author,0,,
zytkow_jm:1976,zytkow_jm,author,0,,
zytkow_jm:1982,zytkow_jm,author,0,,
