bibkey,keyword_key,keyword_level
ajai-singh:1988,1:linguistics,1
ajai-singh:1988,2:parsing,2
ajai-singh:1989,1:psychology,1
ajdukiewicz:1913,1:logic,1
ajdukiewicz:1913,2:entailment,2
ajdukiewicz:1913,3:logical_consequence,3
ajdukiewicz:1919,1:logic,1
ajdukiewicz:1919,2:nature_of_proof,2
ajdukiewicz:1920,1:ontology,1
ajdukiewicz:1920,2:ontological_commitment,2
ajdukiewicz:1921,1:method,1
ajdukiewicz:1921,2:axiomatic_method,2
ajdukiewicz:1921a,1:space_spacetime,1
ajdukiewicz:1921a,2:absolute_vs_relational,2
ajdukiewicz:1921a,3:relational_theory_of_time,3
ajdukiewicz:1922,2:reduction,2
ajdukiewicz:1923,2:essence,2
ajdukiewicz:1926,1:logic,1
ajdukiewicz:1926,2:syllogistic,2
ajdukiewicz:1927,1:truth,1
ajdukiewicz:1928,1:method,1
ajdukiewicz:1930,2:substance,2
ajdukiewicz:1932,1:properties,1
ajdukiewicz:1932,2:universals,2
ajdukiewicz:1933,1:method,1
ajdukiewicz:1933,2:analytic_synthetic_method,2
ajdukiewicz:1934,1:semantics,1
ajdukiewicz:1934,2:interrogatives,2
ajdukiewicz:1934a,1:representation,1
ajdukiewicz:1934a,2:meaning,2
ajdukiewicz:1934b,1:metaphilosophy,1
ajdukiewicz:1934c,1:logic,1
ajdukiewicz:1934c,2:history_of_logic,2
ajdukiewicz:1934d,1:logic,1
ajdukiewicz:1935,1:properties,1
ajdukiewicz:1935,2:universals,2
ajdukiewicz:1935a,1:semantics,1
ajdukiewicz:1935a,2:semantic_types,2
ajdukiewicz:1935b,1:logic,1
ajdukiewicz:1935b,2:history_of_logic,2
ajdukiewicz:1935c,1:metaphilosophy,1
ajdukiewicz:1935d,1:metaphilosophy,1
ajdukiewicz:1936,1:explanation,1
ajdukiewicz:1936,2:definition,2
ajdukiewicz:1936a,1:semantics,1
ajdukiewicz:1936a,2:semantic_types,2
ajdukiewicz:1937,1:metaphysics,1
ajdukiewicz:1937,2:transcendental_idealism,2
ajdukiewicz:1946,1:logic,1
ajdukiewicz:1948,1:epistemology,1
ajdukiewicz:1948,2:epistemic_logic,2
ajdukiewicz:1948a,1:time,1
ajdukiewicz:1948a,2:change,2
ajdukiewicz:1948a,3:problem_of_change,3
ajdukiewicz:1950,1:logic,1
ajdukiewicz:1951,1:ontology,1
ajdukiewicz:1956,1:logic,1
ajdukiewicz:1956a,1:logic,1
ajdukiewicz:1956a,2:logical_connectives,2
ajdukiewicz:1956a,3:material_conditional,3
ajdukiewicz:1958,1:explanation,1
ajdukiewicz:1958,2:definition,2
ajdukiewicz:1958a,1:representation,1
ajdukiewicz:1958a,2:analyticity,2
ajdukiewicz:1958b,1:semantics,1
ajdukiewicz:1958b,2:semantic_types,2
ajdukiewicz:1959,1:explanation,1
ajdukiewicz:1959,2:abduction,2
ajdukiewicz:1960,1:logic,1
ajdukiewicz:1960a,1:language,1
ajdukiewicz:1960a,2:intensionality,2
ajdukiewicz:1960b,1:semantics,1
ajdukiewicz:1960b,2:semantic_types,2
ajdukiewicz:1960c,1:method,1
ajdukiewicz:1960c,2:axiomatic_method,2
ajdukiewicz:1963,2:grounding,2
ajdukiewicz:1963,3:foundation,3
ajdukiewicz:1964,1:semantics,1
ajdukiewicz:1964,2:semantic_types,2
ajdukiewicz:1965,1:logic,1
ajdukiewicz:1965a,1:logic,1
ajdukiewicz:1965b,1:logic,1
ajdukiewicz:1966,1:semantics,1
ajdukiewicz:1966,2:semantic_types,2
ajdukiewicz:1967,1:exemplification,1
ajdukiewicz:1967,2:predication,2
ajdukiewicz:1967a,1:language,1
ajdukiewicz:1967b,1:representation,1
ajdukiewicz:1967b,2:objects_of_propositional_attitudes,2
ajdukiewicz:1967b,3:propositions,3
ajdukiewicz:1967c,1:language,1
ajdukiewicz:1967c,2:syntax,2
ajdukiewicz:1973,1:history_of_philosophy,1
ajdukiewicz:1974,1:logic,1
ajdukiewicz:1977,1:method,1
ajdukiewicz:1977a,1:epistemology,1
ajdukiewicz:1977a,2:justification,2
ajdukiewicz:1977b,1:representation,1
ajdukiewicz:1977b,2:analyticity,2
ajdukiewicz:1978,1:science,1
ajdukiewicz:1984,1:explanation,1
ajdukiewicz:1984,2:definition,2
ajdukiewicz:1990,1:exemplification,1
ajdukiewicz:1990,2:reism,2
ajdukiewicz:1995a,1:exemplification,1
ajdukiewicz:1995a,2:reism,2
aji:1991,1:aesthetics,1
aji:1991,2:literary_criticism,2
ajzen-fishbein:2005,1:feeling,1
