bibkey,keyword_key,keyword_level
aoki:2008,1:ontology,1
aoki:2008,2:matter,2
aone-etal:1998,1:linguistics,1
aone-etal:1998,2:corpus_linguistics,2
aone-etal:1998,3:text_summary,3
aone-maloney:1997,1:linguistics,1
aone-maloney:1997,2:logic_for_natural_language,2
aone-maloney:1997,3:natural_language_programming,3
aoto:1999,1:logic,1
aoto:1999,2:intuitionistic_logic,2
aoun-etal:1981,1:ontology,1
aoun-etal:1981,2:quantification,2
aoun-hornstein:1991,1:linguistics,1
aoun-li:1993,1:language,1
aoun-li:1993,2:quantifiers,2
aoun-li:1993,3:nl_quantifier_scope,3
aoun:1985,1:reference,1
aoun:1985,2:anaphora,2
aoyama_h:1990,1:truth,1
aoyama_h:1990,2:logic_of_truth,2
