bibkey,keyword_key,keyword_level
apawophiri:2016,1:religion,1
apawophiri:2016,2:theology,2
apel_j:2011,1:science,1
apel_j:2011,2:scientific_realism,2
apel_j:2011a,1:representation,1
apel_j:2011a,2:aboutness,2
apel_ko-krois:1987,1:explanation,1
apel_ko:1955,1:explanation,1
apel_ko:1955,2:understanding,2
apel_ko:1967,1:history_of_philosophy,1
apel_ko:1967a,1:ontology,1
apel_ko:1967a,2:being,2
apel_ko:1967a,3:to_be,3
apel_ko:1972,1:logic,1
apel_ko:1974,1:ethics,1
apel_ko:1978,1:ethics,1
apel_ko:1979,1:social_sciences,1
apel_ko:1979,2:humanities,2
apel_ko:1981,1:representation,1
apel_ko:1981,2:meaning,2
apel_ko:1982,1:science,1
apel_ko:1983,2:justification_of_norms,2
apel_ko:1984,1:social_sciences,1
apel_ko:1984,2:humanities,2
apel_ko:1984a,1:action,1
apel_ko:1984a,2:intention,2
apel_ko:1984a,3:joint_intentions,3
apel_ko:1986,1:biology,1
apel_ko:1986,2:evolution,2
apel_ko:1991,1:pragmatics,1
apel_ko:1991,2:speech_acts,2
apel_ko:1996,1:metaphysics,1
apel_ko:1996,2:transcendental_idealism,2
apel_ko:1998,1:metaphilosophy,1
apel_ko:1999,1:science,1
apel_ko:1999,2:sociology_of_science,2
apel_ko:2000,1:history_of_philosophy,1
apel_ko:2001,1:history_of_philosophy,1
apel_ko:2001a,1:metaphilosophy,1
apel_ko:2006,1:epistemology,1
apel_ko:2006,2:cogito,2
apel_ko:2008,1:history_of_philosophy,1
apery_r:1952,1:mathematics,1
apfelbaum:1983,1:medicine,1
apkarian:2017,1:feeling,1
apkarian:2017,2:pain,2
apodaca:2012,1:political_philosophy,1
apodaca:2012,2:rights,2
apolin:1970,1:properties,1
apolin:1970,2:vectors,2
apolloni:1989,1:properties,1
apolloni:1989,2:forms,2
apolloni:1989,3:platonic_forms,3
apolloni:1996,1:persons,1
apolloni:1996,2:soul,2
apolloni:1996,3:immortality_of_the_soul,3
aportone-gigliotti:2015,1:time,1
aportone:2009,1:metaphysics,1
aportone:2009,2:transcendental_idealism,2
aportone:2014,1:perception,1
aportone:2014,2:anschauung,2
aportone:2018,1:representation,1
aportone:2018,2:expressibility,2
aportone:2018,3:transcendental_schein,3
apostel-etal:1973,1:explanation,1
apostel-etal:1973,2:explanation_in_science,2
apostel-etal:1980,1:biology,1
apostel-issman:1955,1:metaphysics,1
apostel-issman:1955,2:empiricism,2
apostel:1953,1:logic,1
apostel:1953,2:nature_of_proof,2
apostel:1954,1:logic,1
apostel:1954,2:un_decidability,2
apostel:1954,3:decidability,3
apostel:1954a,1:modality,1
apostel:1955,1:metaphysics,1
apostel:1955,2:empiricism,2
apostel:1955a,1:properties,1
apostel:1955a,2:quantities,2
apostel:1955a,3:measurement_theory,3
apostel:1955b,1:logic,1
apostel:1955b,2:many_valued_logic,2
apostel:1955c,1:modality,1
apostel:1955c,2:types_of_necessity,2
apostel:1955c,3:natural_necessity,3
apostel:1955d,1:law,1
apostel:1955e,1:law,1
apostel:1955f,1:explanation,1
apostel:1955g,1:explanation,1
apostel:1956,1:action,1
apostel:1956,2:action_formalisms,2
apostel:1956,3:logic_of_action,3
apostel:1956a,1:representation,1
apostel:1956a,2:meaning_theories,2
apostel:1956a,3:interpretationism,3
apostel:1956b,1:logic,1
apostel:1956b,2:natural_deduction,2
apostel:1957,1:logic,1
apostel:1957,2:proof_theory,2
apostel:1957,3:recursion_theory,3
apostel:1957a,2:dependence,2
apostel:1959,1:epistemology,1
apostel:1960,2:deontic_logic,2
apostel:1960a,1:ontology,1
apostel:1960a,2:ontological_commitment,2
apostel:1960b,1:explanation,1
apostel:1960c,1:science,1
apostel:1960c,2:theory_choice,2
apostel:1961,1:logic,1
apostel:1962,1:vagueness,1
apostel:1963,1:argumentation,1
apostel:1963,2:informal_logic,2
apostel:1964,1:science,1
apostel:1965,1:epistemology,1
apostel:1965,2:justification,2
apostel:1965a,1:mathematics,1
apostel:1965a,2:set_theory,2
apostel:1969,1:semantics,1
apostel:1969,2:interrogatives,2
apostel:1969,3:erotetic_logic,3
apostel:1969a,1:psychology,1
apostel:1970,1:logic,1
apostel:1970,2:formalisation,2
apostel:1971,2:comparison_of_value,2
apostel:1971,3:comparative_logic,3
apostel:1971a,1:pragmatics,1
apostel:1972,1:logic,1
apostel:1972,2:negation,2
apostel:1972a,1:logic,1
apostel:1972a,2:negation,2
apostel:1974,1:epistemology,1
apostel:1976,1:action,1
apostel:1976a,1:rationality,1
apostel:1976a,2:practical_rationality,2
apostel:1976a,3:practical_reasoning,3
apostel:1976b,1:action,1
apostel:1977,1:language,1
apostel:1977,2:logical_structure,2
apostel:1977,3:logical_form,3
apostel:1979,1:argumentation,1
apostel:1979,2:rhetoric,2
apostel:1979,3:persuasion,3
apostel:1979a,1:argumentation,1
apostel:1979a,2:informal_logic,2
apostel:1980,1:epistemology,1
apostel:1981,1:logic,1
apostel:1981,2:nature_of_logic,2
apostel:1982,1:ontology,1
apostel:1982a,1:logic,1
apostel:1982b,1:argumentation,1
apostel:1982b,2:informal_logic,2
apostol_p:1972,1:method,1
apostol_t:1967,1:mathematics,1
apostol_t:1967,2:algebra,2
apostoli-brown:1995,1:logic,1
apostoli-brown:1995,2:modal_logic,2
apostoli-etal:2009,1:mathematics,1
apostoli-etal:2009,2:set_theory,2
apostoli:1997,1:logic,1
apostoli:1997,2:in_completeness,2
apostoli:1997,3:completeness_theorems,3
apostolidis_p:2006,1:political_philosophy,1
apostolidis_p:2006,2:feminism,2
apostolopoulos:2017,1:persons,1
apostolopoulos:2017,2:the_body,2
apostolopoulos:2018,1:ontology,1
apostolopoulos:2022,1:language,1
apostolopoulos:2023,1:metaphysics,1
apostoloscappadona:2014,1:aesthetics,1
appel_f:1996,1:metaphysics,1
appel_f:1996,2:perspectivalism,2
appel_f:1996,3:objectivity_in_representation,3
appel_k:2008,1:time,1
appel_k:2020,1:feeling,1
appel_k:2020,2:friendship,2
appel_k:2020,3:love,3
appelbaum_ps:2015,1:political_philosophy,1
appelbaum_ps:2015,2:authority,2
appelbaum_ps:2015,3:consent,3
appelqvist:2011,1:aesthetics,1
appelqvist:2011,2:wine,2
appelqvist:2017,1:language,1
appelqvist:2017,2:semantic_normativity,2
appels:2011,1:aesthetics,1
appels:2011,2:dance,2
appelt-israel:1999,1:linguistics,1
appelt-israel:1999,2:corpus_linguistics,2
appelt-israel:1999,3:text_skimming,3
appelt-konolige:1988,1:rationality,1
appelt-konolige:1988,2:belief_revision,2
appelt-konolige:1988,3:nonmonotonic_reasoning,3
appelt-kronfeld:1987,1:reference,1
appelt-kronfeld:1988,1:logic,1
appelt-kronfeld:1988,2:nonmonotonic_logic,2
appelt-pollack:1990,1:explanation,1
appelt-pollack:1990,2:abduction,2
appelt-pollack:1990,3:abduction_in_ai,3
appelt-pollack:1991,1:explanation,1
appelt-pollack:1991,2:abduction,2
appelt-pollack:1991,3:abduction_in_ai,3
appelt:1983,1:linguistics,1
appelt:1983,2:logic_for_natural_language,2
appelt:1983,3:natural_language_generation,3
appelt:1985,1:linguistics,1
appelt:1985,2:logic_for_natural_language,2
appelt:1985,3:natural_language_generation,3
appelt:1985a,1:linguistics,1
appelt:1985a,2:logic_for_natural_language,2
appelt:1985a,3:natural_language_generation,3
appelt:1985b,1:linguistics,1
appelt:1985b,2:logic_for_natural_language,2
appelt:1985b,3:natural_language_generation,3
appelt:1990,1:explanation,1
appelt:1990,2:abduction,2
appelt:1990,3:abduction_in_ai,3
appelt:1991,1:linguistics,1
appelt:1999,1:linguistics,1
appiah_ka:1984,1:probability,1
appiah_ka:1984,2:probability_logic,2
appiah_ka:1984a,1:metaphysics,1
appiah_ka:1984a,2:realism,2
appiah_ka:1985,1:representation,1
appiah_ka:1985,2:meaningfulness,2
appiah_ka:1985,3:verificationism_about_language,3
appiah_ka:1986,1:semantics,1
appiah_ka:1986a,1:truth,1
appiah_ka:1986a,2:truth_pluralism,2
appiah_ka:1987,1:language,1
appiah_ka:1990,1:political_philosophy,1
appiah_ka:1990,2:discrimination,2
appiah_ka:1990,3:racism,3
appiah_ka:1993,1:logic,1
appiah_ka:1993,2:logical_connectives,2
appiah_ka:1993,3:only_if,3
appiah_ka:1996,1:political_philosophy,1
appiah_ka:1996,2:discrimination,2
appiah_ka:1996,3:racism,3
appiah_ka:1996a,1:political_philosophy,1
appiah_ka:1996a,2:discrimination,2
appiah_ka:1996a,3:race,3
appiah_ka:2001,1:persons,1
appiah_ka:2003,1:intro_to_philosophy,1
appiah_ka:2006,1:political_philosophy,1
appiah_ka:2006,2:discrimination,2
appiah_ka:2006,3:race,3
appiah_ka:2010,1:metaphilosophy,1
appiah_ka:2014,1:identity,1
appiah_ka:2017,1:political_philosophy,1
appiah_ka:2017,2:equality,2
appiah_ka:2017a,1:political_philosophy,1
appiah_ka:2017a,2:rights,2
appiah_ka:2017a,3:human_rights,3
appiah_ka:2018,1:political_philosophy,1
appiah_ka:2018,2:ideology,2
appiah_ka:2018,3:identity_politics,3
appiah_ka:2018a,1:political_philosophy,1
appiah_ka:2018a,2:discrimination,2
appiah_ka:2018a,3:racism,3
appiah_ka:2021,1:political_philosophy,1
appiah_ka:2021,2:labour,2
appleby_d:2016,1:feeling,1
appleby_d:2016,2:hunger,2
appleby_rs:2007,1:political_philosophy,1
appley-stoutenburg:2017,1:explanation,1
appleyard:2000,1:political_philosophy,1
apressyan_r:2014,1:ethics,1
apt-blair:1990,1:logic,1
apt-blair:1990,2:logic_programming,2
apt-blair:1990,3:stratified_logic_programs,3
apt-etal:1988,1:logic,1
apt-etal:1988,2:logic_programming,2
apt-etal:1999,1:logic,1
apt-etal:2016,1:social_philosophy,1
apt-pedreschi:1993,1:logic,1
apt-pedreschi:1993,2:logic_programming,2
apt-pugin:1987,1:logic,1
apt-pugin:1987,2:logic_programming,2
apt-turini:1995,1:logic,1
apt-turini:1995,2:logic_programming,2
apt:1985,1:ai,1
apt:1987,1:logic,1
apt:1987,2:logic_programming,2
apt:1990,1:logic,1
apt:1990,2:logic_programming,2
apt:1991,1:computation,1
apt:1991,2:computational_logic,2
apt:1991,3:program_verification,3
apt:1992,1:logic,1
apt:1992,2:logic_programming,2
apt:2005,1:computation,1
apt:2005,2:programming,2
apt:2005,3:constraint_programming,3
apter_de:1968,1:political_philosophy,1
apter_de:1968,2:democracy,2
apter_de:2006,1:aesthetics,1
apter_mj:1979,2:consciousness,2
