bibkey,keyword_key,keyword_level
arabatzis_g:2009,1:ethics,1
arabatzis_g:2009,2:virtue_ethics,2
arabatzis_t-etal:2015,1:science,1
arabatzis_t-nersessian:2015,1:method,1
arabatzis_t-nersessian:2015,2:conceptual_analysis,2
arabatzis_t:2001,1:physics,1
arabatzis_t:2001,2:history_of_physics,2
arabatzis_t:2006,1:ontology,1
arabatzis_t:2006,2:abstract_objects,2
arabatzis_t:2006,3:theoretical_entities,3
arabatzis_t:2006a,1:method,1
arabatzis_t:2008,1:science,1
arabatzis_t:2008,2:experimentation,2
arabatzis_t:2011,1:ontology,1
arabatzis_t:2011,2:abstract_objects,2
arabatzis_t:2011,3:theoretical_entities,3
arabatzis_t:2012,1:science,1
arabatzis_t:2012a,1:science,1
arabatzis_t:2012a,2:experimentation,2
arabatzis_t:2018,1:science,1
arabatzis_t:2018,2:scientific_realism,2
arageorgis:2017,1:metaphysics,1
arageorgis:2017,2:perspectivalism,2
arai_t:2000,1:logic,1
arai_t:2000,2:proof_theory,2
arai_t:2000a,1:logic,1
arai_t:2000a,2:intuitionistic_logic,2
arai_t:2000a,3:realisability,3
arai_t:2000b,1:logic,1
arai_t:2000b,2:proof_theory,2
arai_t:2000c,1:mathematics,1
arai_t:2000c,2:arithmetic,2
arai_t:2000c,3:formalisations_of_arithmetic,3
arai_t:2000d,1:logic,1
arai_t:2000d,2:proof_theory,2
arai_t:2000d,3:recursion_theory,3
arai_t:2000e,1:logic,1
arai_t:2000e,2:proof_theory,2
arai_t:2000f,1:logic,1
arai_t:2000f,2:intuitionistic_logic,2
arai_t:2000h,1:logic,1
arai_t:2000h,2:modal_logic,2
arai_t:2000h,3:provability_logic,3
arai_t:2000i,1:logic,1
arai_t:2000i,2:proof_theory,2
arai_t:2000i,3:proof_complexity,3
arai_t:2000j,1:logic,1
arai_t:2000j,2:proof_theory,2
arai_t:2000k,1:logic,1
arai_t:2000k,2:type_theory,2
arai_y-tanaka:1966,1:logic,1
arai_y-tanaka:1966,2:propositional_logic,2
arai_y-tanaka:1966a,1:logic,1
arai_y-tanaka:1966a,2:propositional_logic,2
arai_y:1966,1:logic,1
arai_y:1966,2:propositional_logic,2
araki_m-etal:1999,1:linguistics,1
araki_m-etal:1999,2:dialogue,2
araki_m-etal:1999,3:computational_dialogue,3
aramayo:2018,1:history_of_philosophy,1
arana-halimi:2011,1:mathematics,1
arana:2008,1:logic,1
arana:2009,1:logic,1
arana:2009,2:nature_of_proof,2
arana:2010,1:logic,1
arana:2010,2:proof_theory,2
arana:2016,1:mathematics,1
arana:2016,2:epistemology_of_mathematics,2
arandamurillo:2025,1:ontology,1
arandjelovic_j:1979,1:political_philosophy,1
arandjelovic_j:1979,2:marxism,2
arandjelovic_j:1979,3:praxis,3
aranitovic-cekic:1989,1:bibliography,1
aranitovic-cekic:1989a,1:metaphysics,1
aranitovic-cekic:1989a,2:phenomenology,2
aranyosi_eu:2012,1:metaphysics,1
aranyosi_i:2003,1:perception,1
