bibkey,keyword_key,keyword_level
ax:1971,1:quantum_mechanics,1
ax:1978,1:space_spacetime,1
axelos_c:1992,1:logic,1
axelos_c:1992,2:history_of_logic,2
axelos_k:2005,1:varia,1
axelrod_rm:1981,1:decision_theory,1
axelrod_rm:1981,2:newcomb_problem,2
axelrod_rm:1997,1:decision_theory,1
axelrod_rm:2000,1:action,1
axelrod_rm:2000,2:collective_action,2
axelrod_s:2000,1:linguistics,1
axelrod_s:2000,2:dialogue,2
axelrod_s:2000,3:computational_dialogue,3
axelsen-nielsen:2017,1:ethics,1
axelsen-nielsen:2017,2:medical_ethics,2
axinn:1968,1:mathematics,1
axinn:1968,2:nature_of_mathematics,2
axinn:1981,1:social_sciences,1
axinn:1981,2:anthropology,2
axinn:1995,1:political_philosophy,1
axinn:1995,2:international_relations,2
axinn:1995,3:cosmopolitanism,3
axinn:2013,2:imagination,2
axtell_g-bernal:2022,1:epistemology,1
axtell_g-bernal:2022,2:testimony,2
axtell_g-bernal:2022,3:epistemic_authority,3
axtell_g-olson:2012,1:ethics,1
axtell_g-olson:2012,2:virtue_ethics,2
axtell_g:1998,1:epistemology,1
axtell_g:2001,2:epistemic_norms,2
axtell_g:2001,3:norms_of_belief,3
axtell_g:2006,1:skepticism,1
axtell_g:2008,1:epistemology,1
axtell_g:2008,2:virtue_epistemology,2
axtell_g:2010,1:action,1
axtell_g:2010,2:agency,2
axtell_g:2011,1:epistemology,1
axtell_g:2011a,1:action,1
axtell_g:2011a,2:responsibility,2
axtell_g:2014,1:epistemology,1
axtell_g:2014,2:virtue_epistemology,2
axtell_g:2015,1:metaphysics,1
axtell_g:2015,2:perspectivalism,2
axtell_g:2015,3:objectivity_in_representation,3
axtell_g:2019,1:religion,1
axtell_g:2019,2:heaven_and_hell,2
axtell_gs:1990,1:science,1
