bibkey,keyword_key,keyword_level
braakhuis-etal:1981,1:logic,1
braakhuis-etal:1981,2:history_of_logic,2
braakhuis-hoenen:1986,1:history_of_philosophy,1
braakhuis-kneepkens:2003,1:history_of_philosophy,1
braakhuis:1967,1:history_of_philosophy,1
braakhuis:1989,1:ontology,1
braakhuis:1997,1:history_of_philosophy,1
braakhuis:1999,1:modality,1
braakhuis:1999,2:types_of_necessity,2
braakhuis:1999,3:natural_necessity,3
braakhuis:1999a,1:ontology,1
braakhuis:1999a,2:being,2
braakhuis:1999a,3:analogy_of_being,3
bracaletti_s:2005,1:political_philosophy,1
bracaletti_s:2005,2:marxism,2
bracanovic_t:2011,1:method,1
bracanovic_t:2011,2:scientific_method,2
bracco_pp:2017,1:feeling,1
bracco_pp:2017,2:friendship,2
brace:2016,1:political_philosophy,1
brace:2016,2:slavery,2
brachet:2005,1:biology,1
brachman-etal:1983,1:logic,1
brachman-etal:1983,2:concept_logic,2
brachman-etal:1983,3:taxonomic_logics,3
brachman-etal:1983a,1:logic,1
brachman-etal:1983a,2:concept_logic,2
brachman-etal:1983a,3:taxonomic_logics,3
brachman-etal:1989,1:information,1
brachman-etal:1989,2:knowledge_representation,2
brachman-etal:1989a,1:logic,1
brachman-etal:1989a,2:concept_logic,2
brachman-etal:1989a,3:taxonomic_logics,3
brachman-etal:1991,1:logic,1
brachman-etal:1991,2:concept_logic,2
brachman-etal:1991,3:taxonomic_logics,3
brachman-etal:1991a,1:information,1
brachman-etal:1991a,2:knowledge_representation,2
brachman-etal:1992,1:information,1
brachman-etal:1992,2:knowledge_representation,2
brachman-levesque:1991,1:logic,1
brachman-levesque:1991,2:concept_logic,2
brachman-levesque:1991,3:taxonomic_logics,3
brachman-levesque:1995,1:information,1
brachman-levesque:1995,2:knowledge_representation,2
brachman-levesque:2004,1:information,1
brachman-levesque:2004,2:knowledge_representation,2
brachman-schmolze:1991,1:logic,1
brachman-schmolze:1991,2:concept_logic,2
brachman-schmolze:1991,3:taxonomic_logics,3
brachman:1979,1:information,1
brachman:1979,2:knowledge_representation,2
brachman:1979,3:semantic_networks,3
brachman:1984,1:ai,1
brachman:1985,1:logic,1
brachman:1985,2:nonmonotonic_logic,2
brachman:1987,1:information,1
brachman:1987,2:knowledge_representation,2
brachman:1990,1:information,1
brachman:1990,2:knowledge_representation,2
brachman:1999,1:logic,1
brachman:1999,2:concept_logic,2
brachman:1999,3:taxonomic_logics,3
brachman:2005,1:ai,1
brachman:2006,1:ai,1
brachtbranham:2009,1:aesthetics,1
brachtbranham:2009,2:fiction,2
brachtendorf:2000,1:religion,1
brachtendorf:2000,2:god,2
brachtendorf:2002,1:religion,1
brachtendorf:2002,2:problem_of_evil,2
brachtendorf:2002,3:theodicy,3
brachtendorf:2003,2:metaphysics_of_mind,2
brachtendorf:2008a,1:feeling,1
brachtendorf:2008a,2:emotions,2
brachtendorf:2009,1:religion,1
brachtendorf:2011,1:religion,1
brachtendorf:2011,2:religious_pluralism,2
brachtendorf:2017,1:knowledge,1
brachtendorf:2017,2:self_knowledge,2
brack:2004,1:aesthetics,1
brack:2004,2:architecture,2
brackbernsen:2015,1:science,1
brackbernsen:2015,2:history_of_science,2
brackbill-cohen:1985,1:time,1
bracke-hernandezaguilar:2020,1:political_philosophy,1
bracke-hernandezaguilar:2020,2:discrimination,2
bracke-hernandezaguilar:2020,3:racism,3
bracken_hm:1964,1:language,1
bracken_hm:1965,1:metaphysics,1
bracken_hm:1965,2:idealism,2
bracken_hm:1967,1:representation,1
bracken_hm:1967,2:ideas,2
bracken_hm:1967,3:innate_ideas,3
bracken_hm:1970,1:language,1
bracken_hm:1972,1:language,1
bracken_hm:1984,1:language,1
bracken_hm:1984a,1:skepticism,1
bracken_hm:1984b,1:metaphysics,1
bracken_hm:1984b,2:distinctions,2
bracken_hm:1984b,3:formal_distinction,3
bracken_hm:1987,1:history_of_philosophy,1
bracken_hm:1993,1:religion,1
bracken_hm:1993,2:epistemology_of_religion,2
bracken_hm:1993,3:religious_skepticism,3
bracken_hm:1994,1:political_philosophy,1
bracken_hm:1994,2:freedom_of_speech,2
bracken_hm:2002,1:skepticism,1
bracken_ja:1977,1:metaphilosophy,1
bracken_ja:2006,1:religion,1
bracken_ja:2006,2:theology,2
bracken_ja:2018,1:religion,1
bracken_ja:2018,2:divine_creation,2
bracken_ja:2018,3:god_and_world,3
bracken_ja:2022,1:causation,1
bracken_ja:2022,2:direction_of_causation,2
bracken_ja:2022,3:simultaneous_causation,3
bracken_p-thomas:2013,1:psychology,1
bracken_p-thomas:2013,2:psychiatry,2
bracken_wf:2005,1:action,1
brackenridge:1993,1:space_spacetime,1
brackenridge:1993,2:gravitation,2
brackett_ma-etal:2016,1:feeling,1
braddick-etal:1992,1:perception,1
braddick-etal:1992,2:unconscious_perception,2
braddick-etal:1992,3:blindsight,3
braddock_cc:1920,1:feeling,1
braddock_cc:1920,2:pain,2
braddock_g:2001,1:mind_body,1
braddock_g:2001,2:epiphenomenalism,2
braddock_m-rosenberg:2012,1:ethics,1
braddock_m-rosenberg:2012,2:evolutionary_ethics,2
braddock_m:2016,1:ethics,1
braddock_m:2016,2:evolutionary_ethics,2
braddock_m:2016,3:debunking_of_ethical_norms,3
braddock_m:2017,1:ethics,1
braddock_m:2017,2:evolutionary_ethics,2
braddock_m:2017,3:debunking_of_ethical_norms,3
braddonmitchell-fitzpatrick:1990,1:representation,1
braddonmitchell-fitzpatrick:1990,2:mental_representation,2
braddonmitchell-fitzpatrick:1990,3:lot,3
braddonmitchell-jackson:1996,2:intro_to_mind,2
braddonmitchell-jackson:1997,1:representation,1
braddonmitchell-jackson:1999,2:functionalism,2
braddonmitchell-jackson:1999,3:functionalism_in_the_philosophy_of_mind,3
braddonmitchell-jackson:2007,2:intro_to_mind,2
braddonmitchell-miller:2004,1:persons,1
braddonmitchell-miller:2004,2:personal_identity,2
braddonmitchell-miller:2004a,1:time,1
braddonmitchell-miller:2004a,2:persistence,2
braddonmitchell-miller:2006,1:complexity,1
braddonmitchell-miller:2006,2:simples,2
braddonmitchell-miller:2006a,1:complexity,1
braddonmitchell-miller:2006a,2:simples,2
braddonmitchell-miller:2015,1:method,1
braddonmitchell-miller:2017,1:space_spacetime,1
braddonmitchell-miller:2017,2:physical_time,2
braddonmitchell-miller:2020,1:identity,1
braddonmitchell-miller:2020,2:personal_identity,2
braddonmitchell-nola:2009,1:method,1
braddonmitchell-nola:2009,2:conceptual_analysis,2
braddonmitchell-nola:2009a,1:metaphilosophy,1
braddonmitchell-west:2001,1:time,1
braddonmitchell-west:2001,2:persistence,2
braddonmitchell:1989,1:explanation,1
braddonmitchell:1991,1:science,1
braddonmitchell:2003,1:perception,1
braddonmitchell:2003,2:perceptual_content,2
braddonmitchell:2003,3:phenomenal_concepts,3
